Dataset:  CSI
Radom seed: 1234
GPU: 7
Learning rate: 0.001
Loss: MaskedMSELoss

---------- GRU ----------
{
    "epochs": 200,
    "lookback_length": 16,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "CSI",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 20,
        "valid_year": 2019,
        "test_year": 2020,
        "window": 16,
        "steps": 1
    },
    "early_stop": 20,
    "runner": "csi",
    "loss": "mse",
    "model_args": {
        "d_feat": 1,
        "hidden_size": 64,
        "num_layers": 2,
        "dropout": 0.1
    }
}
Epoch 1, train_loss 0.138103, train_ic 0.005884, train_icir 0.058736, train_ric 0.015025, train_ricir 0.174265, valid_loss 0.0419080352 , valid_ic -0.005359, valid_icir -0.065274, valid_ric 0.005900, valid_ricir 0.095754, test_loss 0.078985, ic -0.013510, icir -0.115507, ric 0.000153, ricir 0.001834, prec@10 0.479835, prec@30 0.490261 
Epoch 2, train_loss 0.032940, train_ic 0.006125, train_icir 0.073052, train_ric -0.008026, train_ricir -0.098753, valid_loss 0.0217323588 , valid_ic -0.003539, valid_icir -0.049679, valid_ric -0.009031, valid_ricir -0.162674, test_loss 0.047988, ic -0.012026, icir -0.112272, ric -0.006866, ricir -0.086269, prec@10 0.498765, prec@30 0.512620 
Epoch 3, train_loss 0.018334, train_ic 0.006739, train_icir 0.096237, train_ric -0.005606, train_ricir -0.065822, valid_loss 0.0153526493 , valid_ic -0.004048, valid_icir -0.065652, valid_ric -0.009035, valid_ricir -0.186446, test_loss 0.035114, ic -0.012387, icir -0.125337, ric -0.004609, ricir -0.071764, prec@10 0.614403, prec@30 0.590672 
Epoch 4, train_loss 0.012148, train_ic 0.007243, train_icir 0.093912, train_ric 0.028307, train_ricir 0.221549, valid_loss 0.0106175188 , valid_ic -0.005433, valid_icir -0.083798, valid_ric 0.011759, valid_ricir 0.109676, test_loss 0.026722, ic -0.014428, icir -0.144730, ric 0.004717, ricir 0.034665, prec@10 0.633745, prec@30 0.589575 
Epoch 5, train_loss 0.008896, train_ic 0.006045, train_icir 0.069067, train_ric 0.036003, train_ricir 0.262209, valid_loss 0.0095127151 , valid_ic -0.008003, valid_icir -0.115846, valid_ric 0.016463, valid_ricir 0.152537, test_loss 0.023229, ic -0.017107, icir -0.169476, ric 0.005951, ricir 0.041719, prec@10 0.641564, prec@30 0.591770 
Epoch 6, train_loss 0.006885, train_ic 0.005142, train_icir 0.095573, train_ric -0.002940, train_ricir -0.033051, valid_loss 0.0075688230 , valid_ic -0.002737, valid_icir -0.055279, valid_ric 0.003829, valid_ricir 0.062962, test_loss 0.018996, ic -0.009972, icir -0.122717, ric 0.002901, ricir 0.046705, prec@10 0.527984, prec@30 0.526200 
Epoch 7, train_loss 0.005573, train_ic 0.009756, train_icir 0.170110, train_ric 0.019736, train_ricir 0.170653, valid_loss 0.0057107445 , valid_ic -0.002845, valid_icir -0.056294, valid_ric 0.001703, valid_ricir 0.023420, test_loss 0.015645, ic -0.009391, icir -0.115789, ric 0.009725, ricir 0.113163, prec@10 0.513992, prec@30 0.529767 
Epoch 8, train_loss 0.004718, train_ic 0.011860, train_icir 0.192666, train_ric 0.014364, train_ricir 0.105910, valid_loss 0.0048371573 , valid_ic -0.002648, valid_icir -0.051782, valid_ric -0.013013, valid_ricir -0.135351, test_loss 0.013571, ic -0.008684, icir -0.109106, ric 0.000148, ricir 0.001154, prec@10 0.546502, prec@30 0.548834 
Epoch 9, train_loss 0.004039, train_ic 0.006922, train_icir 0.101753, train_ric 0.039749, train_ricir 0.298245, valid_loss 0.0045300732 , valid_ic -0.002224, valid_icir -0.041891, valid_ric 0.030791, valid_ricir 0.293280, test_loss 0.012305, ic -0.009942, icir -0.125824, ric 0.019809, ricir 0.157309, prec@10 0.452263, prec@30 0.493964 
Epoch 10, train_loss 0.003624, train_ic 0.003147, train_icir 0.068075, train_ric 0.017017, train_ricir 0.167433, valid_loss 0.0037932528 , valid_ic -0.002627, valid_icir -0.063944, valid_ric 0.031227, valid_ricir 0.505844, test_loss 0.010807, ic -0.008994, icir -0.132478, ric 0.014984, ricir 0.188019, prec@10 0.504938, prec@30 0.521536 
Epoch 11, train_loss 0.003256, train_ic 0.007039, train_icir 0.132773, train_ric -0.019951, train_ricir -0.155039, valid_loss 0.0035857700 , valid_ic -0.001110, valid_icir -0.030590, valid_ric -0.015185, valid_ricir -0.174060, test_loss 0.010008, ic -0.004846, icir -0.080971, ric -0.006353, ricir -0.068912, prec@10 0.539506, prec@30 0.522634 
Epoch 12, train_loss 0.002998, train_ic 0.016973, train_icir 0.227257, train_ric 0.029447, train_ricir 0.206729, valid_loss 0.0035402815 , valid_ic -0.000317, valid_icir -0.006034, valid_ric 0.002762, valid_ricir 0.025354, test_loss 0.009399, ic -0.007576, icir -0.100570, ric 0.010018, ricir 0.073009, prec@10 0.512346, prec@30 0.519890 
Epoch 13, train_loss 0.002866, train_ic -0.002388, train_icir -0.041588, train_ric -0.021452, train_ricir -0.170702, valid_loss 0.0037606957 , valid_ic -0.004253, valid_icir -0.123476, valid_ric -0.005319, valid_ricir -0.059683, test_loss 0.009236, ic -0.006851, icir -0.121878, ric -0.008344, ricir -0.088550, prec@10 0.516461, prec@30 0.505213 
Epoch 14, train_loss 0.002678, train_ic -0.001311, train_icir -0.018182, train_ric 0.007626, train_ricir 0.056142, valid_loss 0.0032614422 , valid_ic -0.000529, valid_icir -0.014469, valid_ric 0.013995, valid_ricir 0.148812, test_loss 0.008516, ic -0.003508, icir -0.067344, ric 0.008741, ricir 0.070767, prec@10 0.502881, prec@30 0.514266 
Epoch 15, train_loss 0.002499, train_ic 0.007591, train_icir 0.112550, train_ric 0.018485, train_ricir 0.138646, valid_loss 0.0029451954 , valid_ic -0.001701, valid_icir -0.046844, valid_ric 0.007350, valid_ricir 0.090220, test_loss 0.007784, ic -0.004589, icir -0.083405, ric 0.011971, ricir 0.118222, prec@10 0.501646, prec@30 0.495473 
Epoch 16, train_loss 0.002446, train_ic 0.001240, train_icir 0.017628, train_ric 0.043746, train_ricir 0.315419, valid_loss 0.0032603878 , valid_ic -0.005149, valid_icir -0.128373, valid_ric 0.037190, valid_ricir 0.381075, test_loss 0.007796, ic -0.009242, icir -0.149823, ric 0.021179, ricir 0.184860, prec@10 0.422222, prec@30 0.468999 
Epoch 17, train_loss 0.002344, train_ic 0.008459, train_icir 0.164415, train_ric 0.025770, train_ricir 0.248868, valid_loss 0.0029815374 , valid_ic -0.001668, valid_icir -0.048860, valid_ric 0.011608, valid_ricir 0.201568, test_loss 0.007346, ic -0.004733, icir -0.088477, ric 0.014692, ricir 0.231855, prec@10 0.520576, prec@30 0.523594 
Epoch 18, train_loss 0.002245, train_ic 0.007996, train_icir 0.121332, train_ric -0.017735, train_ricir -0.129213, valid_loss 0.0024313145 , valid_ic -0.003302, valid_icir -0.083872, valid_ric -0.022190, valid_ricir -0.242753, test_loss 0.006539, ic -0.007146, icir -0.119121, ric -0.011712, ricir -0.097581, prec@10 0.555144, prec@30 0.523182 
Epoch 19, train_loss 0.002161, train_ic 0.015703, train_icir 0.174952, train_ric 0.021374, train_ricir 0.140897, valid_loss 0.0025528617 , valid_ic -0.004343, valid_icir -0.083582, valid_ric 0.001010, valid_ricir 0.008804, test_loss 0.006515, ic -0.009480, icir -0.135780, ric 0.001077, ricir 0.006734, prec@10 0.606584, prec@30 0.580933 
Epoch 20, train_loss 0.002133, train_ic 0.019946, train_icir 0.253992, train_ric -0.017015, train_ricir -0.112566, valid_loss 0.0022574482 , valid_ic -0.002091, valid_icir -0.051922, valid_ric -0.030209, valid_ricir -0.316037, test_loss 0.006026, ic -0.005097, icir -0.085386, ric -0.010972, ricir -0.084183, prec@10 0.568724, prec@30 0.534431 
Epoch 21, train_loss 0.002073, train_ic 0.007799, train_icir 0.123175, train_ric 0.030647, train_ricir 0.234739, valid_loss 0.0024844990 , valid_ic -0.005001, valid_icir -0.149178, valid_ric 0.020420, valid_ricir 0.231064, test_loss 0.006110, ic -0.007254, icir -0.137707, ric 0.014205, ricir 0.141938, prec@10 0.473251, prec@30 0.486283 
Epoch 22, train_loss 0.002044, train_ic 0.005933, train_icir 0.132613, train_ric -0.005433, train_ricir -0.057742, valid_loss 0.0021042378 , valid_ic -0.005396, valid_icir -0.174175, valid_ric -0.006760, valid_ricir -0.137774, test_loss 0.005591, ic -0.008066, icir -0.157571, ric -0.005708, ricir -0.110199, prec@10 0.526337, prec@30 0.568724 
Epoch 23, train_loss 0.001932, train_ic 0.024591, train_icir 0.374674, train_ric 0.005214, train_ricir 0.040851, valid_loss 0.0021057263 , valid_ic -0.003564, valid_icir -0.100590, valid_ric -0.026087, valid_ricir -0.344918, test_loss 0.005491, ic -0.005230, icir -0.099976, ric -0.007785, ricir -0.088713, prec@10 0.485597, prec@30 0.512346 
Epoch 24, train_loss 0.001918, train_ic 0.004606, train_icir 0.055019, train_ric 0.017974, train_ricir 0.130260, valid_loss 0.0020987683 , valid_ic -0.008920, valid_icir -0.188797, valid_ric 0.001072, valid_ricir 0.010439, test_loss 0.005415, ic -0.012965, icir -0.203557, ric -0.006219, ricir -0.045075, prec@10 0.560494, prec@30 0.584636 
Epoch 25, train_loss 0.001871, train_ic 0.008187, train_icir 0.153066, train_ric 0.006541, train_ricir 0.060994, valid_loss 0.0021053865 , valid_ic -0.004613, valid_icir -0.149406, valid_ric -0.007967, valid_ricir -0.120267, test_loss 0.005373, ic -0.005347, icir -0.111281, ric -0.002196, ricir -0.036476, prec@10 0.541152, prec@30 0.519479 
Epoch 26, train_loss 0.001875, train_ic 0.010492, train_icir 0.157066, train_ric 0.021813, train_ricir 0.181428, valid_loss 0.0019481231 , valid_ic -0.002827, valid_icir -0.075652, valid_ric 0.011063, valid_ricir 0.130075, test_loss 0.005081, ic -0.007620, icir -0.141745, ric 0.003912, ricir 0.037422, prec@10 0.517695, prec@30 0.495748 
Epoch 27, train_loss 0.001901, train_ic 0.028062, train_icir 0.294016, train_ric 0.007119, train_ricir 0.050227, valid_loss 0.0021030931 , valid_ic -0.000707, valid_icir -0.014197, valid_ric -0.009914, valid_ricir -0.100397, test_loss 0.005184, ic -0.004862, icir -0.083520, ric -0.002190, ricir -0.017667, prec@10 0.568313, prec@30 0.579561 
Epoch 28, train_loss 0.001815, train_ic 0.018003, train_icir 0.220363, train_ric 0.009507, train_ricir 0.072242, valid_loss 0.0022020377 , valid_ic -0.004187, valid_icir -0.099792, valid_ric -0.010044, valid_ricir -0.103290, test_loss 0.005192, ic -0.008232, icir -0.143247, ric -0.007776, ricir -0.056507, prec@10 0.495473, prec@30 0.527298 
Epoch 29, train_loss 0.001833, train_ic 0.009071, train_icir 0.106123, train_ric 0.026151, train_ricir 0.202861, valid_loss 0.0035131984 , valid_ic -0.009198, valid_icir -0.182277, valid_ric 0.006569, valid_ricir 0.067321, test_loss 0.006460, ic -0.013893, icir -0.208307, ric -0.001352, ricir -0.010056, prec@10 0.540329, prec@30 0.576818 
Epoch 30, train_loss 0.001776, train_ic 0.027771, train_icir 0.340385, train_ric 0.017965, train_ricir 0.130628, valid_loss 0.0022602758 , valid_ic -0.003802, valid_icir -0.090999, valid_ric -0.018686, valid_ricir -0.193427, test_loss 0.005103, ic -0.005686, icir -0.104630, ric -0.004436, ricir -0.034641, prec@10 0.497119, prec@30 0.508230 
Epoch 31, train_loss 0.001745, train_ic 0.018422, train_icir 0.211433, train_ric -0.033924, train_ricir -0.251902, valid_loss 0.0023519735 , valid_ic -0.000481, valid_icir -0.012432, valid_ric -0.035584, valid_ricir -0.392004, test_loss 0.005097, ic -0.000143, icir -0.003214, ric -0.019455, ricir -0.201028, prec@10 0.581481, prec@30 0.533333 
Epoch 32, train_loss 0.001708, train_ic -0.000357, train_icir -0.003996, train_ric 0.028240, train_ricir 0.196477, valid_loss 0.0023059106 , valid_ic -0.008055, valid_icir -0.233581, valid_ric 0.018343, valid_ricir 0.197766, test_loss 0.005017, ic -0.009068, icir -0.191905, ric 0.009071, ricir 0.080550, prec@10 0.446502, prec@30 0.466255 
Epoch 33, train_loss 0.001709, train_ic 0.009702, train_icir 0.123928, train_ric 0.002025, train_ricir 0.015387, valid_loss 0.0019264616 , valid_ic 0.003409, valid_icir 0.102589, valid_ric 0.003664, valid_ricir 0.037870, test_loss 0.004700, ic 0.000741, icir 0.018585, ric 0.006897, ricir 0.053610, prec@10 0.517695, prec@30 0.515501 
Epoch 34, train_loss 0.001657, train_ic 0.017763, train_icir 0.273835, train_ric 0.026151, train_ricir 0.250238, valid_loss 0.0018898710 , valid_ic 0.001441, valid_icir 0.042422, valid_ric 0.003297, valid_ricir 0.054224, test_loss 0.004658, ic -0.002175, icir -0.043043, ric 0.008958, ricir 0.123738, prec@10 0.540741, prec@30 0.523594 
Epoch 35, train_loss 0.001683, train_ic 0.017776, train_icir 0.216321, train_ric 0.038937, train_ricir 0.289271, valid_loss 0.0021692684 , valid_ic -0.007229, valid_icir -0.154101, valid_ric 0.009139, valid_ricir 0.089716, test_loss 0.004789, ic -0.012319, icir -0.202873, ric 0.005540, ricir 0.041014, prec@10 0.599588, prec@30 0.588477 
Epoch 36, train_loss 0.001675, train_ic 0.007627, train_icir 0.105338, train_ric 0.031652, train_ricir 0.266715, valid_loss 0.0017672627 , valid_ic -0.009802, valid_icir -0.265436, valid_ric 0.011567, valid_ricir 0.141075, test_loss 0.004328, ic -0.011962, icir -0.234931, ric 0.002251, ricir 0.023849, prec@10 0.465432, prec@30 0.526337 
Epoch 37, train_loss 0.001645, train_ic 0.023143, train_icir 0.259606, train_ric -0.000307, train_ricir -0.002283, valid_loss 0.0021366436 , valid_ic -0.005360, valid_icir -0.118777, valid_ric -0.018954, valid_ricir -0.198220, test_loss 0.004658, ic -0.008444, icir -0.144985, ric -0.009868, ricir -0.074308, prec@10 0.616461, prec@30 0.597394 
Epoch 38, train_loss 0.001601, train_ic 0.005102, train_icir 0.054522, train_ric -0.008529, train_ricir -0.060869, valid_loss 0.0044616205 , valid_ic 0.004674, valid_icir 0.100048, valid_ric -0.001980, valid_ricir -0.018593, test_loss 0.006990, ic 0.004938, icir 0.108416, ric 0.003529, ricir 0.024345, prec@10 0.532922, prec@30 0.521674 
Epoch 39, train_loss 0.001621, train_ic 0.015447, train_icir 0.230692, train_ric 0.038170, train_ricir 0.327533, valid_loss 0.0016422791 , valid_ic -0.000355, valid_icir -0.012248, valid_ric 0.027780, valid_ricir 0.382416, test_loss 0.004066, ic -0.004669, icir -0.108864, ric 0.020597, ricir 0.198588, prec@10 0.503292, prec@30 0.518381 
Epoch 40, train_loss 0.001591, train_ic 0.027330, train_icir 0.351641, train_ric 0.001564, train_ricir 0.012555, valid_loss 0.0020698521 , valid_ic 0.004428, valid_icir 0.149370, valid_ric -0.007871, valid_ricir -0.104969, test_loss 0.004391, ic -0.000917, icir -0.022958, ric 0.001260, ricir 0.014294, prec@10 0.649794, prec@30 0.599863 
Epoch 41, train_loss 0.001613, train_ic 0.019443, train_icir 0.248722, train_ric 0.010813, train_ricir 0.086586, valid_loss 0.0019388514 , valid_ic -0.005699, valid_icir -0.147501, valid_ric -0.012638, valid_ricir -0.144149, test_loss 0.004266, ic -0.008947, icir -0.183989, ric -0.008944, ricir -0.080722, prec@10 0.608230, prec@30 0.589575 
Epoch 42, train_loss 0.001591, train_ic 0.016921, train_icir 0.220616, train_ric 0.034597, train_ricir 0.291511, valid_loss 0.0016233264 , valid_ic 0.001395, valid_icir 0.043319, valid_ric 0.025149, valid_ricir 0.325574, test_loss 0.003952, ic -0.004551, icir -0.107929, ric 0.017218, ricir 0.181240, prec@10 0.498765, prec@30 0.500137 
