Dataset:  CSI
Radom seed: 1234
GPU: 7
Learning rate: 0.001
Loss: MaskedMSELoss

---------- GRU ----------
{
    "epochs": 200,
    "lookback_length": 16,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "CSI",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 4,
        "valid_year": 2021,
        "test_year": 2022,
        "window": 8,
        "steps": 1
    },
    "early_stop": 20,
    "runner": "csi",
    "loss": "mse",
    "model_args": {
        "d_feat": 1,
        "hidden_size": 64,
        "num_layers": 2,
        "dropout": 0.1
    }
}
Epoch 1, train_loss 0.109693, train_ic 0.000069, train_icir 0.000733, train_ric 0.019543, train_ricir 0.214864, train_mae 0.018818, train_rmse 0.059470, train_mape 587.064575, train_acc 0.652640, valid_loss 0.0734490680, valid_ic 0.006255, valid_icir 0.044748, valid_ric 0.019740, valid_ricir 0.194358, valid_mae 0.154220, valid_rmse 0.294848, valid_mape 3848.183838, valid_acc 0.506437, test_loss 0.066631, ic 0.016622, icir 0.127907, ric 0.026399, ricir 0.257011, prec@10 0.520248, prec@30 0.518044, test_mae 0.118304, test_rmse 0.249977, test_mape 2810.992432, test_acc 0.604580
Epoch 2, train_loss 0.025177, train_ic 0.000939, train_icir 0.012392, train_ric 0.005158, train_ricir 0.055873, train_mae 0.099294, train_rmse 0.181603, train_mape 1239.230957, train_acc 0.144712, valid_loss 0.0458750736, valid_ic 0.005891, valid_icir 0.044990, valid_ric 0.005888, valid_ricir 0.077192, valid_mae 0.111003, valid_rmse 0.230656, valid_mape 2652.772461, valid_acc 0.368318, test_loss 0.039683, ic 0.014067, icir 0.124521, ric 0.003952, ricir 0.049022, prec@10 0.476860, prec@30 0.482782, test_mae 0.088633, test_rmse 0.192201, test_mape 1945.927490, test_acc 0.305868
Epoch 3, train_loss 0.014090, train_ic 0.000570, train_icir 0.008748, train_ric -0.002240, train_ricir -0.023442, train_mae 0.030450, train_rmse 0.055650, train_mape 208.976501, train_acc 0.534396, valid_loss 0.0335413485, valid_ic 0.004439, valid_icir 0.036833, valid_ric -0.001014, valid_ricir -0.014752, valid_mae 0.083625, valid_rmse 0.195330, valid_mape 1850.559204, valid_acc 0.409339, test_loss 0.028174, ic 0.011697, icir 0.118893, ric -0.004184, ricir -0.045398, prec@10 0.506198, prec@30 0.487466, test_mae 0.066239, test_rmse 0.160015, test_mape 1344.582886, test_acc 0.366592
Epoch 4, train_loss 0.009415, train_ic 0.003192, train_icir 0.054018, train_ric 0.003109, train_ricir 0.034539, train_mae 0.031451, train_rmse 0.080048, train_mape 517.909973, train_acc 0.336634, valid_loss 0.0261990415, valid_ic 0.004117, valid_icir 0.034667, valid_ric -0.001467, valid_ricir -0.022034, valid_mae 0.067100, valid_rmse 0.171858, valid_mape 1437.969849, valid_acc 0.394501, test_loss 0.021504, ic 0.011597, icir 0.122591, ric -0.005376, ricir -0.072120, prec@10 0.550000, prec@30 0.542011, test_mae 0.052791, test_rmse 0.138265, test_mape 1033.817993, test_acc 0.329994
Epoch 5, train_loss 0.007015, train_ic 0.002521, train_icir 0.045780, train_ric 0.007563, train_ricir 0.062076, train_mae 0.053187, train_rmse 0.057000, train_mape 389.756500, train_acc 0.072845, valid_loss 0.0224373056, valid_ic 0.003201, valid_icir 0.029275, valid_ric -0.003853, valid_ricir -0.043376, valid_mae 0.074189, valid_rmse 0.158380, valid_mape 1590.038452, valid_acc 0.366790, test_loss 0.018186, ic 0.010072, icir 0.120562, ric -0.007139, ricir -0.059121, prec@10 0.469421, prec@30 0.474518, test_mae 0.061831, test_rmse 0.127926, test_mape 1184.034424, test_acc 0.305255
Epoch 6, train_loss 0.005551, train_ic 0.009243, train_icir 0.162919, train_ric 0.007975, train_ricir 0.068563, train_mae 0.030586, train_rmse 0.069496, train_mape 596.626648, train_acc 0.210526, valid_loss 0.0183799360, valid_ic 0.004033, valid_icir 0.036293, valid_ric -0.001651, valid_ricir -0.016068, valid_mae 0.054933, valid_rmse 0.142707, valid_mape 1152.284058, valid_acc 0.365699, test_loss 0.014675, ic 0.011054, icir 0.128822, ric 0.009691, ricir 0.091946, prec@10 0.528099, prec@30 0.520937, test_mae 0.043411, test_rmse 0.113187, test_mape 814.093018, test_acc 0.303619
Epoch 7, train_loss 0.004723, train_ic 0.005296, train_icir 0.069008, train_ric 0.011256, train_ricir 0.083295, train_mae 0.029335, train_rmse 0.056675, train_mape 452.643829, train_acc 0.719148, valid_loss 0.0161628033, valid_ic 0.003595, valid_icir 0.031364, valid_ric 0.016164, valid_ricir 0.108696, valid_mae 0.048084, valid_rmse 0.132439, valid_mape 989.450806, valid_acc 0.548113, test_loss 0.012851, ic 0.010785, icir 0.118380, ric 0.030697, ricir 0.181313, prec@10 0.575620, prec@30 0.567631, test_mae 0.034167, test_rmse 0.103939, test_mape 619.067871, test_acc 0.618278
Epoch 8, train_loss 0.004096, train_ic 0.005679, train_icir 0.108185, train_ric -0.000593, train_ricir -0.008271, train_mae 0.035283, train_rmse 0.051958, train_mape 334.061493, train_acc 0.583498, valid_loss 0.0150643312, valid_ic 0.003457, valid_icir 0.033861, valid_ric 0.000690, valid_ricir 0.012306, valid_mae 0.058658, valid_rmse 0.128195, valid_mape 1267.024536, valid_acc 0.375300, test_loss 0.012073, ic 0.008274, icir 0.110316, ric -0.002550, ricir -0.060520, prec@10 0.577686, prec@30 0.569284, test_mae 0.052238, test_rmse 0.104006, test_mape 982.189575, test_acc 0.314251
Epoch 9, train_loss 0.003637, train_ic 0.008417, train_icir 0.141318, train_ric -0.007870, train_ricir -0.069589, train_mae 0.037314, train_rmse 0.099582, train_mape 7265.889648, train_acc 0.539320, valid_loss 0.0129622765, valid_ic 0.003097, valid_icir 0.032755, valid_ric -0.015056, valid_ricir -0.182874, valid_mae 0.041919, valid_rmse 0.118065, valid_mape 897.009277, valid_acc 0.514728, test_loss 0.010285, ic 0.008075, icir 0.117086, ric -0.016190, ricir -0.143618, prec@10 0.517355, prec@30 0.495317, test_mae 0.031835, test_rmse 0.092774, test_mape 585.529236, test_acc 0.515232
Epoch 10, train_loss 0.003360, train_ic 0.007532, train_icir 0.144164, train_ric 0.004589, train_ricir 0.047967, train_mae 0.021995, train_rmse 0.037434, train_mape 158.792358, train_acc 0.420050, valid_loss 0.0118710508, valid_ic 0.002999, valid_icir 0.030528, valid_ric 0.009970, valid_ricir 0.120663, valid_mae 0.041679, valid_rmse 0.113375, valid_mape 838.378235, valid_acc 0.366354, test_loss 0.009393, ic 0.007901, icir 0.106864, ric 0.022853, ricir 0.226200, prec@10 0.509504, prec@30 0.480165, test_mae 0.031886, test_rmse 0.089080, test_mape 542.094727, test_acc 0.304232
Epoch 11, train_loss 0.003069, train_ic 0.006500, train_icir 0.116647, train_ric -0.012762, train_ricir -0.105610, train_mae 0.044888, train_rmse 0.058501, train_mape 118.651070, train_acc 0.565936, valid_loss 0.0110304433, valid_ic 0.002964, valid_icir 0.034052, valid_ric -0.018225, valid_ricir -0.184635, valid_mae 0.037631, valid_rmse 0.108087, valid_mape 725.005981, valid_acc 0.485708, test_loss 0.008746, ic 0.006718, icir 0.106365, ric -0.025937, ricir -0.190095, prec@10 0.476446, prec@30 0.479201, test_mae 0.029080, test_rmse 0.085203, test_mape 460.619080, test_acc 0.453077
