Dataset:  CSI
Radom seed: 1234
GPU: 7
Learning rate: 0.001
Loss: MaskedMSELoss

---------- GRU ----------
{
    "epochs": 200,
    "lookback_length": 16,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "CSI",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 4,
        "valid_year": 2019,
        "test_year": 2020,
        "window": 16,
        "steps": 1
    },
    "early_stop": 20,
    "runner": "csi",
    "loss": "mse",
    "model_args": {
        "d_feat": 1,
        "hidden_size": 64,
        "num_layers": 2,
        "dropout": 0.1
    }
}
Epoch 1, train_loss 0.138103, train_ic 0.005884, train_icir 0.058736, train_ric 0.015025, train_ricir 0.174265, train_mae 0.131836, train_rmse 0.247312, train_mape 3580.509521, train_acc 0.449064, valid_loss 0.0419080352, valid_ic -0.005359, valid_icir -0.065274, valid_ric 0.005900, valid_ricir 0.095754, valid_mae 0.110317, valid_rmse 0.232210, valid_mape 2558.741455, valid_acc 0.391560, test_loss 0.078985, ic -0.013510, icir -0.115507, ric 0.000153, ricir 0.001834, prec@10 0.479835, prec@30 0.490261, test_mae 0.157647, test_rmse 0.300317, test_mape 2687.470459, test_acc 0.304072
Epoch 2, train_loss 0.032940, train_ic 0.006125, train_icir 0.073052, train_ric -0.008026, train_ricir -0.098753, train_mae 0.077433, train_rmse 0.168054, train_mape 1865.346313, train_acc 0.275635, valid_loss 0.0217323588, valid_ic -0.003539, valid_icir -0.049679, valid_ric -0.009031, valid_ricir -0.162674, valid_mae 0.073718, valid_rmse 0.171879, valid_mape 1637.555542, valid_acc 0.347756, test_loss 0.047988, ic -0.012026, icir -0.112272, ric -0.006866, ricir -0.086269, prec@10 0.498765, prec@30 0.512620, test_mae 0.113779, test_rmse 0.240137, test_mape 1815.928467, test_acc 0.208486
Epoch 3, train_loss 0.018334, train_ic 0.006739, train_icir 0.096237, train_ric -0.005606, train_ricir -0.065822, train_mae 0.078283, train_rmse 0.146100, train_mape 1479.170166, train_acc 0.151789, valid_loss 0.0153526493, valid_ic -0.004048, valid_icir -0.065652, valid_ric -0.009035, valid_ricir -0.186446, valid_mae 0.072893, valid_rmse 0.144930, valid_mape 1517.792236, valid_acc 0.349092, test_loss 0.035114, ic -0.012387, icir -0.125337, ric -0.004609, ricir -0.071764, prec@10 0.614403, prec@30 0.590672, test_mae 0.106670, test_rmse 0.211045, test_mape 1590.462769, test_acc 0.200683
Epoch 4, train_loss 0.012148, train_ic 0.007243, train_icir 0.093912, train_ric 0.028307, train_ricir 0.221549, train_mae 0.037193, train_rmse 0.098484, train_mape 630.654419, train_acc 0.317207, valid_loss 0.0106175188, valid_ic -0.005433, valid_icir -0.083798, valid_ric 0.011759, valid_ricir 0.109676, valid_mae 0.044640, valid_rmse 0.121677, valid_mape 868.654907, valid_acc 0.411592, test_loss 0.026722, ic -0.014428, icir -0.144730, ric 0.004717, ricir 0.034665, prec@10 0.633745, prec@30 0.589575, test_mae 0.078097, test_rmse 0.186930, test_mape 1064.500244, test_acc 0.343331
Epoch 5, train_loss 0.008896, train_ic 0.006045, train_icir 0.069067, train_ric 0.036003, train_ricir 0.262209, train_mae 0.046244, train_rmse 0.094110, train_mape 927.427856, train_acc 0.393070, valid_loss 0.0095127151, valid_ic -0.008003, valid_icir -0.115846, valid_ric 0.016463, valid_ricir 0.152537, valid_mae 0.047789, valid_rmse 0.112531, valid_mape 915.403381, valid_acc 0.579594, test_loss 0.023229, ic -0.017107, icir -0.169476, ric 0.005951, ricir 0.041719, prec@10 0.641564, prec@30 0.591770, test_mae 0.075025, test_rmse 0.173368, test_mape 1017.346924, test_acc 0.658620
Epoch 6, train_loss 0.006885, train_ic 0.005142, train_icir 0.095573, train_ric -0.002940, train_ricir -0.033051, train_mae 0.052784, train_rmse 0.087888, train_mape 594.683289, train_acc 0.375582, valid_loss 0.0075688230, valid_ic -0.002737, valid_icir -0.055279, valid_ric 0.003829, valid_ricir 0.062962, valid_mae 0.051187, valid_rmse 0.102501, valid_mape 981.180786, valid_acc 0.345353, test_loss 0.018996, ic -0.009972, icir -0.122717, ric 0.002901, ricir 0.046705, prec@10 0.527984, prec@30 0.526200, test_mae 0.079766, test_rmse 0.161563, test_mape 1004.775146, test_acc 0.194099
Epoch 7, train_loss 0.005573, train_ic 0.009756, train_icir 0.170110, train_ric 0.019736, train_ricir 0.170653, train_mae 0.026698, train_rmse 0.062166, train_mape 345.402924, train_acc 0.425169, valid_loss 0.0057107445, valid_ic -0.002845, valid_icir -0.056294, valid_ric 0.001703, valid_ricir 0.023420, valid_mae 0.030612, valid_rmse 0.088790, valid_mape 608.952942, valid_acc 0.581998, test_loss 0.015645, ic -0.009391, icir -0.115789, ric 0.009725, ricir 0.113163, prec@10 0.513992, prec@30 0.529767, test_mae 0.051078, test_rmse 0.145985, test_mape 668.787598, test_acc 0.703731
Epoch 8, train_loss 0.004718, train_ic 0.011860, train_icir 0.192666, train_ric 0.014364, train_ricir 0.105910, train_mae 0.020719, train_rmse 0.052053, train_mape 212.769623, train_acc 0.580702, valid_loss 0.0048371573, valid_ic -0.002648, valid_icir -0.051782, valid_ric -0.013013, valid_ricir -0.135351, valid_mae 0.025731, valid_rmse 0.081834, valid_mape 406.337555, valid_acc 0.522970, test_loss 0.013571, ic -0.008684, icir -0.109106, ric 0.000148, ricir 0.001154, prec@10 0.546502, prec@30 0.548834, test_mae 0.051426, test_rmse 0.137990, test_mape 585.958130, test_acc 0.367959
Epoch 9, train_loss 0.004039, train_ic 0.006922, train_icir 0.101753, train_ric 0.039749, train_ricir 0.298245, train_mae 0.022632, train_rmse 0.051738, train_mape 593.092224, train_acc 0.506787, valid_loss 0.0045300732, valid_ic -0.002224, valid_icir -0.041891, valid_ric 0.030791, valid_ricir 0.293280, valid_mae 0.028653, valid_rmse 0.077056, valid_mape 550.974060, valid_acc 0.588675, test_loss 0.012305, ic -0.009942, icir -0.125824, ric 0.019809, ricir 0.157309, prec@10 0.452263, prec@30 0.493964, test_mae 0.046973, test_rmse 0.129943, test_mape 631.831238, test_acc 0.697391
Epoch 10, train_loss 0.003624, train_ic 0.003147, train_icir 0.068075, train_ric 0.017017, train_ricir 0.167433, train_mae 0.017765, train_rmse 0.043251, train_mape 4371.038574, train_acc 0.513620, valid_loss 0.0037932528, valid_ic -0.002627, valid_icir -0.063944, valid_ric 0.031227, valid_ricir 0.505844, valid_mae 0.022581, valid_rmse 0.071658, valid_mape 344.337830, valid_acc 0.583066, test_loss 0.010807, ic -0.008994, icir -0.132478, ric 0.014984, ricir 0.188019, prec@10 0.504938, prec@30 0.521536, test_mae 0.041800, test_rmse 0.123418, test_mape 483.018219, test_acc 0.679834
Epoch 11, train_loss 0.003256, train_ic 0.007039, train_icir 0.132773, train_ric -0.019951, train_ricir -0.155039, train_mae 0.019717, train_rmse 0.043449, train_mape 321.107758, train_acc 0.309047, valid_loss 0.0035857700, valid_ic -0.001110, valid_icir -0.030590, valid_ric -0.015185, valid_ricir -0.174060, valid_mae 0.025666, valid_rmse 0.069224, valid_mape 389.063660, valid_acc 0.365385, test_loss 0.010008, ic -0.004846, icir -0.080971, ric -0.006353, ricir -0.068912, prec@10 0.539506, prec@30 0.522634, test_mae 0.045957, test_rmse 0.119342, test_mape 533.758972, test_acc 0.310656
