Dataset:  CSI
Radom seed: 1234
GPU: 7
Learning rate: 0.001
Loss: MaskedMSELoss

---------- GRU ----------
{
    "epochs": 200,
    "lookback_length": 16,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "CSI",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 4,
        "valid_year": 2022,
        "test_year": 2023,
        "window": 32,
        "steps": 1
    },
    "early_stop": 20,
    "runner": "csi",
    "loss": "mse",
    "model_args": {
        "d_feat": 1,
        "hidden_size": 64,
        "num_layers": 2,
        "dropout": 0.1
    }
}
Epoch 1, train_loss 0.106863, train_ic 0.002496, train_icir 0.024779, train_ric -0.008536, train_ricir -0.086205, train_mae 0.159214, train_rmse 0.272614, train_mape 944.322021, train_acc 0.596168, valid_loss 0.0610985156, valid_ic 0.017130, valid_icir 0.132000, valid_ric 0.009864, valid_ricir 0.082667, valid_mae 0.116017, valid_rmse 0.238645, valid_mape 2813.983154, valid_acc 0.656122, test_loss 0.060005, ic 0.019141, icir 0.206878, ric 0.020537, ricir 0.218782, prec@10 0.486777, prec@30 0.467355, test_mae 0.116579, test_rmse 0.232884, test_mape 2456.544189, test_acc 0.628521
Epoch 2, train_loss 0.025767, train_ic 0.002870, train_icir 0.035187, train_ric 0.008604, train_ricir 0.094542, train_mae 0.047461, train_rmse 0.120619, train_mape 527.435608, train_acc 0.635556, valid_loss 0.0350941608, valid_ic 0.014176, valid_icir 0.130364, valid_ric 0.005324, valid_ricir 0.066263, valid_mae 0.075211, valid_rmse 0.179942, valid_mape 1628.800415, valid_acc 0.320049, test_loss 0.032340, ic 0.018048, icir 0.243348, ric 0.013101, ricir 0.180972, prec@10 0.488843, prec@30 0.486226, test_mae 0.070980, test_rmse 0.166282, test_mape 1492.419678, test_acc 0.320465
Epoch 3, train_loss 0.014778, train_ic 0.002631, train_icir 0.030420, train_ric -0.003852, train_ricir -0.028602, train_mae 0.045506, train_rmse 0.108629, train_mape 940.106018, train_acc 0.500359, valid_loss 0.0244934710, valid_ic 0.013027, valid_icir 0.122273, valid_ric 0.018309, valid_ricir 0.111991, valid_mae 0.055545, valid_rmse 0.147576, valid_mape 1198.783447, valid_acc 0.512736, test_loss 0.021391, ic 0.015551, icir 0.218248, ric 0.019384, ricir 0.143207, prec@10 0.525207, prec@30 0.499862, test_mae 0.055021, test_rmse 0.133699, test_mape 1151.073608, test_acc 0.330116
Epoch 4, train_loss 0.010078, train_ic 0.001147, train_icir 0.017623, train_ric -0.006363, train_ricir -0.067183, train_mae 0.016283, train_rmse 0.029554, train_mape 190.971725, train_acc 0.383288, valid_loss 0.0182322500, valid_ic 0.010917, valid_icir 0.124483, valid_ric -0.006296, valid_ricir -0.064065, valid_mae 0.045122, valid_rmse 0.126021, valid_mape 886.704468, valid_acc 0.408587, test_loss 0.015310, ic 0.014805, icir 0.260358, ric 0.001677, ricir 0.017478, prec@10 0.485537, prec@30 0.484986, test_mae 0.039920, test_rmse 0.111006, test_mape 891.245850, test_acc 0.500689
Epoch 5, train_loss 0.007377, train_ic 0.005964, train_icir 0.081615, train_ric 0.020466, train_ricir 0.197033, train_mae 0.054455, train_rmse 0.071221, train_mape 277.965637, train_acc 0.180844, valid_loss 0.0144436396, valid_ic 0.011664, valid_icir 0.127620, valid_ric 0.027271, valid_ricir 0.236256, valid_mae 0.040239, valid_rmse 0.110529, valid_mape 850.400635, valid_acc 0.663928, test_loss 0.011774, ic 0.014791, icir 0.246640, ric 0.032805, ricir 0.344159, prec@10 0.494215, prec@30 0.485813, test_mae 0.035550, test_rmse 0.095087, test_mape 920.364075, test_acc 0.761867
Epoch 6, train_loss 0.005833, train_ic 0.008626, train_icir 0.102162, train_ric -0.018156, train_ricir -0.125810, train_mae 0.021539, train_rmse 0.039727, train_mape 340.550812, train_acc 0.497177, valid_loss 0.0117161881, valid_ic 0.010092, valid_icir 0.121356, valid_ric -0.001122, valid_ricir -0.008055, valid_mae 0.044390, valid_rmse 0.101404, valid_mape 842.355164, valid_acc 0.320666, test_loss 0.009287, ic 0.012725, icir 0.231977, ric 0.006736, ricir 0.053729, prec@10 0.533058, prec@30 0.529339, test_mae 0.037279, test_rmse 0.086370, test_mape 747.158752, test_acc 0.251133
Epoch 7, train_loss 0.004814, train_ic -0.003198, train_icir -0.050762, train_ric -0.003317, train_ricir -0.028589, train_mae 0.048387, train_rmse 0.105079, train_mape 239.928436, train_acc 0.608962, valid_loss 0.0095064476, valid_ic 0.007133, valid_icir 0.094328, valid_ric 0.012881, valid_ricir 0.103376, valid_mae 0.029894, valid_rmse 0.089528, valid_mape 497.657837, valid_acc 0.351274, test_loss 0.007335, ic 0.010286, icir 0.203639, ric 0.016217, ricir 0.146367, prec@10 0.488430, prec@30 0.494904, test_mae 0.030859, test_rmse 0.076234, test_mape 612.929321, test_acc 0.219421
Epoch 8, train_loss 0.004090, train_ic 0.004325, train_icir 0.052365, train_ric 0.020942, train_ricir 0.157971, train_mae 0.023613, train_rmse 0.040642, train_mape 231.203110, train_acc 0.486438, valid_loss 0.0083118953, valid_ic 0.009418, valid_icir 0.120148, valid_ric 0.033258, valid_ricir 0.221526, valid_mae 0.028359, valid_rmse 0.083124, valid_mape 493.705658, valid_acc 0.525267, test_loss 0.006305, ic 0.010586, icir 0.194173, ric 0.025057, ricir 0.189311, prec@10 0.464050, prec@30 0.497245, test_mae 0.031126, test_rmse 0.070716, test_mape 612.538879, test_acc 0.386449
Epoch 9, train_loss 0.003767, train_ic 0.012755, train_icir 0.181067, train_ric 0.024613, train_ricir 0.195719, train_mae 0.035990, train_rmse 0.050025, train_mape 142.787125, train_acc 0.327103, valid_loss 0.0075687787, valid_ic 0.009491, valid_icir 0.151595, valid_ric 0.012486, valid_ricir 0.096619, valid_mae 0.031974, valid_rmse 0.079950, valid_mape 501.066406, valid_acc 0.301972, test_loss 0.005653, ic 0.013139, icir 0.306346, ric 0.018181, ricir 0.155884, prec@10 0.476860, prec@30 0.484711, test_mae 0.032839, test_rmse 0.067421, test_mape 588.383972, test_acc 0.184755
Epoch 10, train_loss 0.003342, train_ic 0.013275, train_icir 0.144998, train_ric 0.015332, train_ricir 0.112795, train_mae 0.033270, train_rmse 0.046673, train_mape 542.879089, train_acc 0.254540, valid_loss 0.0073513097, valid_ic 0.011229, valid_icir 0.143363, valid_ric 0.032904, valid_ricir 0.211831, valid_mae 0.037025, valid_rmse 0.078509, valid_mape 689.282837, valid_acc 0.345727, test_loss 0.005557, ic 0.011627, icir 0.210316, ric 0.024209, ricir 0.182664, prec@10 0.550413, prec@30 0.561157, test_mae 0.045473, test_rmse 0.072431, test_mape 738.159546, test_acc 0.177270
Epoch 11, train_loss 0.003134, train_ic 0.007843, train_icir 0.079907, train_ric 0.010694, train_ricir 0.073965, train_mae 0.023531, train_rmse 0.047639, train_mape 393.647461, train_acc 0.483076, valid_loss 0.0064903718, valid_ic 0.009480, valid_icir 0.109960, valid_ric 0.028915, valid_ricir 0.158380, valid_mae 0.027267, valid_rmse 0.071802, valid_mape 495.319885, valid_acc 0.594084, test_loss 0.004720, ic 0.009859, icir 0.158037, ric 0.024537, ricir 0.162937, prec@10 0.566529, prec@30 0.566529, test_mae 0.030923, test_rmse 0.061349, test_mape 563.036377, test_acc 0.486902
