Dataset:  CSI
Radom seed: 1234
GPU: 6
Learning rate: 0.001
Loss: MaskedMSELoss

---------- LSTM ----------
{
    "epochs": 200,
    "lookback_length": 16,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "CSI",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 4,
        "valid_year": 2024,
        "test_year": 2025,
        "window": 16,
        "steps": 1
    },
    "early_stop": 20,
    "runner": "csi",
    "loss": "mse",
    "model_args": {
        "d_feat": 1,
        "hidden_size": 64,
        "num_layers": 2,
        "dropout": 0.1
    }
}
Epoch 1, train_loss 0.090663, train_ic 0.004316, train_icir 0.044620, train_ric 0.005003, train_ricir 0.045759, train_mae 0.074647, train_rmse 0.162690, train_mape 2167.339844, train_acc 0.473248, valid_loss 0.0318148653, valid_ic 0.010884, valid_icir 0.098729, valid_ric 0.014991, valid_ricir 0.113969, valid_prec@10 0.480579, valid_prec@30 0.478237, valid_mae 0.080551, valid_rmse 0.177413, valid_mape 2585.730469, valid_acc 0.488364, test_loss 0.052000, ic 0.000831, icir 0.007517, ric 0.007227, ricir 0.056240, prec@10 0.509053, prec@30 0.504664, test_mae 0.110012, test_rmse 0.226913, test_mape 5175.057617, test_acc 0.497700
Epoch 2, train_loss 0.020695, train_ic 0.002775, train_icir 0.034923, train_ric 0.016368, train_ricir 0.181955, train_mae 0.044670, train_rmse 0.110765, train_mape 923.164001, train_acc 0.464947, valid_loss 0.0162707322, valid_ic 0.006850, valid_icir 0.075959, valid_ric 0.012512, valid_ricir 0.095517, valid_prec@10 0.561983, valid_prec@30 0.520937, valid_mae 0.050949, valid_rmse 0.126671, valid_mape 942.034363, valid_acc 0.499961, test_loss 0.026338, ic 0.000990, icir 0.010895, ric 0.022058, ricir 0.333003, prec@10 0.543210, prec@30 0.521948, test_mae 0.064298, test_rmse 0.161312, test_mape 2202.962158, test_acc 0.485315
Epoch 3, train_loss 0.011442, train_ic 0.005061, train_icir 0.080799, train_ric -0.013520, train_ricir -0.135977, train_mae 0.056636, train_rmse 0.094692, train_mape 2467.574951, train_acc 0.460149, valid_loss 0.0116076094, valid_ic 0.006714, valid_icir 0.099285, valid_ric -0.014498, valid_ricir -0.112964, valid_prec@10 0.471901, valid_prec@30 0.483609, valid_mae 0.059410, valid_rmse 0.106742, valid_mape 2914.325439, valid_acc 0.496892, test_loss 0.017299, ic 0.002267, icir 0.031844, ric -0.005677, ricir -0.066767, prec@10 0.528395, prec@30 0.511111, test_mae 0.067617, test_rmse 0.130793, test_mape 3879.721191, test_acc 0.478210
Epoch 4, train_loss 0.007362, train_ic 0.006378, train_icir 0.087410, train_ric 0.023706, train_ricir 0.202903, train_mae 0.031183, train_rmse 0.069091, train_mape 714.375854, train_acc 0.464874, valid_loss 0.0069744092, valid_ic 0.007554, valid_icir 0.105137, valid_ric 0.030419, valid_ricir 0.191306, valid_prec@10 0.537190, valid_prec@30 0.513361, valid_mae 0.036184, valid_rmse 0.082364, valid_mape 800.041809, valid_acc 0.500981, test_loss 0.010415, ic 0.001412, icir 0.020521, ric 0.018444, ricir 0.182307, prec@10 0.548971, prec@30 0.528944, test_mae 0.038989, test_rmse 0.101375, test_mape 1185.488403, test_acc 0.484551
Epoch 5, train_loss 0.005206, train_ic 0.006042, train_icir 0.080413, train_ric 0.018181, train_ricir 0.149523, train_mae 0.034107, train_rmse 0.061817, train_mape 1307.715820, train_acc 0.468959, valid_loss 0.0054190103, valid_ic 0.008764, valid_icir 0.128851, valid_ric 0.035110, valid_ricir 0.238704, valid_prec@10 0.507438, valid_prec@30 0.509366, valid_mae 0.037714, valid_rmse 0.072382, valid_mape 1488.340088, valid_acc 0.479889, test_loss 0.007447, ic 0.000970, icir 0.014372, ric 0.020485, ricir 0.157321, prec@10 0.535391, prec@30 0.521536, test_mae 0.037124, test_rmse 0.085643, test_mape 1909.834351, test_acc 0.494425
Epoch 6, train_loss 0.003999, train_ic 0.004766, train_icir 0.087839, train_ric -0.002016, train_ricir -0.025206, train_mae 0.028843, train_rmse 0.052944, train_mape 844.719727, train_acc 0.468707, valid_loss 0.0041174587, valid_ic 0.004732, valid_icir 0.095221, valid_ric -0.002390, valid_ricir -0.023227, valid_prec@10 0.531818, valid_prec@30 0.511570, valid_mae 0.033175, valid_rmse 0.062670, valid_mape 990.319336, valid_acc 0.480571, test_loss 0.005440, ic 0.001371, icir 0.024754, ric 0.013423, ricir 0.224041, prec@10 0.520165, prec@30 0.512346, test_mae 0.031983, test_rmse 0.073046, test_mape 1326.969849, test_acc 0.494169
Epoch 7, train_loss 0.003232, train_ic 0.010258, train_icir 0.153704, train_ric -0.000570, train_ricir -0.006297, train_mae 0.025873, train_rmse 0.047837, train_mape 593.968689, train_acc 0.460699, valid_loss 0.0033918048, valid_ic 0.007273, valid_icir 0.146265, valid_ric 0.004896, valid_ricir 0.044080, valid_prec@10 0.638843, valid_prec@30 0.597107, valid_mae 0.030484, valid_rmse 0.056662, valid_mape 760.161072, valid_acc 0.491449, test_loss 0.004218, ic 0.000274, icir 0.005508, ric -0.009152, ricir -0.168889, prec@10 0.612757, prec@30 0.577092, test_mae 0.027420, test_rmse 0.064283, test_mape 859.951416, test_acc 0.479019
Epoch 8, train_loss 0.002757, train_ic 0.002245, train_icir 0.036342, train_ric 0.026080, train_ricir 0.262817, train_mae 0.026375, train_rmse 0.044943, train_mape 795.585205, train_acc 0.469955, valid_loss 0.0029863804, valid_ic 0.002820, valid_icir 0.049530, valid_ric 0.022682, valid_ricir 0.155818, valid_prec@10 0.445455, valid_prec@30 0.465152, valid_mae 0.030495, valid_rmse 0.052533, valid_mape 923.469360, valid_acc 0.478765, test_loss 0.003479, ic -0.002017, icir -0.038977, ric 0.025558, ricir 0.263559, prec@10 0.466667, prec@30 0.478189, test_mae 0.026959, test_rmse 0.058159, test_mape 1156.799805, test_acc 0.496893
Epoch 9, train_loss 0.002449, train_ic 0.014749, train_icir 0.223185, train_ric -0.006441, train_ricir -0.061046, train_mae 0.023049, train_rmse 0.041137, train_mape 324.820465, train_acc 0.461231, valid_loss 0.0024910320, valid_ic 0.007732, valid_icir 0.199609, valid_ric -0.000557, valid_ricir -0.004174, valid_prec@10 0.526446, valid_prec@30 0.497107, valid_mae 0.027456, valid_rmse 0.047900, valid_mape 426.738922, valid_acc 0.487269, test_loss 0.002902, ic 0.001451, icir 0.030504, ric 0.001603, ricir 0.021592, prec@10 0.549383, prec@30 0.510151, test_mae 0.023876, test_rmse 0.053057, test_mape 474.476593, test_acc 0.486920
Epoch 10, train_loss 0.002192, train_ic 0.004997, train_icir 0.091108, train_ric -0.003624, train_ricir -0.042410, train_mae 0.026289, train_rmse 0.042289, train_mape 804.294434, train_acc 0.460571, valid_loss 0.0025160209, valid_ic 0.001245, valid_icir 0.036477, valid_ric -0.007006, valid_ricir -0.063148, valid_prec@10 0.575620, valid_prec@30 0.536226, valid_mae 0.029736, valid_rmse 0.047863, valid_mape 975.043884, valid_acc 0.495194, test_loss 0.002799, ic -0.002893, icir -0.067166, ric -0.003419, ricir -0.046845, prec@10 0.542387, prec@30 0.514540, test_mae 0.026770, test_rmse 0.052204, test_mape 1180.869629, test_acc 0.478301
Epoch 11, train_loss 0.002062, train_ic 0.010016, train_icir 0.166782, train_ric -0.003261, train_ricir -0.038953, train_mae 0.029601, train_rmse 0.043715, train_mape 1092.402832, train_acc 0.460712, valid_loss 0.0025401213, valid_ic 0.005381, valid_icir 0.139650, valid_ric 0.002278, valid_ricir 0.019912, valid_prec@10 0.580165, valid_prec@30 0.560468, valid_mae 0.032221, valid_rmse 0.048157, valid_mape 1227.214722, valid_acc 0.497376, test_loss 0.002776, ic -0.001824, icir -0.051416, ric -0.012176, ricir -0.200336, prec@10 0.558025, prec@30 0.545130, test_mae 0.030181, test_rmse 0.052016, test_mape 1638.534790, test_acc 0.478850
Epoch 12, train_loss 0.001917, train_ic 0.011401, train_icir 0.191083, train_ric 0.014925, train_ricir 0.160726, train_mae 0.022939, train_rmse 0.037281, train_mape 447.568848, train_acc 0.469775, valid_loss 0.0020326004, valid_ic 0.005946, valid_icir 0.181225, valid_ric 0.011136, valid_ricir 0.102966, valid_prec@10 0.507438, valid_prec@30 0.488981, valid_mae 0.027164, valid_rmse 0.042786, valid_mape 538.640869, valid_acc 0.479904, test_loss 0.002159, ic -0.000327, icir -0.008075, ric 0.016052, ricir 0.230169, prec@10 0.497119, prec@30 0.505624, test_mae 0.022907, test_rmse 0.045549, test_mape 720.907837, test_acc 0.495261
Epoch 13, train_loss 0.001834, train_ic 0.005612, train_icir 0.096088, train_ric -0.004131, train_ricir -0.041348, train_mae 0.024771, train_rmse 0.038420, train_mape 658.077515, train_acc 0.459029, valid_loss 0.0020532605, valid_ic 0.002601, valid_icir 0.064697, valid_ric -0.006189, valid_ricir -0.047087, valid_prec@10 0.479339, valid_prec@30 0.470661, valid_mae 0.028380, valid_rmse 0.043127, valid_mape 866.927734, valid_acc 0.494645, test_loss 0.002150, ic -0.001360, icir -0.043326, ric -0.004113, ricir -0.039078, prec@10 0.512757, prec@30 0.504390, test_mae 0.024570, test_rmse 0.045641, test_mape 991.358154, test_acc 0.475832
