Dataset:  CSI
Radom seed: 1234
GPU: 7
Learning rate: 0.001
Loss: MaskedMSELoss

---------- LSTM ----------
{
    "epochs": 200,
    "lookback_length": 32,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "CSI",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 4,
        "valid_year": 2020,
        "test_year": 2021,
        "window": 32,
        "steps": 1
    },
    "early_stop": 20,
    "runner": "csi",
    "loss": "mse",
    "model_args": {
        "d_feat": 1,
        "hidden_size": 64,
        "num_layers": 2,
        "dropout": 0.1
    }
}
Epoch 1, train_loss 0.115153, train_ic 0.003456, train_icir 0.037233, train_ric -0.000997, train_ricir -0.014226, train_mae 0.060223, train_rmse 0.146283, train_mape 953.678772, train_acc 0.605078, valid_loss 0.0651513131, valid_ic -0.016157, valid_icir -0.140264, valid_ric -0.008636, valid_ricir -0.103321, valid_prec@10 0.480658, valid_prec@30 0.488203, valid_mae 0.134890, valid_rmse 0.276283, valid_mape 2232.549561, valid_acc 0.570027, test_loss 0.079217, ic 0.005259, icir 0.037086, ric 0.007695, ricir 0.075210, prec@10 0.485185, prec@30 0.508368, test_mae 0.166576, test_rmse 0.305713, test_mape 4201.524902, test_acc 0.525853
Epoch 2, train_loss 0.025261, train_ic 0.003118, train_icir 0.038591, train_ric 0.007092, train_ricir 0.073404, train_mae 0.047230, train_rmse 0.127639, train_mape 5964.810059, train_acc 0.645455, valid_loss 0.0389368898, valid_ic -0.015693, valid_icir -0.147651, valid_ric -0.007730, valid_ricir -0.071367, valid_prec@10 0.493416, valid_prec@30 0.494102, valid_mae 0.092276, valid_rmse 0.220288, valid_mape 1397.583618, valid_acc 0.611479, test_loss 0.050511, ic 0.004946, icir 0.036098, ric 0.013339, ricir 0.105487, prec@10 0.499177, prec@30 0.508230, test_mae 0.110783, test_rmse 0.241731, test_mape 2739.674072, test_acc 0.537954
Epoch 3, train_loss 0.013883, train_ic 0.005048, train_icir 0.062807, train_ric 0.013145, train_ricir 0.136910, train_mae 0.025627, train_rmse 0.053036, train_mape 399.609009, train_acc 0.495531, valid_loss 0.0283069382, valid_ic -0.016164, valid_icir -0.157188, valid_ric -0.005306, valid_ricir -0.045533, valid_prec@10 0.613992, valid_prec@30 0.589163, valid_mae 0.081216, valid_rmse 0.191069, valid_mape 1119.590454, valid_acc 0.514839, test_loss 0.038183, ic 0.004757, icir 0.035546, ric 0.012783, ricir 0.104884, prec@10 0.599588, prec@30 0.597119, test_mae 0.090600, test_rmse 0.207583, test_mape 2120.210938, test_acc 0.511331
Epoch 4, train_loss 0.009107, train_ic 0.004459, train_icir 0.078023, train_ric -0.005274, train_ricir -0.050387, train_mae 0.034244, train_rmse 0.095805, train_mape 409.321442, train_acc 0.898181, valid_loss 0.0213762807, valid_ic -0.010013, valid_icir -0.120896, valid_ric -0.001179, valid_ricir -0.013684, valid_prec@10 0.544856, valid_prec@30 0.531962, valid_mae 0.079749, valid_rmse 0.170708, valid_mape 989.181702, valid_acc 0.195732, test_loss 0.030318, ic 0.003945, icir 0.032964, ric -0.009200, ricir -0.135098, prec@10 0.533333, prec@30 0.521262, test_mae 0.081745, test_rmse 0.184737, test_mape 1824.048218, test_acc 0.369637
Epoch 5, train_loss 0.006475, train_ic 0.005199, train_icir 0.102903, train_ric -0.003748, train_ricir -0.051899, train_mae 0.040887, train_rmse 0.046857, train_mape 868.372070, train_acc 0.397538, valid_loss 0.0174844771, valid_ic -0.009952, valid_icir -0.128285, valid_ric -0.002707, valid_ricir -0.059549, valid_prec@10 0.540329, valid_prec@30 0.527435, valid_mae 0.081458, valid_rmse 0.156542, valid_mape 1029.853760, valid_acc 0.195242, test_loss 0.025525, ic 0.003612, icir 0.031074, ric -0.004672, ricir -0.097524, prec@10 0.513169, prec@30 0.510700, test_mae 0.082368, test_rmse 0.169069, test_mape 1815.207520, test_acc 0.363256
Epoch 6, train_loss 0.004902, train_ic 0.006887, train_icir 0.109029, train_ric 0.012994, train_ricir 0.120152, train_mae 0.038887, train_rmse 0.071948, train_mape 330.061310, train_acc 0.240964, valid_loss 0.0133895400, valid_ic -0.012687, valid_icir -0.159883, valid_ric -0.002220, valid_ricir -0.021890, valid_prec@10 0.642798, valid_prec@30 0.594650, valid_mae 0.055020, valid_rmse 0.137258, valid_mape 631.042908, valid_acc 0.304145, test_loss 0.020478, ic 0.003392, icir 0.029144, ric 0.005083, ricir 0.053256, prec@10 0.600412, prec@30 0.592730, test_mae 0.055587, test_rmse 0.150067, test_mape 1159.935059, test_acc 0.455006
Epoch 7, train_loss 0.003821, train_ic 0.002935, train_icir 0.048588, train_ric -0.015367, train_ricir -0.144567, train_mae 0.025722, train_rmse 0.058608, train_mape 10887.786133, train_acc 0.769253, valid_loss 0.0112053484, valid_ic -0.011182, valid_icir -0.145899, valid_ric -0.018792, valid_ricir -0.161147, valid_prec@10 0.551440, valid_prec@30 0.498765, valid_mae 0.046697, valid_rmse 0.123497, valid_mape 666.381348, valid_acc 0.705421, test_loss 0.017596, ic 0.003428, icir 0.029714, ric -0.000705, ricir -0.006011, prec@10 0.554733, prec@30 0.512346, test_mae 0.055708, test_rmse 0.137711, test_mape 1293.459106, test_acc 0.581738
Epoch 8, train_loss 0.003145, train_ic 0.005915, train_icir 0.084758, train_ric 0.034660, train_ricir 0.269606, train_mae 0.036263, train_rmse 0.056180, train_mape 446.776062, train_acc 0.329128, valid_loss 0.0091082773, valid_ic -0.011231, valid_icir -0.154811, valid_ric 0.011302, valid_ricir 0.089376, valid_prec@10 0.476132, valid_prec@30 0.499451, valid_mae 0.041118, valid_rmse 0.112407, valid_mape 561.516846, valid_acc 0.716949, test_loss 0.014783, ic 0.003332, icir 0.029978, ric 0.031434, ricir 0.224291, prec@10 0.488066, prec@30 0.506859, test_mae 0.047986, test_rmse 0.125930, test_mape 1081.412231, test_acc 0.582178
Epoch 9, train_loss 0.002667, train_ic 0.008249, train_icir 0.141883, train_ric -0.023617, train_ricir -0.210696, train_mae 0.056767, train_rmse 0.061193, train_mape 954.714783, train_acc 0.184926, valid_loss 0.0092172542, valid_ic -0.008316, valid_icir -0.143107, valid_ric -0.012101, valid_ricir -0.146777, valid_prec@10 0.641152, valid_prec@30 0.597394, valid_mae 0.071942, valid_rmse 0.116674, valid_mape 905.164795, valid_acc 0.192298, test_loss 0.014268, ic 0.003394, icir 0.034909, ric -0.017078, ricir -0.226237, prec@10 0.585597, prec@30 0.591221, test_mae 0.069171, test_rmse 0.124430, test_mape 1513.901001, test_acc 0.365237
Epoch 10, train_loss 0.002387, train_ic 0.004288, train_icir 0.078112, train_ric 0.011651, train_ricir 0.129747, train_mae 0.033776, train_rmse 0.049215, train_mape 281.948486, train_acc 0.318116, valid_loss 0.0066163224, valid_ic -0.007803, valid_icir -0.125350, valid_ric -0.001316, valid_ricir -0.016766, valid_prec@10 0.538683, valid_prec@30 0.501783, valid_mae 0.033974, valid_rmse 0.095867, valid_mape 439.395203, valid_acc 0.701006, test_loss 0.011106, ic 0.003422, icir 0.033583, ric 0.014197, ricir 0.139007, prec@10 0.549794, prec@30 0.514678, test_mae 0.040737, test_rmse 0.107694, test_mape 910.126709, test_acc 0.576458
Epoch 11, train_loss 0.002153, train_ic 0.012741, train_icir 0.247912, train_ric -0.001673, train_ricir -0.018057, train_mae 0.040046, train_rmse 0.050628, train_mape 10272.470703, train_acc 0.208073, valid_loss 0.0060919648, valid_ic -0.003200, valid_icir -0.060245, valid_ric -0.003126, valid_ricir -0.041310, valid_prec@10 0.568313, valid_prec@30 0.536488, valid_mae 0.033781, valid_rmse 0.089929, valid_mape 503.394073, valid_acc 0.734854, test_loss 0.010103, ic 0.004461, icir 0.047750, ric -0.006195, ricir -0.099775, prec@10 0.558436, prec@30 0.537997, test_mae 0.042961, test_rmse 0.101718, test_mape 1018.928894, test_acc 0.587679
