Dataset:  CSI
Radom seed: 1234
GPU: 7
Learning rate: 0.001
Loss: MaskedMSELoss

---------- LSTM ----------
{
    "epochs": 200,
    "lookback_length": 64,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "CSI",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 4,
        "valid_year": 2019,
        "test_year": 2020,
        "window": 64,
        "steps": 1
    },
    "early_stop": 20,
    "runner": "csi",
    "loss": "mse",
    "model_args": {
        "d_feat": 1,
        "hidden_size": 64,
        "num_layers": 2,
        "dropout": 0.1
    }
}
Epoch 1, train_loss 0.145172, train_ic 0.003802, train_icir 0.036999, train_ric 0.014022, train_ricir 0.114125, train_mae 0.080139, train_rmse 0.175092, train_mape 1680.954956, train_acc 0.500848, valid_loss 0.0402244185, valid_ic -0.010442, valid_icir -0.123533, valid_ric 0.004445, valid_ricir 0.045511, valid_prec@10 0.422131, valid_prec@30 0.463661, valid_mae 0.108101, valid_rmse 0.226781, valid_mape 2536.739258, valid_acc 0.474199, test_loss 0.075527, ic -0.018441, icir -0.153655, ric -0.008160, ricir -0.058545, prec@10 0.418519, prec@30 0.445267, test_mae 0.156315, test_rmse 0.297166, test_mape 2512.072266, test_acc 0.360676
Epoch 2, train_loss 0.032470, train_ic 0.005983, train_icir 0.074225, train_ric -0.005060, train_ricir -0.065487, train_mae 0.075768, train_rmse 0.155251, train_mape 1330.096924, train_acc 0.502842, valid_loss 0.0213039147, valid_ic -0.007255, valid_icir -0.104901, valid_ric -0.016558, valid_ricir -0.352062, valid_prec@10 0.550820, valid_prec@30 0.541257, valid_mae 0.083344, valid_rmse 0.169670, valid_mape 1851.473022, valid_acc 0.349810, test_loss 0.046051, ic -0.014975, icir -0.142074, ric -0.011498, ricir -0.165880, prec@10 0.539506, prec@30 0.522222, test_mae 0.123787, test_rmse 0.239408, test_mape 1850.784302, test_acc 0.202834
Epoch 3, train_loss 0.017954, train_ic 0.005978, train_icir 0.075101, train_ric 0.014697, train_ricir 0.139019, train_mae 0.061412, train_rmse 0.122713, train_mape 1542.626099, train_acc 0.402071, valid_loss 0.0145355601, valid_ic -0.007976, valid_icir -0.117413, valid_ric -0.014375, valid_ricir -0.176475, valid_prec@10 0.501639, valid_prec@30 0.497131, valid_mae 0.064489, valid_rmse 0.139398, valid_mape 1457.308716, valid_acc 0.576317, test_loss 0.033544, ic -0.015297, icir -0.147174, ric -0.007868, ricir -0.068665, prec@10 0.480658, prec@30 0.484774, test_mae 0.091498, test_rmse 0.206104, test_mape 1441.381226, test_acc 0.660701
Epoch 4, train_loss 0.011867, train_ic 0.008095, train_icir 0.126218, train_ric 0.002819, train_ricir 0.032196, train_mae 0.038301, train_rmse 0.049118, train_mape 580.660461, train_acc 0.218427, valid_loss 0.0107917262, valid_ic -0.005155, valid_icir -0.094357, valid_ric -0.014827, valid_ricir -0.283822, valid_prec@10 0.579508, valid_prec@30 0.532104, valid_mae 0.055534, valid_rmse 0.121754, valid_mape 1093.270386, valid_acc 0.349267, test_loss 0.026030, ic -0.010887, icir -0.121979, ric -0.004165, ricir -0.064618, prec@10 0.562551, prec@30 0.546502, test_mae 0.092479, test_rmse 0.187539, test_mape 1210.560425, test_acc 0.195625
Epoch 5, train_loss 0.008461, train_ic 0.008432, train_icir 0.104529, train_ric 0.021673, train_ricir 0.162258, train_mae 0.022171, train_rmse 0.034296, train_mape 285.273102, train_acc 0.806990, valid_loss 0.0083376478, valid_ic -0.007666, valid_icir -0.115014, valid_ric -0.003649, valid_ricir -0.033039, valid_prec@10 0.630328, valid_prec@30 0.599863, valid_mae 0.043704, valid_rmse 0.106441, valid_mape 878.729980, valid_acc 0.566268, test_loss 0.021001, ic -0.015187, icir -0.155617, ric -0.003637, ricir -0.024456, prec@10 0.607819, prec@30 0.590672, test_mae 0.069285, test_rmse 0.167652, test_mape 923.597717, test_acc 0.591598
Epoch 6, train_loss 0.006493, train_ic 0.006421, train_icir 0.108521, train_ric 0.009162, train_ricir 0.102192, train_mae 0.022995, train_rmse 0.066287, train_mape 441.247375, train_acc 0.427596, valid_loss 0.0061481274, valid_ic -0.006241, valid_icir -0.117643, valid_ric -0.012947, valid_ricir -0.180818, valid_prec@10 0.565164, valid_prec@30 0.549317, valid_mae 0.029468, valid_rmse 0.092997, valid_mape 529.303711, valid_acc 0.584737, test_loss 0.016752, ic -0.012892, icir -0.153597, ric -0.007182, ricir -0.082380, prec@10 0.528807, prec@30 0.524143, test_mae 0.054284, test_rmse 0.152511, test_mape 659.417175, test_acc 0.674621
Epoch 7, train_loss 0.005075, train_ic 0.007728, train_icir 0.115435, train_ric 0.028783, train_ricir 0.233247, train_mae 0.039890, train_rmse 0.072841, train_mape 362.708221, train_acc 0.239482, valid_loss 0.0051445602, valid_ic -0.006735, valid_icir -0.122869, valid_ric 0.000555, valid_ricir 0.005909, valid_prec@10 0.589754, valid_prec@30 0.582650, valid_mae 0.028777, valid_rmse 0.084939, valid_mape 480.399658, valid_acc 0.412819, test_loss 0.014161, ic -0.013338, icir -0.162127, ric 0.001546, ricir 0.012920, prec@10 0.579012, prec@30 0.579424, test_mae 0.054846, test_rmse 0.141677, test_mape 627.288208, test_acc 0.315436
Epoch 8, train_loss 0.004196, train_ic 0.005265, train_icir 0.106869, train_ric -0.024963, train_ricir -0.247853, train_mae 0.021078, train_rmse 0.046882, train_mape 225.050598, train_acc 0.589932, valid_loss 0.0042678383, valid_ic -0.004908, valid_icir -0.107981, valid_ric -0.024208, valid_ricir -0.364928, valid_prec@10 0.573770, valid_prec@30 0.527732, valid_mae 0.024009, valid_rmse 0.076447, valid_mape 389.539032, valid_acc 0.561923, test_loss 0.011947, ic -0.011106, icir -0.152355, ric -0.017775, ricir -0.253785, prec@10 0.548560, prec@30 0.529355, test_mae 0.044796, test_rmse 0.130234, test_mape 527.293518, test_acc 0.613970
Epoch 9, train_loss 0.003550, train_ic 0.004801, train_icir 0.094258, train_ric -0.008702, train_ricir -0.090765, train_mae 0.019146, train_rmse 0.044948, train_mape 230.450745, train_acc 0.464029, valid_loss 0.0037917948, valid_ic -0.002201, valid_icir -0.056571, valid_ric -0.003763, valid_ricir -0.052398, valid_prec@10 0.561475, valid_prec@30 0.527459, valid_mae 0.027375, valid_rmse 0.071653, valid_mape 409.081421, valid_acc 0.370451, test_loss 0.010346, ic -0.007265, icir -0.116922, ric -0.001740, ricir -0.019397, prec@10 0.547325, prec@30 0.538820, test_mae 0.048138, test_rmse 0.122487, test_mape 537.858948, test_acc 0.412876
Epoch 10, train_loss 0.003014, train_ic 0.005365, train_icir 0.086170, train_ric 0.030339, train_ricir 0.271129, train_mae 0.043252, train_rmse 0.049661, train_mape 335.809479, train_acc 0.268504, valid_loss 0.0040240846, valid_ic -0.005366, valid_icir -0.117432, valid_ric 0.015183, valid_ricir 0.217702, valid_prec@10 0.466393, valid_prec@30 0.497678, valid_mae 0.035182, valid_rmse 0.068827, valid_mape 750.572632, valid_acc 0.590168, test_loss 0.009645, ic -0.010930, icir -0.160031, ric 0.008034, ricir 0.098853, prec@10 0.467490, prec@30 0.486557, test_mae 0.045816, test_rmse 0.113904, test_mape 694.325073, test_acc 0.722347
Epoch 11, train_loss 0.002632, train_ic 0.007612, train_icir 0.080694, train_ric 0.018286, train_ricir 0.137674, train_mae 0.042252, train_rmse 0.048214, train_mape 527.870972, train_acc 0.269931, valid_loss 0.0036814691, valid_ic -0.008032, valid_icir -0.121148, valid_ric -0.001025, valid_ricir -0.009695, valid_prec@10 0.483197, valid_prec@30 0.505874, valid_mae 0.033673, valid_rmse 0.066001, valid_mape 611.654114, valid_acc 0.539652, test_loss 0.008528, ic -0.013543, icir -0.158611, ric -0.004276, ricir -0.028643, prec@10 0.471605, prec@30 0.496022, test_mae 0.048597, test_rmse 0.109007, test_mape 610.851013, test_acc 0.466070
Epoch 12, train_loss 0.002440, train_ic 0.008277, train_icir 0.147771, train_ric -0.019073, train_ricir -0.176735, train_mae 0.022575, train_rmse 0.037942, train_mape 297.774567, train_acc 0.404849, valid_loss 0.0028089157, valid_ic 0.001967, valid_icir 0.051916, valid_ric -0.016135, valid_ricir -0.211006, valid_prec@10 0.555328, valid_prec@30 0.509016, valid_mae 0.023844, valid_rmse 0.058692, valid_mape 438.370361, valid_acc 0.560837, test_loss 0.007223, ic -0.000626, icir -0.012031, ric -0.006568, ricir -0.077944, prec@10 0.559671, prec@30 0.521811, test_mae 0.034673, test_rmse 0.100129, test_mape 424.370239, test_acc 0.671390
Epoch 13, train_loss 0.002262, train_ic 0.010080, train_icir 0.180239, train_ric -0.025206, train_ricir -0.207013, train_mae 0.037436, train_rmse 0.050631, train_mape 861.968140, train_acc 0.510651, valid_loss 0.0037940760, valid_ic -0.003753, valid_icir -0.118748, valid_ric -0.025322, valid_ricir -0.297367, valid_prec@10 0.562295, valid_prec@30 0.538525, valid_mae 0.045804, valid_rmse 0.067158, valid_mape 860.597595, valid_acc 0.348724, test_loss 0.007513, ic -0.005925, icir -0.127451, ric -0.011713, ricir -0.131989, prec@10 0.544033, prec@30 0.536763, test_mae 0.064600, test_rmse 0.106226, test_mape 772.315063, test_acc 0.191648
Epoch 14, train_loss 0.002076, train_ic 0.010531, train_icir 0.197775, train_ric 0.022053, train_ricir 0.218258, train_mae 0.037377, train_rmse 0.049927, train_mape 398.429993, train_acc 0.281313, valid_loss 0.0025958588, valid_ic -0.004124, valid_icir -0.109606, valid_ric -0.007187, valid_ricir -0.113407, valid_prec@10 0.524180, valid_prec@30 0.512978, valid_mae 0.026979, valid_rmse 0.053640, valid_mape 563.780029, valid_acc 0.592341, test_loss 0.006007, ic -0.007037, icir -0.126247, ric -0.001290, ricir -0.017032, prec@10 0.513992, prec@30 0.517421, test_mae 0.032725, test_rmse 0.089750, test_mape 461.677917, test_acc 0.732041
Epoch 15, train_loss 0.001902, train_ic -0.000021, train_icir -0.000350, train_ric 0.009348, train_ricir 0.089976, train_mae 0.016950, train_rmse 0.033419, train_mape 242.904190, train_acc 0.466643, valid_loss 0.0019634407, valid_ic -0.005460, valid_icir -0.170231, valid_ric 0.011382, valid_ricir 0.149876, valid_prec@10 0.447951, valid_prec@30 0.469809, valid_mae 0.017583, valid_rmse 0.048607, valid_mape 220.746277, valid_acc 0.438892, test_loss 0.005077, ic -0.008732, icir -0.176854, ric 0.003043, ricir 0.032568, prec@10 0.434156, prec@30 0.451578, test_mae 0.029866, test_rmse 0.085978, test_mape 274.485443, test_acc 0.562267
Epoch 16, train_loss 0.001857, train_ic 0.004474, train_icir 0.079479, train_ric 0.015206, train_ricir 0.159431, train_mae 0.014676, train_rmse 0.031591, train_mape 148.904221, train_acc 0.638607, valid_loss 0.0018439254, valid_ic -0.004205, valid_icir -0.120930, valid_ric 0.004718, valid_ricir 0.065889, valid_prec@10 0.549180, valid_prec@30 0.561475, valid_mae 0.016417, valid_rmse 0.046296, valid_mape 209.450241, valid_acc 0.589897, test_loss 0.004709, ic -0.008611, icir -0.174606, ric -0.002421, ricir -0.031052, prec@10 0.508230, prec@30 0.534294, test_mae 0.027640, test_rmse 0.082169, test_mape 261.877350, test_acc 0.682824
Epoch 17, train_loss 0.001748, train_ic 0.017176, train_icir 0.316897, train_ric -0.000371, train_ricir -0.003779, train_mae 0.032725, train_rmse 0.042184, train_mape 76.574921, train_acc 0.895399, valid_loss 0.0018716067, valid_ic -0.002003, valid_icir -0.059364, valid_ric -0.017452, valid_ricir -0.282366, valid_prec@10 0.567623, valid_prec@30 0.518033, valid_mae 0.019255, valid_rmse 0.045452, valid_mape 337.591888, valid_acc 0.590440, test_loss 0.004507, ic -0.004932, icir -0.102545, ric -0.006977, ricir -0.099863, prec@10 0.557613, prec@30 0.529492, test_mae 0.026358, test_rmse 0.078770, test_mape 312.949768, test_acc 0.733532
