Dataset:  CSI
Radom seed: 1234
GPU: 7
Learning rate: 0.001
Loss: MaskedMSELoss

---------- LSTM ----------
{
    "epochs": 200,
    "lookback_length": 8,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "CSI",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 4,
        "valid_year": 2018,
        "test_year": 2019,
        "window": 8,
        "steps": 1
    },
    "early_stop": 20,
    "runner": "csi",
    "loss": "mse",
    "model_args": {
        "d_feat": 1,
        "hidden_size": 64,
        "num_layers": 2,
        "dropout": 0.1
    }
}
Epoch 1, train_loss 0.159280, train_ic 0.002385, train_icir 0.022896, train_ric 0.019655, train_ricir 0.179196, train_mae 0.153997, train_rmse 0.236194, train_mape 331.840454, train_acc 0.559468, valid_loss 0.0473086309, valid_ic 0.001117, valid_icir 0.011348, valid_ric 0.011252, valid_ricir 0.117748, valid_prec@10 0.457613, valid_prec@30 0.470919, valid_mae 0.074892, valid_rmse 0.172682, valid_mape 1437.038574, valid_acc 0.500140, test_loss 0.048767, ic -0.008991, icir -0.106815, ric 0.016099, ricir 0.213896, prec@10 0.578279, prec@30 0.528279, test_mae 0.121375, test_rmse 0.248574, test_mape 2832.397949, test_acc 0.512527
Epoch 2, train_loss 0.040150, train_ic 0.004124, train_icir 0.043937, train_ric 0.016978, train_ricir 0.140030, train_mae 0.072419, train_rmse 0.164011, train_mape 1614.601929, train_acc 0.441657, valid_loss 0.0235966601, valid_ic 0.000749, valid_icir 0.008567, valid_ric 0.007188, valid_ricir 0.059387, valid_prec@10 0.481481, valid_prec@30 0.506447, valid_mae 0.049650, valid_rmse 0.120893, valid_mape 891.633972, valid_acc 0.503506, test_loss 0.025600, ic -0.008953, icir -0.115616, ric 0.002925, ricir 0.029791, prec@10 0.602869, prec@30 0.567896, test_mae 0.078360, test_rmse 0.185025, test_mape 1795.418579, test_acc 0.565299
Epoch 3, train_loss 0.022827, train_ic 0.008643, train_icir 0.109384, train_ric -0.005283, train_ricir -0.055281, train_mae 0.094161, train_rmse 0.148082, train_mape 297.838013, train_acc 0.185825, valid_loss 0.0152409727, valid_ic 0.001754, valid_icir 0.024259, valid_ric -0.020226, valid_ricir -0.268547, valid_prec@10 0.573663, valid_prec@30 0.535117, valid_mae 0.036516, valid_rmse 0.096460, valid_mape 632.605957, valid_acc 0.510799, test_loss 0.017086, ic -0.006620, icir -0.098407, ric -0.020741, ricir -0.360876, prec@10 0.594672, prec@30 0.561475, test_mae 0.059272, test_rmse 0.152655, test_mape 1320.848999, test_acc 0.572228
Epoch 4, train_loss 0.015168, train_ic 0.010660, train_icir 0.130903, train_ric 0.013126, train_ricir 0.094874, train_mae 0.027008, train_rmse 0.045569, train_mape 256.606354, train_acc 0.335709, valid_loss 0.0109679552, valid_ic 0.001834, valid_icir 0.025150, valid_ric -0.005713, valid_ricir -0.045601, valid_prec@10 0.561317, valid_prec@30 0.552812, valid_mae 0.035276, valid_rmse 0.083028, valid_mape 638.696411, valid_acc 0.471809, test_loss 0.012784, ic -0.007411, icir -0.110666, ric -0.013441, ricir -0.125777, prec@10 0.614754, prec@30 0.596721, test_mae 0.052561, test_rmse 0.132989, test_mape 1068.575073, test_acc 0.399254
Epoch 5, train_loss 0.010967, train_ic 0.007402, train_icir 0.101283, train_ric 0.019107, train_ricir 0.164353, train_mae 0.057185, train_rmse 0.101579, train_mape 1337.826294, train_acc 0.412735, valid_loss 0.0099491727, valid_ic -0.000497, valid_icir -0.007616, valid_ric -0.005852, valid_ricir -0.060789, valid_prec@10 0.516461, valid_prec@30 0.495610, valid_mae 0.051975, valid_rmse 0.082001, valid_mape 964.222534, valid_acc 0.499299, test_loss 0.011340, ic -0.007023, icir -0.114761, ric -0.005840, ricir -0.073881, prec@10 0.587705, prec@30 0.535519, test_mae 0.062060, test_rmse 0.121917, test_mape 1375.033691, test_acc 0.581290
Epoch 6, train_loss 0.008345, train_ic 0.007984, train_icir 0.132982, train_ric 0.003011, train_ricir 0.031430, train_mae 0.028668, train_rmse 0.081488, train_mape 560.694946, train_acc 0.486381, valid_loss 0.0065408901, valid_ic -0.000441, valid_icir -0.008512, valid_ric -0.007313, valid_ricir -0.080158, valid_prec@10 0.544033, valid_prec@30 0.515912, valid_mae 0.023870, valid_rmse 0.063434, valid_mape 334.641632, valid_acc 0.458626, test_loss 0.007968, ic -0.005884, icir -0.113270, ric -0.006680, ricir -0.112212, prec@10 0.629508, prec@30 0.577459, test_mae 0.035115, test_rmse 0.105572, test_mape 670.625916, test_acc 0.496535
Epoch 7, train_loss 0.006569, train_ic 0.007542, train_icir 0.125806, train_ric -0.015354, train_ricir -0.147902, train_mae 0.051325, train_rmse 0.081764, train_mape 262.523743, train_acc 0.240150, valid_loss 0.0054022880, valid_ic -0.000935, valid_icir -0.017756, valid_ric -0.020625, valid_ricir -0.245426, valid_prec@10 0.567078, valid_prec@30 0.508230, valid_mae 0.024222, valid_rmse 0.057685, valid_mape 354.890350, valid_acc 0.498738, test_loss 0.006623, ic -0.005865, icir -0.112048, ric -0.012627, ricir -0.195468, prec@10 0.607377, prec@30 0.545492, test_mae 0.032118, test_rmse 0.095717, test_mape 619.363708, test_acc 0.587154
Epoch 8, train_loss 0.005384, train_ic 0.003795, train_icir 0.057145, train_ric 0.019872, train_ricir 0.169733, train_mae 0.041795, train_rmse 0.046364, train_mape 831.703857, train_acc 0.351072, valid_loss 0.0059663483, valid_ic -0.002988, valid_icir -0.052605, valid_ric 0.005219, valid_ricir 0.054546, valid_prec@10 0.426337, valid_prec@30 0.444444, valid_mae 0.046737, valid_rmse 0.065774, valid_mape 848.356812, valid_acc 0.497616, test_loss 0.006920, ic -0.007298, icir -0.134595, ric 0.010484, ricir 0.146833, prec@10 0.568443, prec@30 0.503142, test_mae 0.048760, test_rmse 0.093387, test_mape 1059.391479, test_acc 0.586087
Epoch 9, train_loss 0.004539, train_ic 0.009228, train_icir 0.100213, train_ric 0.022301, train_ricir 0.161647, train_mae 0.064580, train_rmse 0.084851, train_mape 76.059494, train_acc 0.855305, valid_loss 0.0044727583, valid_ic 0.001151, valid_icir 0.015285, valid_ric 0.006983, valid_ricir 0.050985, valid_prec@10 0.536214, valid_prec@30 0.547325, valid_mae 0.031407, valid_rmse 0.054143, valid_mape 567.986755, valid_acc 0.476297, test_loss 0.005685, ic -0.008045, icir -0.123562, ric 0.002001, ricir 0.018173, prec@10 0.621721, prec@30 0.587568, test_mae 0.043561, test_rmse 0.087962, test_mape 857.991333, test_acc 0.402186
Epoch 10, train_loss 0.003923, train_ic 0.012434, train_icir 0.198600, train_ric -0.005352, train_ricir -0.046444, train_mae 0.042478, train_rmse 0.065035, train_mape 485.891357, train_acc 0.316961, valid_loss 0.0038119078, valid_ic 0.000908, valid_icir 0.022584, valid_ric -0.015322, valid_ricir -0.181184, valid_prec@10 0.574074, valid_prec@30 0.517558, valid_mae 0.029961, valid_rmse 0.049713, valid_mape 516.562378, valid_acc 0.476017, test_loss 0.004701, ic -0.001914, icir -0.043941, ric -0.013132, ricir -0.218179, prec@10 0.592623, prec@30 0.535929, test_mae 0.034963, test_rmse 0.077268, test_mape 741.503784, test_acc 0.570896
Epoch 11, train_loss 0.003445, train_ic 0.017283, train_icir 0.312592, train_ric 0.013703, train_ricir 0.119989, train_mae 0.023459, train_rmse 0.032062, train_mape 111.951401, train_acc 0.583863, valid_loss 0.0026512293, valid_ic 0.001723, valid_icir 0.041832, valid_ric -0.010465, valid_ricir -0.124658, valid_prec@10 0.570782, valid_prec@30 0.548971, valid_mae 0.018995, valid_rmse 0.040887, valid_mape 215.417511, valid_acc 0.431697, test_loss 0.003626, ic -0.002671, icir -0.061311, ric -0.007356, ricir -0.124541, prec@10 0.584426, prec@30 0.562022, test_mae 0.024180, test_rmse 0.069900, test_mape 346.864838, test_acc 0.365672
