Dataset:  CSI2259
Radom seed: 1234
GPU: 5
Learning rate: 0.001
Loss: MaskedMSELoss

---------- LSTM ----------
{
    "epochs": 200,
    "lookback_length": 32,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "CSI2259",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 4,
        "valid_year": 2019,
        "test_year": 2020,
        "window": 32,
        "steps": 1
    },
    "early_stop": 20,
    "runner": "csi",
    "loss": "mse",
    "model_args": {
        "d_feat": 1,
        "hidden_size": 64,
        "num_layers": 2,
        "dropout": 0.1
    }
}
Epoch 1, train_loss 0.122079, train_ic 0.004721, train_icir 0.050526, train_ric 0.023151, train_ricir 0.197055, train_mae 0.059950, train_rmse 0.155737, train_mape 886.308960, train_acc 0.751217, valid_loss 0.0311495358, valid_ic -0.009351, valid_icir -0.115381, valid_ric 0.018365, valid_ricir 0.204967, valid_prec@10 0.476230, valid_prec@30 0.504918, valid_mae 0.079308, valid_rmse 0.192739, valid_mape 1947.653564, valid_acc 0.573263, test_loss 0.049519, ic -0.014902, icir -0.147831, ric 0.000122, ricir 0.001092, prec@10 0.469959, prec@30 0.489986, test_mae 0.104330, test_rmse 0.236900, test_mape 1879.987305, test_acc 0.557326
Epoch 2, train_loss 0.025578, train_ic 0.005236, train_icir 0.071994, train_ric -0.012466, train_ricir -0.171122, train_mae 0.054875, train_rmse 0.142257, train_mape 963.918335, train_acc 0.470562, valid_loss 0.0173731285, valid_ic -0.007818, valid_icir -0.116062, valid_ric -0.021547, valid_ricir -0.443232, valid_prec@10 0.552869, valid_prec@30 0.505601, valid_mae 0.056733, valid_rmse 0.147970, valid_mape 1349.435669, valid_acc 0.388225, test_loss 0.031019, ic -0.012714, icir -0.146200, ric -0.018975, ricir -0.310357, prec@10 0.558848, prec@30 0.522359, test_mae 0.078106, test_rmse 0.192570, test_mape 1340.109009, test_acc 0.367862
Epoch 3, train_loss 0.014262, train_ic 0.004146, train_icir 0.064074, train_ric -0.020339, train_ricir -0.261632, train_mae 0.046375, train_rmse 0.102875, train_mape 764.481934, train_acc 0.596282, valid_loss 0.0124271767, valid_ic -0.006751, valid_icir -0.107202, valid_ric -0.022425, valid_ricir -0.478994, valid_prec@10 0.583607, valid_prec@30 0.560519, valid_mae 0.048691, valid_rmse 0.124490, valid_mape 1234.270386, valid_acc 0.587871, test_loss 0.023464, ic -0.012883, icir -0.152591, ric -0.020507, ricir -0.323419, prec@10 0.553086, prec@30 0.543759, test_mae 0.063515, test_rmse 0.168972, test_mape 1137.113281, test_acc 0.646304
Epoch 4, train_loss 0.009588, train_ic 0.004472, train_icir 0.071617, train_ric -0.012922, train_ricir -0.156288, train_mae 0.046437, train_rmse 0.093913, train_mape 716.255981, train_acc 0.237273, valid_loss 0.0090777251, valid_ic -0.006364, valid_icir -0.107330, valid_ric -0.030876, valid_ricir -0.562230, valid_prec@10 0.534016, valid_prec@30 0.505055, valid_mae 0.037183, valid_rmse 0.107168, valid_mape 939.085266, valid_acc 0.592740, test_loss 0.018139, ic -0.012218, icir -0.152353, ric -0.021136, ricir -0.296859, prec@10 0.539918, prec@30 0.510974, test_mae 0.051742, test_rmse 0.152339, test_mape 878.639099, test_acc 0.667552
Epoch 5, train_loss 0.007123, train_ic 0.005629, train_icir 0.107892, train_ric -0.005446, train_ricir -0.076513, train_mae 0.050526, train_rmse 0.075441, train_mape 902.761841, train_acc 0.386897, valid_loss 0.0086653203, valid_ic -0.004058, valid_icir -0.076847, valid_ric -0.012430, valid_ricir -0.248638, valid_prec@10 0.547951, valid_prec@30 0.519126, valid_mae 0.058864, valid_rmse 0.104754, valid_mape 1276.644043, valid_acc 0.326251, test_loss 0.016184, ic -0.010150, icir -0.138539, ric -0.007305, ricir -0.112248, prec@10 0.559259, prec@30 0.530727, test_mae 0.077946, test_rmse 0.148132, test_mape 1129.717651, test_acc 0.217353
Epoch 6, train_loss 0.005493, train_ic 0.002889, train_icir 0.056823, train_ric -0.010486, train_ricir -0.131425, train_mae 0.021620, train_rmse 0.066072, train_mape 635.358765, train_acc 0.434263, valid_loss 0.0056344360, valid_ic -0.004701, valid_icir -0.091872, valid_ric -0.017991, valid_ricir -0.396484, valid_prec@10 0.551639, valid_prec@30 0.521448, valid_mae 0.028160, valid_rmse 0.086130, valid_mape 579.262207, valid_acc 0.354582, test_loss 0.012231, ic -0.011005, icir -0.156721, ric -0.011193, ricir -0.217835, prec@10 0.540741, prec@30 0.534019, test_mae 0.045969, test_rmse 0.129988, test_mape 616.785706, test_acc 0.324923
Epoch 7, train_loss 0.004459, train_ic 0.002687, train_icir 0.051951, train_ric -0.011740, train_ricir -0.117409, train_mae 0.046048, train_rmse 0.062544, train_mape 285.757111, train_acc 0.095618, valid_loss 0.0049084874, valid_ic -0.003068, valid_icir -0.063900, valid_ric -0.009943, valid_ricir -0.141014, valid_prec@10 0.551230, valid_prec@30 0.524727, valid_mae 0.034715, valid_rmse 0.080743, valid_mape 714.997803, valid_acc 0.325365, test_loss 0.010619, ic -0.010012, icir -0.153307, ric -0.008543, ricir -0.102823, prec@10 0.558848, prec@30 0.521262, test_mae 0.051163, test_rmse 0.122784, test_mape 685.138306, test_acc 0.216467
Epoch 8, train_loss 0.003674, train_ic 0.008625, train_icir 0.158563, train_ric -0.021591, train_ricir -0.192690, train_mae 0.036195, train_rmse 0.066514, train_mape 324.284027, train_acc 0.532979, valid_loss 0.0046108297, valid_ic -0.001217, valid_icir -0.025729, valid_ric -0.026433, valid_ricir -0.372196, valid_prec@10 0.579918, valid_prec@30 0.529645, valid_mae 0.040444, valid_rmse 0.077169, valid_mape 824.016296, valid_acc 0.327579, test_loss 0.009559, ic -0.006523, icir -0.105285, ric -0.012667, ricir -0.160626, prec@10 0.578601, prec@30 0.536900, test_mae 0.056951, test_rmse 0.117496, test_mape 767.695312, test_acc 0.217353
Epoch 9, train_loss 0.003135, train_ic 0.003625, train_icir 0.060427, train_ric 0.005980, train_ricir 0.054278, train_mae 0.023891, train_rmse 0.048524, train_mape 481.710815, train_acc 0.520142, valid_loss 0.0034979218, valid_ic -0.004225, valid_icir -0.081725, valid_ric -0.007444, valid_ricir -0.078756, valid_prec@10 0.562705, valid_prec@30 0.544536, valid_mae 0.025197, valid_rmse 0.065675, valid_mape 554.219727, valid_acc 0.600266, test_loss 0.007859, ic -0.010761, icir -0.162166, ric -0.003944, ricir -0.031678, prec@10 0.559671, prec@30 0.545130, test_mae 0.035301, test_rmse 0.104677, test_mape 510.735260, test_acc 0.690571
Epoch 10, train_loss 0.002703, train_ic 0.006387, train_icir 0.098326, train_ric 0.021548, train_ricir 0.218936, train_mae 0.055209, train_rmse 0.070214, train_mape 301.835083, train_acc 0.143869, valid_loss 0.0036515286, valid_ic -0.003750, valid_icir -0.076715, valid_ric -0.001927, valid_ricir -0.035314, valid_prec@10 0.531557, valid_prec@30 0.507240, valid_mae 0.032913, valid_rmse 0.064195, valid_mape 747.385193, valid_acc 0.586543, test_loss 0.007425, ic -0.008863, icir -0.144521, ric -0.001852, ricir -0.030081, prec@10 0.520988, prec@30 0.512071, test_mae 0.040150, test_rmse 0.100249, test_mape 637.962219, test_acc 0.683046
Epoch 11, train_loss 0.002367, train_ic 0.005803, train_icir 0.081425, train_ric 0.035518, train_ricir 0.276423, train_mae 0.033630, train_rmse 0.052249, train_mape 255.158112, train_acc 0.416113, valid_loss 0.0026903236, valid_ic -0.004367, valid_icir -0.088267, valid_ric 0.009255, valid_ricir 0.095950, valid_prec@10 0.545492, valid_prec@30 0.537705, valid_mae 0.022016, valid_rmse 0.056052, valid_mape 442.987152, valid_acc 0.600708, test_loss 0.006085, ic -0.010335, icir -0.165943, ric 0.010170, ricir 0.087930, prec@10 0.543210, prec@30 0.536488, test_mae 0.031500, test_rmse 0.092962, test_mape 448.725067, test_acc 0.667109
