Dataset:  CSI2259
Radom seed: 1234
GPU: 5
Learning rate: 0.001
Loss: MaskedMSELoss

---------- LSTM ----------
{
    "epochs": 200,
    "lookback_length": 32,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "CSI2259",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 4,
        "valid_year": 2020,
        "test_year": 2021,
        "window": 32,
        "steps": 1
    },
    "early_stop": 20,
    "runner": "csi",
    "loss": "mse",
    "model_args": {
        "d_feat": 1,
        "hidden_size": 64,
        "num_layers": 2,
        "dropout": 0.1
    }
}
Epoch 1, train_loss 0.102880, train_ic 0.002913, train_icir 0.034027, train_ric -0.002389, train_ricir -0.033993, train_mae 0.053840, train_rmse 0.139139, train_mape 740.278015, train_acc 0.622842, valid_loss 0.0443909601, valid_ic -0.013425, valid_icir -0.138350, valid_ric -0.010544, valid_ricir -0.145940, valid_prec@10 0.508642, valid_prec@30 0.497257, valid_mae 0.095070, valid_rmse 0.225307, valid_mape 1753.269775, valid_acc 0.589199, test_loss 0.052442, ic 0.008016, icir 0.060762, ric 0.008350, ricir 0.090636, prec@10 0.503704, prec@30 0.506859, test_mae 0.115625, test_rmse 0.246773, test_mape 2897.121094, test_acc 0.554670
Epoch 2, train_loss 0.021460, train_ic 0.002530, train_icir 0.033909, train_ric 0.008280, train_ricir 0.097831, train_mae 0.043272, train_rmse 0.122272, train_mape 8127.453613, train_acc 0.698097, valid_loss 0.0278304424, valid_ic -0.013568, valid_icir -0.153145, valid_ric -0.006072, valid_ricir -0.082589, valid_prec@10 0.520165, valid_prec@30 0.496708, valid_mae 0.066306, valid_rmse 0.182997, valid_mape 1171.976562, valid_acc 0.637008, test_loss 0.034547, ic 0.007570, icir 0.060273, ric 0.012018, ricir 0.131075, prec@10 0.522634, prec@30 0.506173, test_mae 0.078212, test_rmse 0.197110, test_mape 2014.311646, test_acc 0.580345
Epoch 3, train_loss 0.012189, train_ic 0.004786, train_icir 0.063687, train_ric 0.013186, train_ricir 0.129510, train_mae 0.022639, train_rmse 0.051929, train_mape 280.645996, train_acc 0.494024, valid_loss 0.0212141519, valid_ic -0.012702, valid_icir -0.141366, valid_ric -0.000948, valid_ricir -0.008157, valid_prec@10 0.543210, valid_prec@30 0.546639, valid_mae 0.063493, valid_rmse 0.162629, valid_mape 1032.100586, valid_acc 0.554670, test_loss 0.027079, ic 0.008784, icir 0.070259, ric 0.014401, ricir 0.115899, prec@10 0.583951, prec@30 0.572016, test_mae 0.067649, test_rmse 0.171957, test_mape 1690.489624, test_acc 0.546259
Epoch 4, train_loss 0.008292, train_ic 0.002134, train_icir 0.039032, train_ric -0.010824, train_ricir -0.111565, train_mae 0.031836, train_rmse 0.091101, train_mape 411.478821, train_acc 0.888889, valid_loss 0.0162275973, valid_ic -0.009628, valid_icir -0.137644, valid_ric -0.009810, valid_ricir -0.106188, valid_prec@10 0.544033, valid_prec@30 0.522634, valid_mae 0.063695, valid_rmse 0.147171, valid_mape 925.375000, valid_acc 0.272687, test_loss 0.021850, ic 0.006170, icir 0.057339, ric -0.015743, ricir -0.230678, prec@10 0.517695, prec@30 0.504527, test_mae 0.064676, test_rmse 0.154929, test_mape 1514.871948, test_acc 0.359008
Epoch 5, train_loss 0.006039, train_ic 0.003417, train_icir 0.069733, train_ric -0.007506, train_ricir -0.093943, train_mae 0.039608, train_rmse 0.045887, train_mape 838.034790, train_acc 0.398849, valid_loss 0.0136863645, valid_ic -0.009234, valid_icir -0.135293, valid_ric -0.001768, valid_ricir -0.032908, valid_prec@10 0.521811, valid_prec@30 0.531824, valid_mae 0.069771, valid_rmse 0.137473, valid_mape 981.632690, valid_acc 0.215139, test_loss 0.018907, ic 0.006454, icir 0.060631, ric -0.006406, ricir -0.130459, prec@10 0.522634, prec@30 0.525514, test_mae 0.070023, test_rmse 0.144094, test_mape 1603.156982, test_acc 0.332448
Epoch 6, train_loss 0.004649, train_ic 0.007466, train_icir 0.114062, train_ric 0.014265, train_ricir 0.137770, train_mae 0.039431, train_rmse 0.073917, train_mape 330.069763, train_acc 0.269588, valid_loss 0.0104854432, valid_ic -0.010186, valid_icir -0.138143, valid_ric 0.002051, valid_ricir 0.018733, valid_prec@10 0.547325, valid_prec@30 0.551029, valid_mae 0.046827, valid_rmse 0.121178, valid_mape 627.383301, valid_acc 0.328464, test_loss 0.015152, ic 0.007243, icir 0.065729, ric 0.011551, ricir 0.107954, prec@10 0.576132, prec@30 0.572565, test_mae 0.046497, test_rmse 0.127753, test_mape 1085.742798, test_acc 0.437362
Epoch 7, train_loss 0.003656, train_ic 0.004487, train_icir 0.066938, train_ric -0.005263, train_ricir -0.041356, train_mae 0.025732, train_rmse 0.061179, train_mape 16715.099609, train_acc 0.769367, valid_loss 0.0090602584, valid_ic -0.010771, valid_icir -0.149555, valid_ric -0.011807, valid_ricir -0.082013, valid_prec@10 0.541152, valid_prec@30 0.503567, valid_mae 0.041524, valid_rmse 0.110523, valid_mape 651.577271, valid_acc 0.690128, test_loss 0.013273, ic 0.006390, icir 0.058142, ric 0.007909, ricir 0.054043, prec@10 0.540741, prec@30 0.518930, test_mae 0.046528, test_rmse 0.117880, test_mape 1149.419312, test_acc 0.610447
Epoch 8, train_loss 0.003010, train_ic 0.006565, train_icir 0.091417, train_ric 0.036329, train_ricir 0.287213, train_mae 0.041612, train_rmse 0.060697, train_mape 536.053894, train_acc 0.260735, valid_loss 0.0075288352, valid_ic -0.009948, valid_icir -0.147237, valid_ric 0.019022, valid_ricir 0.162733, valid_prec@10 0.504115, valid_prec@30 0.508368, valid_mae 0.038716, valid_rmse 0.101679, valid_mape 604.288452, valid_acc 0.691899, test_loss 0.011305, ic 0.005804, icir 0.055286, ric 0.029408, ricir 0.224583, prec@10 0.522634, prec@30 0.527023, test_mae 0.042442, test_rmse 0.108507, test_mape 1034.573975, test_acc 0.611775
Epoch 9, train_loss 0.002526, train_ic 0.008444, train_icir 0.153969, train_ric -0.023178, train_ricir -0.213674, train_mae 0.057272, train_rmse 0.061858, train_mape 1003.684143, train_acc 0.191678, valid_loss 0.0078654542, valid_ic -0.006474, valid_icir -0.117580, valid_ric -0.009081, valid_ricir -0.124962, valid_prec@10 0.576132, valid_prec@30 0.562277, valid_mae 0.067230, valid_rmse 0.107585, valid_mape 923.947144, valid_acc 0.211598, test_loss 0.011307, ic 0.006079, icir 0.066540, ric -0.014591, ricir -0.210198, prec@10 0.572428, prec@30 0.559534, test_mae 0.065446, test_rmse 0.110791, test_mape 1410.939453, test_acc 0.332005
Epoch 10, train_loss 0.002253, train_ic 0.004505, train_icir 0.083258, train_ric 0.012271, train_ricir 0.139623, train_mae 0.031222, train_rmse 0.043140, train_mape 271.318390, train_acc 0.315626, valid_loss 0.0054345256, valid_ic -0.009427, valid_icir -0.162091, valid_ric -0.007133, valid_ricir -0.117586, valid_prec@10 0.530864, valid_prec@30 0.500274, valid_mae 0.030373, valid_rmse 0.087583, valid_mape 457.353882, valid_acc 0.680390, test_loss 0.008505, ic 0.004890, icir 0.051241, ric 0.007715, ricir 0.095846, prec@10 0.538683, prec@30 0.513580, test_mae 0.034624, test_rmse 0.093355, test_mape 843.187805, test_acc 0.602922
Epoch 11, train_loss 0.002030, train_ic 0.013797, train_icir 0.242259, train_ric -0.011106, train_ricir -0.109471, train_mae 0.037008, train_rmse 0.049031, train_mape 437.603699, train_acc 0.180168, valid_loss 0.0050004258, valid_ic -0.005743, valid_icir -0.108307, valid_ric -0.015290, valid_ricir -0.187022, valid_prec@10 0.567078, valid_prec@30 0.527572, valid_mae 0.030423, valid_rmse 0.082906, valid_mape 493.430389, valid_acc 0.702523, test_loss 0.007789, ic 0.005896, icir 0.066471, ric -0.017720, ricir -0.284797, prec@10 0.561728, prec@30 0.532647, test_mae 0.036044, test_rmse 0.088845, test_mape 908.570862, test_acc 0.617087
