Dataset:  CSI2259
Radom seed: 1234
GPU: 5
Learning rate: 0.001
Loss: MaskedMSELoss

---------- LSTM ----------
{
    "epochs": 200,
    "lookback_length": 64,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "CSI2259",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 4,
        "valid_year": 2019,
        "test_year": 2020,
        "window": 64,
        "steps": 1
    },
    "early_stop": 20,
    "runner": "csi",
    "loss": "mse",
    "model_args": {
        "d_feat": 1,
        "hidden_size": 64,
        "num_layers": 2,
        "dropout": 0.1
    }
}
Epoch 1, train_loss 0.126640, train_ic 0.004244, train_icir 0.044694, train_ric 0.015766, train_ricir 0.133337, train_mae 0.066782, train_rmse 0.157360, train_mape 1287.538086, train_acc 0.480744, valid_loss 0.0315910231, valid_ic -0.009430, valid_icir -0.114227, valid_ric 0.009606, valid_ricir 0.099229, valid_prec@10 0.476639, valid_prec@30 0.514208, valid_mae 0.082238, valid_rmse 0.194335, valid_mape 1987.686768, valid_acc 0.474989, test_loss 0.050070, ic -0.014991, icir -0.146049, ric -0.002161, ricir -0.016822, prec@10 0.462963, prec@30 0.493416, test_mae 0.109152, test_rmse 0.238696, test_mape 1918.816040, test_acc 0.382027
Epoch 2, train_loss 0.026230, train_ic 0.005263, train_icir 0.072452, train_ric -0.011280, train_ricir -0.146380, train_mae 0.068770, train_rmse 0.142954, train_mape 1241.907837, train_acc 0.463037, valid_loss 0.0185172005, valid_ic -0.007243, valid_icir -0.108514, valid_ric -0.021486, valid_ricir -0.432288, valid_prec@10 0.560656, valid_prec@30 0.534153, valid_mae 0.075486, valid_rmse 0.152718, valid_mape 1744.755981, valid_acc 0.326251, test_loss 0.032197, ic -0.012293, icir -0.142513, ric -0.015860, ricir -0.234277, prec@10 0.550617, prec@30 0.521948, test_mae 0.096983, test_rmse 0.196774, test_mape 1611.585938, test_acc 0.220894
Epoch 3, train_loss 0.014771, train_ic 0.005224, train_icir 0.071334, train_ric 0.011097, train_ricir 0.113792, train_mae 0.057051, train_rmse 0.118804, train_mape 1429.500732, train_acc 0.422311, valid_loss 0.0130488672, valid_ic -0.007135, valid_icir -0.106853, valid_ric -0.016712, valid_ricir -0.235265, valid_prec@10 0.534426, valid_prec@30 0.508470, valid_mae 0.056748, valid_rmse 0.126878, valid_mape 1437.680542, valid_acc 0.589641, test_loss 0.024129, ic -0.013135, icir -0.151048, ric -0.007181, ricir -0.080986, prec@10 0.535391, prec@30 0.527160, test_mae 0.069865, test_rmse 0.170736, test_mape 1271.441772, test_acc 0.650288
Epoch 4, train_loss 0.010082, train_ic 0.005937, train_icir 0.100378, train_ric -0.003526, train_ricir -0.039466, train_mae 0.037167, train_rmse 0.047834, train_mape 570.624329, train_acc 0.235060, valid_loss 0.0099821842, valid_ic -0.005258, valid_icir -0.096354, valid_ric -0.018371, valid_ricir -0.335630, valid_prec@10 0.543443, valid_prec@30 0.525683, valid_mae 0.051812, valid_rmse 0.112677, valid_mape 1135.864868, valid_acc 0.328907, test_loss 0.019180, ic -0.010448, icir -0.138411, ric -0.012753, ricir -0.181073, prec@10 0.566667, prec@30 0.532647, test_mae 0.073675, test_rmse 0.158205, test_mape 1126.650391, test_acc 0.234174
Epoch 5, train_loss 0.007385, train_ic 0.008252, train_icir 0.105691, train_ric 0.022670, train_ricir 0.176116, train_mae 0.022480, train_rmse 0.034325, train_mape 280.013397, train_acc 0.822488, valid_loss 0.0080367436, valid_ic -0.005121, valid_icir -0.076035, valid_ric 0.000046, valid_ricir 0.000423, valid_prec@10 0.578689, valid_prec@30 0.579508, valid_mae 0.042496, valid_rmse 0.099739, valid_mape 973.085815, valid_acc 0.586543, test_loss 0.015931, ic -0.011851, icir -0.136799, ric 0.002307, ricir 0.016279, prec@10 0.545679, prec@30 0.552538, test_mae 0.057734, test_rmse 0.143547, test_mape 909.577454, test_acc 0.635237
Epoch 6, train_loss 0.005805, train_ic 0.005101, train_icir 0.088074, train_ric 0.014819, train_ricir 0.147575, train_mae 0.023511, train_rmse 0.068512, train_mape 491.814087, train_acc 0.423196, valid_loss 0.0058554371, valid_ic -0.004141, valid_icir -0.074155, valid_ric -0.005663, valid_ricir -0.068363, valid_prec@10 0.595492, valid_prec@30 0.569945, valid_mae 0.027372, valid_rmse 0.087122, valid_mape 608.082397, valid_acc 0.590527, test_loss 0.012641, ic -0.011175, icir -0.149533, ric -0.000337, ricir -0.003355, prec@10 0.565021, prec@30 0.557202, test_mae 0.042865, test_rmse 0.130930, test_mape 609.635925, test_acc 0.673307
Epoch 7, train_loss 0.004609, train_ic 0.006276, train_icir 0.101105, train_ric 0.024724, train_ricir 0.197211, train_mae 0.033671, train_rmse 0.061248, train_mape 252.701569, train_acc 0.332891, valid_loss 0.0047787926, valid_ic -0.003721, valid_icir -0.069108, valid_ric -0.006130, valid_ricir -0.066922, valid_prec@10 0.570902, valid_prec@30 0.553142, valid_mae 0.024884, valid_rmse 0.079308, valid_mape 495.463043, valid_acc 0.388668, test_loss 0.010653, ic -0.010316, icir -0.145535, ric 0.004278, ricir 0.040672, prec@10 0.542387, prec@30 0.551715, test_mae 0.041947, test_rmse 0.122094, test_mape 552.044739, test_acc 0.362107
Epoch 8, train_loss 0.003851, train_ic 0.004539, train_icir 0.089802, train_ric -0.031310, train_ricir -0.262970, train_mae 0.021316, train_rmse 0.048864, train_mape 210.275726, train_acc 0.584329, valid_loss 0.0039941224, valid_ic -0.002622, valid_icir -0.053716, valid_ric -0.030522, valid_ricir -0.359826, valid_prec@10 0.561475, valid_prec@30 0.512158, valid_mae 0.021862, valid_rmse 0.071899, valid_mape 451.210876, valid_acc 0.602479, test_loss 0.009122, ic -0.009498, icir -0.144538, ric -0.021910, ricir -0.232348, prec@10 0.565021, prec@30 0.522634, test_mae 0.035758, test_rmse 0.113327, test_mape 481.170593, test_acc 0.645861
Epoch 9, train_loss 0.003266, train_ic 0.003252, train_icir 0.065086, train_ric -0.015928, train_ricir -0.161076, train_mae 0.019118, train_rmse 0.045476, train_mape 239.251999, train_acc 0.462594, valid_loss 0.0035799782, valid_ic -0.001520, valid_icir -0.036199, valid_ric -0.011285, valid_ricir -0.140776, valid_prec@10 0.576230, valid_prec@30 0.535656, valid_mae 0.027412, valid_rmse 0.068306, valid_mape 505.488007, valid_acc 0.347499, test_loss 0.008052, ic -0.007251, icir -0.131036, ric -0.008869, ricir -0.091849, prec@10 0.571605, prec@30 0.537997, test_mae 0.041620, test_rmse 0.107954, test_mape 534.321899, test_acc 0.356795
Epoch 10, train_loss 0.002775, train_ic 0.004248, train_icir 0.068772, train_ric 0.029357, train_ricir 0.266053, train_mae 0.041400, train_rmse 0.047424, train_mape 320.357788, train_acc 0.269146, valid_loss 0.0037171995, valid_ic -0.003145, valid_icir -0.065322, valid_ric 0.016716, valid_ricir 0.228531, valid_prec@10 0.545492, valid_prec@30 0.528005, valid_mae 0.033146, valid_rmse 0.064590, valid_mape 767.842651, valid_acc 0.601594, test_loss 0.007621, ic -0.010258, icir -0.164489, ric 0.011151, ricir 0.129427, prec@10 0.523868, prec@30 0.526337, test_mae 0.040763, test_rmse 0.100864, test_mape 679.248230, test_acc 0.695883
Epoch 11, train_loss 0.002422, train_ic 0.008522, train_icir 0.091105, train_ric 0.019921, train_ricir 0.158701, train_mae 0.040662, train_rmse 0.046481, train_mape 515.585327, train_acc 0.271802, valid_loss 0.0035759876, valid_ic -0.005065, valid_icir -0.072795, valid_ric 0.003170, valid_ricir 0.029646, valid_prec@10 0.580328, valid_prec@30 0.570082, valid_mae 0.035131, valid_rmse 0.063054, valid_mape 715.038940, valid_acc 0.561310, test_loss 0.007037, ic -0.012435, icir -0.152345, ric 0.000731, ricir 0.005104, prec@10 0.567490, prec@30 0.555144, test_mae 0.044994, test_rmse 0.098015, test_mape 654.407349, test_acc 0.555556
