Dataset:  CSI2259
Radom seed: 1234
GPU: 5
Learning rate: 0.001
Loss: MaskedMSELoss

---------- LSTM ----------
{
    "epochs": 200,
    "lookback_length": 8,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "CSI2259",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 4,
        "valid_year": 2021,
        "test_year": 2022,
        "window": 8,
        "steps": 1
    },
    "early_stop": 20,
    "runner": "csi",
    "loss": "mse",
    "model_args": {
        "d_feat": 1,
        "hidden_size": 64,
        "num_layers": 2,
        "dropout": 0.1
    }
}
Epoch 1, train_loss 0.088895, train_ic 0.000176, train_icir 0.002102, train_ric 0.006672, train_ricir 0.092109, train_mae 0.086025, train_rmse 0.210041, train_mape 2031.759644, train_acc 0.394422, valid_loss 0.0465402528, valid_ic 0.007730, valid_icir 0.059746, valid_ric 0.016193, valid_ricir 0.185891, valid_prec@10 0.504527, valid_prec@30 0.507270, valid_mae 0.101025, valid_rmse 0.231807, valid_mape 2503.277344, valid_acc 0.509075, test_loss 0.041304, ic 0.014693, icir 0.135227, ric 0.013885, ricir 0.166300, prec@10 0.476033, prec@30 0.489807, test_mae 0.077168, test_rmse 0.196834, test_mape 1713.614502, test_acc 0.557326
Epoch 2, train_loss 0.019207, train_ic 0.001342, train_icir 0.017551, train_ric 0.005250, train_ricir 0.044663, train_mae 0.063624, train_rmse 0.140676, train_mape 1123.684570, train_acc 0.579460, valid_loss 0.0311958855, valid_ic 0.008027, valid_icir 0.063750, valid_ric 0.014664, valid_ricir 0.105988, valid_prec@10 0.549383, valid_prec@30 0.534156, valid_mae 0.082951, valid_rmse 0.185424, valid_mape 2160.388672, valid_acc 0.594954, test_loss 0.026696, ic 0.013680, icir 0.134596, ric 0.019583, ricir 0.137272, prec@10 0.543388, prec@30 0.543113, test_mae 0.063599, test_rmse 0.156876, test_mape 1434.043457, test_acc 0.705622
Epoch 3, train_loss 0.011074, train_ic 0.002430, train_icir 0.037406, train_ric 0.005849, train_ricir 0.057807, train_mae 0.030267, train_rmse 0.077615, train_mape 474.842682, train_acc 0.467463, valid_loss 0.0227387926, valid_ic 0.006972, valid_icir 0.061072, valid_ric -0.003382, valid_ricir -0.051127, valid_prec@10 0.545679, valid_prec@30 0.525926, valid_mae 0.059328, valid_rmse 0.157648, valid_mape 1554.663208, valid_acc 0.586543, test_loss 0.018969, ic 0.011542, icir 0.128375, ric 0.000819, ricir 0.010517, prec@10 0.538017, prec@30 0.512810, test_mae 0.045566, test_rmse 0.132646, test_mape 1022.090271, test_acc 0.679062
Epoch 4, train_loss 0.007447, train_ic -0.002504, train_icir -0.042741, train_ric -0.016812, train_ricir -0.158015, train_mae 0.028763, train_rmse 0.068701, train_mape 631.330811, train_acc 0.445772, valid_loss 0.0187395354, valid_ic 0.004160, valid_icir 0.044172, valid_ric -0.017160, valid_ricir -0.214742, valid_prec@10 0.506584, valid_prec@30 0.503155, valid_mae 0.063026, valid_rmse 0.142192, valid_mape 1412.046875, valid_acc 0.387782, test_loss 0.015270, ic 0.005735, icir 0.081275, ric -0.022816, ricir -0.217081, prec@10 0.499174, prec@30 0.495730, test_mae 0.058358, test_rmse 0.121888, test_mape 1006.051453, test_acc 0.281098
Epoch 5, train_loss 0.005383, train_ic -0.000544, train_icir -0.010228, train_ric 0.009164, train_ricir 0.113419, train_mae 0.048470, train_rmse 0.112540, train_mape 326.460358, train_acc 0.233732, valid_loss 0.0139903404, valid_ic 0.005451, valid_icir 0.051613, valid_ric 0.011781, valid_ricir 0.159077, valid_prec@10 0.520576, valid_prec@30 0.524829, valid_mae 0.039938, valid_rmse 0.122603, valid_mape 945.313232, valid_acc 0.601594, test_loss 0.011175, ic 0.009368, icir 0.118822, ric 0.017791, ricir 0.246636, prec@10 0.516529, prec@30 0.511433, test_mae 0.029669, test_rmse 0.100558, test_mape 573.821594, test_acc 0.705622
Epoch 6, train_loss 0.004135, train_ic 0.002870, train_icir 0.057360, train_ric -0.002639, train_ricir -0.023990, train_mae 0.027831, train_rmse 0.055792, train_mape 179.834824, train_acc 0.488712, valid_loss 0.0114879710, valid_ic 0.005566, valid_icir 0.057849, valid_ric -0.011465, valid_ricir -0.143123, valid_prec@10 0.510288, valid_prec@30 0.517970, valid_mae 0.038672, valid_rmse 0.110931, valid_mape 850.892334, valid_acc 0.346171, test_loss 0.009097, ic 0.008360, icir 0.121727, ric -0.017663, ricir -0.164167, prec@10 0.491736, prec@30 0.489669, test_mae 0.033464, test_rmse 0.091715, test_mape 553.582825, test_acc 0.254980
Epoch 7, train_loss 0.003356, train_ic 0.002346, train_icir 0.049488, train_ric 0.007285, train_ricir 0.089122, train_mae 0.013537, train_rmse 0.034167, train_mape 160.644348, train_acc 0.428951, valid_loss 0.0095002112, valid_ic 0.005190, valid_icir 0.054683, valid_ric 0.006167, valid_ricir 0.083138, valid_prec@10 0.514815, valid_prec@30 0.523457, valid_mae 0.032363, valid_rmse 0.100347, valid_mape 695.633057, valid_acc 0.513944, test_loss 0.007505, ic 0.008281, icir 0.121835, ric 0.012816, ricir 0.175676, prec@10 0.509917, prec@30 0.517080, test_mae 0.025417, test_rmse 0.081861, test_mape 396.195190, test_acc 0.509517
Epoch 8, train_loss 0.002800, train_ic 0.005215, train_icir 0.097340, train_ric -0.011795, train_ricir -0.103603, train_mae 0.016519, train_rmse 0.023218, train_mape 153.773926, train_acc 0.430279, valid_loss 0.0081964981, valid_ic 0.004896, valid_icir 0.059390, valid_ric -0.021290, valid_ricir -0.229190, valid_prec@10 0.553086, valid_prec@30 0.534568, valid_mae 0.032502, valid_rmse 0.092569, valid_mape 680.655212, valid_acc 0.389110, test_loss 0.006474, ic 0.006762, icir 0.119066, ric -0.023448, ricir -0.195068, prec@10 0.507851, prec@30 0.508402, test_mae 0.028761, test_rmse 0.076664, test_mape 414.199005, test_acc 0.266932
Epoch 9, train_loss 0.002443, train_ic 0.008730, train_icir 0.166828, train_ric -0.001141, train_ricir -0.010577, train_mae 0.024569, train_rmse 0.030274, train_mape 138.567276, train_acc 0.270031, valid_loss 0.0070825861, valid_ic 0.005359, valid_icir 0.064072, valid_ric -0.012073, valid_ricir -0.147555, valid_prec@10 0.537037, valid_prec@30 0.533608, valid_mae 0.027903, valid_rmse 0.085000, valid_mape 641.185669, valid_acc 0.618858, test_loss 0.005612, ic 0.007701, icir 0.133481, ric -0.011601, ricir -0.110867, prec@10 0.531405, prec@30 0.525620, test_mae 0.021678, test_rmse 0.069350, test_mape 334.701416, test_acc 0.690571
Epoch 10, train_loss 0.002238, train_ic 0.004185, train_icir 0.079384, train_ric 0.006723, train_ricir 0.084826, train_mae 0.022463, train_rmse 0.033294, train_mape 196.724487, train_acc 0.644976, valid_loss 0.0068023782, valid_ic 0.005347, valid_icir 0.067653, valid_ric 0.006466, valid_ricir 0.098627, valid_prec@10 0.508642, valid_prec@30 0.532647, valid_mae 0.040788, valid_rmse 0.084851, valid_mape 868.810913, valid_acc 0.340859, test_loss 0.005418, ic 0.006812, icir 0.126086, ric 0.005507, ricir 0.081091, prec@10 0.485537, prec@30 0.509091, test_mae 0.039027, test_rmse 0.072140, test_mape 588.770935, test_acc 0.250553
Epoch 11, train_loss 0.002088, train_ic 0.003198, train_icir 0.050891, train_ric -0.014254, train_ricir -0.134587, train_mae 0.017673, train_rmse 0.034619, train_mape 212.970139, train_acc 0.492696, valid_loss 0.0057619051, valid_ic 0.004456, valid_icir 0.061884, valid_ric -0.019198, valid_ricir -0.217201, valid_prec@10 0.520576, valid_prec@30 0.515364, valid_mae 0.028203, valid_rmse 0.076311, valid_mape 585.117004, valid_acc 0.418327, test_loss 0.004539, ic 0.004519, icir 0.093673, ric -0.023529, ricir -0.201522, prec@10 0.505372, prec@30 0.488430, test_mae 0.025452, test_rmse 0.063283, test_mape 329.217743, test_acc 0.300575
