Dataset:  CSI300
Radom seed: 1234
GPU: 5
Learning rate: 0.001
Loss: MaskedMSELoss

---------- LSTM ----------
{
    "epochs": 200,
    "lookback_length": 16,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "CSI300",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 4,
        "valid_year": 2020,
        "test_year": 2021,
        "window": 16,
        "steps": 1
    },
    "early_stop": 20,
    "runner": "csi",
    "loss": "mse",
    "model_args": {
        "d_feat": 1,
        "hidden_size": 64,
        "num_layers": 2,
        "dropout": 0.1
    }
}
Epoch 1, train_loss 0.074447, train_ic 0.002164, train_icir 0.021008, train_ric 0.022847, train_ricir 0.202844, train_mae 0.048397, train_rmse 0.128873, train_mape 2360.810791, train_acc 0.453333, valid_loss 0.0312490448, valid_ic -0.015885, valid_icir -0.144685, valid_ric -0.003682, valid_ricir -0.031987, valid_prec@10 0.521811, valid_prec@30 0.525789, valid_mae 0.078730, valid_rmse 0.193725, valid_mape 873.099976, valid_acc 0.490000, test_loss 0.037394, ic 0.011766, icir 0.079211, ric 0.029677, ricir 0.205059, prec@10 0.542387, prec@30 0.551989, test_mae 0.081950, test_rmse 0.201122, test_mape 4165.501953, test_acc 0.510000
Epoch 2, train_loss 0.016600, train_ic 0.001971, train_icir 0.020352, train_ric 0.006848, train_ricir 0.070474, train_mae 0.047362, train_rmse 0.123996, train_mape 499.902496, train_acc 0.266667, valid_loss 0.0219738826, valid_ic -0.014755, valid_icir -0.142015, valid_ric -0.016346, valid_ricir -0.211134, valid_prec@10 0.485597, valid_prec@30 0.491221, valid_mae 0.053940, valid_rmse 0.164980, valid_mape 613.499146, valid_acc 0.606667, test_loss 0.026977, ic 0.008768, icir 0.064051, ric 0.000409, ricir 0.004653, prec@10 0.509053, prec@30 0.498491, test_mae 0.056757, test_rmse 0.168706, test_mape 3561.482666, test_acc 0.606667
Epoch 3, train_loss 0.010779, train_ic 0.003339, train_icir 0.036389, train_ric -0.007454, train_ricir -0.074781, train_mae 0.024610, train_rmse 0.055807, train_mape 282.330078, train_acc 0.413333, valid_loss 0.0175085692, valid_ic -0.012009, valid_icir -0.119148, valid_ric -0.005337, valid_ricir -0.063895, valid_prec@10 0.512346, valid_prec@30 0.493278, valid_mae 0.046558, valid_rmse 0.149992, valid_mape 520.159424, valid_acc 0.620000, test_loss 0.022235, ic 0.009187, icir 0.068558, ric -0.006471, ricir -0.089329, prec@10 0.507407, prec@30 0.493827, test_mae 0.047498, test_rmse 0.151459, test_mape 3361.205322, test_acc 0.603333
Epoch 4, train_loss 0.007775, train_ic 0.001584, train_icir 0.018305, train_ric -0.017233, train_ricir -0.166909, train_mae 0.048727, train_rmse 0.067376, train_mape 195.808304, train_acc 0.193333, valid_loss 0.0145505724, valid_ic -0.011503, valid_icir -0.119341, valid_ric -0.012386, valid_ricir -0.122753, valid_prec@10 0.499588, valid_prec@30 0.493827, valid_mae 0.043456, valid_rmse 0.138767, valid_mape 517.621521, valid_acc 0.563333, test_loss 0.019083, ic 0.007812, icir 0.060112, ric -0.022035, ricir -0.263725, prec@10 0.492593, prec@30 0.484774, test_mae 0.043875, test_rmse 0.139676, test_mape 3328.922607, test_acc 0.566667
Epoch 5, train_loss 0.005911, train_ic 0.003010, train_icir 0.034989, train_ric 0.021170, train_ricir 0.193368, train_mae 0.036034, train_rmse 0.096716, train_mape 847.240540, train_acc 0.346667, valid_loss 0.0124561681, valid_ic -0.011694, valid_icir -0.122241, valid_ric 0.000585, valid_ricir 0.005040, valid_prec@10 0.539918, valid_prec@30 0.518107, valid_mae 0.043379, valid_rmse 0.129030, valid_mape 564.359131, valid_acc 0.650000, test_loss 0.016600, ic 0.009474, icir 0.069975, ric 0.023209, ricir 0.160770, prec@10 0.544033, prec@30 0.547051, test_mae 0.043324, test_rmse 0.129727, test_mape 3279.926025, test_acc 0.636667
Epoch 6, train_loss 0.004619, train_ic 0.001088, train_icir 0.012330, train_ric 0.021447, train_ricir 0.211022, train_mae 0.017395, train_rmse 0.024848, train_mape 351.826202, train_acc 0.300000, valid_loss 0.0103726198, valid_ic -0.012264, valid_icir -0.134283, valid_ric -0.004392, valid_ricir -0.054982, valid_prec@10 0.513992, valid_prec@30 0.521948, valid_mae 0.038380, valid_rmse 0.119933, valid_mape 454.862640, valid_acc 0.593333, test_loss 0.014082, ic 0.009037, icir 0.067684, ric 0.010076, ricir 0.104242, prec@10 0.514403, prec@30 0.525377, test_mae 0.038427, test_rmse 0.119387, test_mape 3134.022705, test_acc 0.570000
Epoch 7, train_loss 0.003680, train_ic 0.000204, train_icir 0.002390, train_ric -0.009851, train_ricir -0.089245, train_mae 0.030849, train_rmse 0.042469, train_mape 293.791687, train_acc 0.800000, valid_loss 0.0093480306, valid_ic -0.011033, valid_icir -0.128366, valid_ric -0.006597, valid_ricir -0.059961, valid_prec@10 0.484362, valid_prec@30 0.496708, valid_mae 0.041051, valid_rmse 0.112152, valid_mape 629.971313, valid_acc 0.680000, test_loss 0.012591, ic 0.008078, icir 0.064258, ric -0.017639, ricir -0.176005, prec@10 0.490535, prec@30 0.490809, test_mae 0.043770, test_rmse 0.111116, test_mape 3305.294434, test_acc 0.650000
Epoch 8, train_loss 0.003060, train_ic 0.002557, train_icir 0.027818, train_ric 0.029276, train_ricir 0.259631, train_mae 0.052352, train_rmse 0.058824, train_mape 144.496979, train_acc 0.193333, valid_loss 0.0077885666, valid_ic -0.012474, valid_icir -0.146049, valid_ric 0.000297, valid_ricir 0.002776, valid_prec@10 0.496708, valid_prec@30 0.511660, valid_mae 0.037871, valid_rmse 0.103819, valid_mape 526.723938, valid_acc 0.680000, test_loss 0.010593, ic 0.009399, icir 0.072775, ric 0.025387, ricir 0.207985, prec@10 0.518519, prec@30 0.537449, test_mae 0.038364, test_rmse 0.100863, test_mape 3077.285645, test_acc 0.646667
Epoch 9, train_loss 0.002513, train_ic -0.007951, train_icir -0.097826, train_ric -0.017679, train_ricir -0.178410, train_mae 0.018772, train_rmse 0.031225, train_mape 469.871704, train_acc 0.786667, valid_loss 0.0063941850, valid_ic -0.010352, valid_icir -0.129348, valid_ric -0.014347, valid_ricir -0.127153, valid_prec@10 0.509465, valid_prec@30 0.500549, valid_mae 0.034162, valid_rmse 0.096703, valid_mape 408.482025, valid_acc 0.566667, test_loss 0.008957, ic 0.006775, icir 0.058284, ric -0.017967, ricir -0.172310, prec@10 0.485185, prec@30 0.499863, test_mae 0.033533, test_rmse 0.092364, test_mape 2875.757324, test_acc 0.563333
Epoch 10, train_loss 0.002196, train_ic 0.003990, train_icir 0.042038, train_ric 0.031694, train_ricir 0.281465, train_mae 0.038389, train_rmse 0.050779, train_mape 401.682953, train_acc 0.300000, valid_loss 0.0054606548, valid_ic -0.012252, valid_icir -0.149282, valid_ric 0.000993, valid_ricir 0.008668, valid_prec@10 0.539506, valid_prec@30 0.533471, valid_mae 0.031575, valid_rmse 0.090168, valid_mape 324.656311, valid_acc 0.596667, test_loss 0.007696, ic 0.009879, icir 0.079245, ric 0.026721, ricir 0.200608, prec@10 0.534156, prec@30 0.546502, test_mae 0.029023, test_rmse 0.085187, test_mape 2669.938965, test_acc 0.600000
Epoch 11, train_loss 0.002020, train_ic 0.008801, train_icir 0.098512, train_ric 0.025094, train_ricir 0.249971, train_mae 0.017984, train_rmse 0.055774, train_mape 197.513824, train_acc 0.803333, valid_loss 0.0051301593, valid_ic -0.010465, valid_icir -0.127592, valid_ric 0.006367, valid_ricir 0.062702, valid_prec@10 0.548148, valid_prec@30 0.534705, valid_mae 0.031920, valid_rmse 0.085741, valid_mape 380.386963, valid_acc 0.666667, test_loss 0.006924, ic 0.010938, icir 0.089452, ric 0.025040, ricir 0.220248, prec@10 0.562140, prec@30 0.553224, test_mae 0.028559, test_rmse 0.079353, test_mape 2640.967529, test_acc 0.643333
