Dataset:  CSI
Radom seed: 1234
GPU: 7
Learning rate: 0.001
Loss: MaskedMSELoss

---------- LSTM ----------
{
    "epochs": 200,
    "lookback_length": 16,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "CSI",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 20,
        "valid_year": 2019,
        "test_year": 2020,
        "window": 16,
        "steps": 1
    },
    "early_stop": 20,
    "runner": "csi",
    "loss": "mse",
    "model_args": {
        "d_feat": 1,
        "hidden_size": 64,
        "num_layers": 2,
        "dropout": 0.1
    }
}
Epoch 1, train_loss 0.133229, train_ic 0.004152, train_icir 0.040864, train_ric 0.018905, train_ricir 0.152978, valid_loss 0.0390436152 , valid_ic -0.009084, valid_icir -0.108908, valid_ric 0.009242, valid_ricir 0.096698, test_loss 0.074540, ic -0.018244, icir -0.154022, ric -0.005337, ricir -0.041070, prec@10 0.437037, prec@30 0.450754 
Epoch 2, train_loss 0.030642, train_ic 0.004935, train_icir 0.054689, train_ric 0.025210, train_ricir 0.203516, valid_loss 0.0203537375 , valid_ic -0.008484, valid_icir -0.113296, valid_ric 0.006185, valid_ricir 0.066841, test_loss 0.045260, ic -0.017256, icir -0.155974, ric -0.001616, ricir -0.012845, prec@10 0.458848, prec@30 0.453086 
Epoch 3, train_loss 0.017074, train_ic 0.007244, train_icir 0.087653, train_ric 0.009426, train_ricir 0.069420, valid_loss 0.0133361625 , valid_ic -0.007478, valid_icir -0.107853, valid_ric -0.011155, valid_ricir -0.103073, test_loss 0.032406, ic -0.015761, icir -0.150256, ric -0.009112, ricir -0.060396, prec@10 0.539506, prec@30 0.546228 
Epoch 4, train_loss 0.011139, train_ic 0.004143, train_icir 0.058186, train_ric 0.015873, train_ricir 0.160852, valid_loss 0.0097448678 , valid_ic -0.007919, valid_icir -0.130927, valid_ric 0.002028, valid_ricir 0.026755, test_loss 0.024942, ic -0.015400, icir -0.161554, ric -0.005000, ricir -0.047866, prec@10 0.520576, prec@30 0.531413 
Epoch 5, train_loss 0.008020, train_ic 0.010571, train_icir 0.155381, train_ric 0.007456, train_ricir 0.057860, valid_loss 0.0074489972 , valid_ic -0.004497, valid_icir -0.077545, valid_ric -0.019149, valid_ricir -0.225180, test_loss 0.019889, ic -0.011445, icir -0.126983, ric -0.004074, ricir -0.035878, prec@10 0.556790, prec@30 0.535117 
Epoch 6, train_loss 0.006063, train_ic 0.005904, train_icir 0.099338, train_ric 0.005768, train_ricir 0.058925, valid_loss 0.0060785972 , valid_ic -0.005433, valid_icir -0.107562, valid_ric -0.006738, valid_ricir -0.114916, test_loss 0.016442, ic -0.011708, icir -0.143642, ric -0.001404, ricir -0.020137, prec@10 0.542387, prec@30 0.531550 
Epoch 7, train_loss 0.004702, train_ic 0.016426, train_icir 0.233759, train_ric 0.006748, train_ricir 0.049742, valid_loss 0.0050597671 , valid_ic -0.003054, valid_icir -0.055154, valid_ric -0.019453, valid_ricir -0.194468, test_loss 0.013731, ic -0.008664, icir -0.107644, ric -0.006355, ricir -0.049395, prec@10 0.572840, prec@30 0.544582 
Epoch 8, train_loss 0.003836, train_ic 0.010031, train_icir 0.140076, train_ric 0.029676, train_ricir 0.223681, valid_loss 0.0044517734 , valid_ic -0.005339, valid_icir -0.100024, valid_ric 0.006008, valid_ricir 0.056680, test_loss 0.011820, ic -0.012281, icir -0.159969, ric 0.005178, ricir 0.040312, prec@10 0.617695, prec@30 0.590123 
Epoch 9, train_loss 0.003262, train_ic 0.008818, train_icir 0.144242, train_ric 0.011165, train_ricir 0.085941, valid_loss 0.0034466960 , valid_ic -0.001869, valid_icir -0.047881, valid_ric -0.000348, valid_ricir -0.004304, test_loss 0.009659, ic -0.006840, icir -0.109724, ric 0.007322, ricir 0.071555, prec@10 0.536626, prec@30 0.537586 
Epoch 10, train_loss 0.002842, train_ic 0.009915, train_icir 0.142308, train_ric 0.027512, train_ricir 0.210815, valid_loss 0.0038858430 , valid_ic -0.005225, valid_icir -0.103977, valid_ric 0.004594, valid_ricir 0.044472, test_loss 0.009237, ic -0.011431, icir -0.159917, ric 0.004495, ricir 0.033945, prec@10 0.624280, prec@30 0.589300 
Epoch 11, train_loss 0.002490, train_ic 0.011102, train_icir 0.202624, train_ric 0.019062, train_ricir 0.165839, valid_loss 0.0027364259 , valid_ic -0.005208, valid_icir -0.122595, valid_ric -0.002618, valid_ricir -0.031520, test_loss 0.007381, ic -0.009986, icir -0.156279, ric 0.002835, ricir 0.026158, prec@10 0.606996, prec@30 0.586420 
