Dataset:  CSI
Radom seed: 1234
GPU: 7
Learning rate: 0.001
Loss: MaskedMSELoss

---------- LSTM ----------
{
    "epochs": 200,
    "lookback_length": 16,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "CSI",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 4,
        "valid_year": 2024,
        "test_year": 2025,
        "window": 16,
        "steps": 1
    },
    "early_stop": 20,
    "runner": "csi",
    "loss": "mse",
    "model_args": {
        "d_feat": 1,
        "hidden_size": 64,
        "num_layers": 2,
        "dropout": 0.1
    }
}
Epoch 1, train_loss 0.090663, train_ic 0.004316, train_icir 0.044620, train_ric 0.005003, train_ricir 0.045759, train_mae 0.096889, train_rmse 0.211981, train_mape 2844.426270, train_acc 0.411572, valid_loss 0.0318148653, valid_ic 0.010884, valid_icir 0.098729, valid_ric 0.014991, valid_ricir 0.113969, valid_mae 0.100874, valid_rmse 0.193157, valid_mape 878.887817, valid_acc 0.266276, test_loss 0.052000, ic 0.000831, icir 0.007517, ric 0.007227, ricir 0.056240, prec@10 0.509053, prec@30 0.504664, test_mae 0.131266, test_rmse 0.258920, test_mape 3937.080322, test_acc 0.491391
Epoch 2, train_loss 0.020695, train_ic 0.002775, train_icir 0.034923, train_ric 0.016368, train_ricir 0.181955, train_mae 0.046074, train_rmse 0.132681, train_mape 1812.086914, train_acc 0.398376, valid_loss 0.0162707322, valid_ic 0.006850, valid_icir 0.075959, valid_ric 0.012512, valid_ricir 0.095517, valid_mae 0.059777, valid_rmse 0.137544, valid_mape 454.740631, valid_acc 0.700684, test_loss 0.026338, ic 0.000990, icir 0.010895, ric 0.022058, ricir 0.333003, prec@10 0.543210, prec@30 0.521948, test_mae 0.076249, test_rmse 0.187876, test_mape 2361.557373, test_acc 0.494293
Epoch 3, train_loss 0.011442, train_ic 0.005061, train_icir 0.080799, train_ric -0.013520, train_ricir -0.135977, train_mae 0.056069, train_rmse 0.076041, train_mape 797.109680, train_acc 0.218367, valid_loss 0.0116076094, valid_ic 0.006714, valid_icir 0.099285, valid_ric -0.014498, valid_ricir -0.112964, valid_mae 0.042945, valid_rmse 0.106793, valid_mape 444.170654, valid_acc 0.875464, test_loss 0.017299, ic 0.002267, icir 0.031844, ric -0.005677, ricir -0.066767, prec@10 0.528395, prec@30 0.511111, test_mae 0.076231, test_rmse 0.151380, test_mape 9959.781250, test_acc 0.502999
Epoch 4, train_loss 0.007362, train_ic 0.006378, train_icir 0.087410, train_ric 0.023706, train_ricir 0.202903, train_mae 0.020134, train_rmse 0.050041, train_mape 242.466568, train_acc 0.700718, valid_loss 0.0069744092, valid_ic 0.007554, valid_icir 0.105137, valid_ric 0.030419, valid_ricir 0.191306, valid_mae 0.036293, valid_rmse 0.086460, valid_mape 261.055908, valid_acc 0.799804, test_loss 0.010415, ic 0.001412, icir 0.020521, ric 0.018444, ricir 0.182307, prec@10 0.548971, prec@30 0.528944, test_mae 0.043729, test_rmse 0.118630, test_mape 4039.529053, test_acc 0.495454
Epoch 5, train_loss 0.005206, train_ic 0.006042, train_icir 0.080413, train_ric 0.018181, train_ricir 0.149523, train_mae 0.036527, train_rmse 0.088075, train_mape 671.955750, train_acc 0.416667, valid_loss 0.0054190103, valid_ic 0.008764, valid_icir 0.128851, valid_ric 0.035110, valid_ricir 0.238704, valid_mae 0.052615, valid_rmse 0.082653, valid_mape 316.184235, valid_acc 0.138416, test_loss 0.007447, ic 0.000970, icir 0.014372, ric 0.020485, ricir 0.157321, prec@10 0.535391, prec@30 0.521536, test_mae 0.039094, test_rmse 0.099041, test_mape 3314.246826, test_acc 0.476108
Epoch 6, train_loss 0.003999, train_ic 0.004766, train_icir 0.087839, train_ric -0.002016, train_ricir -0.025206, train_mae 0.013878, train_rmse 0.023419, train_mape 302.241394, train_acc 0.704449, valid_loss 0.0041174587, valid_ic 0.004732, valid_icir 0.095221, valid_ric -0.002390, valid_ricir -0.023227, valid_mae 0.047916, valid_rmse 0.072796, valid_mape 274.250214, valid_acc 0.148192, test_loss 0.005440, ic 0.001371, icir 0.024754, ric 0.013423, ricir 0.224041, prec@10 0.520165, prec@30 0.512346, test_mae 0.032814, test_rmse 0.084632, test_mape 3909.590820, test_acc 0.475334
Epoch 7, train_loss 0.003232, train_ic 0.010258, train_icir 0.153704, train_ric -0.000570, train_ricir -0.006297, train_mae 0.018042, train_rmse 0.028703, train_mape 195.577759, train_acc 0.376325, valid_loss 0.0033918048, valid_ic 0.007273, valid_icir 0.146265, valid_ric 0.004896, valid_ricir 0.044080, valid_mae 0.035937, valid_rmse 0.060509, valid_mape 192.549103, valid_acc 0.562463, test_loss 0.004218, ic 0.000274, icir 0.005508, ric -0.009152, ricir -0.168889, prec@10 0.612757, prec@30 0.577092, test_mae 0.026890, test_rmse 0.074598, test_mape 1867.941040, test_acc 0.456375
Epoch 8, train_loss 0.002757, train_ic 0.002245, train_icir 0.036342, train_ric 0.026080, train_ricir 0.262817, train_mae 0.034552, train_rmse 0.043055, train_mape 236.954163, train_acc 0.258179, valid_loss 0.0029863804, valid_ic 0.002820, valid_icir 0.049530, valid_ric 0.022682, valid_ricir 0.155818, valid_mae 0.042966, valid_rmse 0.060363, valid_mape 226.088623, valid_acc 0.145259, test_loss 0.003479, ic -0.002017, icir -0.038977, ric 0.025558, ricir 0.263559, prec@10 0.466667, prec@30 0.478189, test_mae 0.026880, test_rmse 0.067938, test_mape 4126.003906, test_acc 0.475140
Epoch 9, train_loss 0.002449, train_ic 0.014749, train_icir 0.223185, train_ric -0.006441, train_ricir -0.061046, train_mae 0.020913, train_rmse 0.049757, train_mape 1264.748169, train_acc 0.570566, valid_loss 0.0024910320, valid_ic 0.007732, valid_icir 0.199609, valid_ric -0.000557, valid_ricir -0.004174, valid_mae 0.034348, valid_rmse 0.051792, valid_mape 167.210037, valid_acc 0.368524, test_loss 0.002902, ic 0.001451, icir 0.030504, ric 0.001603, ricir 0.021592, prec@10 0.549383, prec@30 0.510151, test_mae 0.022212, test_rmse 0.062019, test_mape 454.915527, test_acc 0.493906
Epoch 10, train_loss 0.002192, train_ic 0.004997, train_icir 0.091108, train_ric -0.003624, train_ricir -0.042410, train_mae 0.018995, train_rmse 0.025925, train_mape 372.365082, train_acc 0.442355, valid_loss 0.0025160209, valid_ic 0.001245, valid_icir 0.036477, valid_ric -0.007006, valid_ricir -0.063148, valid_mae 0.023360, valid_rmse 0.043354, valid_mape 155.761276, valid_acc 0.875073, test_loss 0.002799, ic -0.002893, icir -0.067166, ric -0.003419, ricir -0.046845, prec@10 0.542387, prec@30 0.514540, test_mae 0.025436, test_rmse 0.060155, test_mape 2612.265869, test_acc 0.502612
Epoch 11, train_loss 0.002062, train_ic 0.010016, train_icir 0.166782, train_ric -0.003261, train_ricir -0.038953, train_mae 0.023107, train_rmse 0.042510, train_mape 431.348511, train_acc 0.591608, valid_loss 0.0025401213, valid_ic 0.005381, valid_icir 0.139650, valid_ric 0.002278, valid_ricir 0.019912, valid_mae 0.021664, valid_rmse 0.040418, valid_mape 167.485458, valid_acc 0.862561, test_loss 0.002776, ic -0.001824, icir -0.051416, ric -0.012176, ricir -0.200336, prec@10 0.558025, prec@30 0.545130, test_mae 0.029821, test_rmse 0.059201, test_mape 5952.199219, test_acc 0.497775
Epoch 12, train_loss 0.001917, train_ic 0.011401, train_icir 0.191083, train_ric 0.014925, train_ricir 0.160726, train_mae 0.053941, train_rmse 0.066193, train_mape 126.033142, train_acc 0.438376, valid_loss 0.0020326004, valid_ic 0.005946, valid_icir 0.181225, valid_ric 0.011136, valid_ricir 0.102966, valid_mae 0.036848, valid_rmse 0.048860, valid_mape 174.071198, valid_acc 0.185142, test_loss 0.002159, ic -0.000327, icir -0.008075, ric 0.016052, ricir 0.230169, prec@10 0.497119, prec@30 0.505624, test_mae 0.021572, test_rmse 0.052718, test_mape 1515.854980, test_acc 0.469336
Epoch 13, train_loss 0.001834, train_ic 0.005612, train_icir 0.096088, train_ric -0.004131, train_ricir -0.041348, train_mae 0.022674, train_rmse 0.028438, train_mape 241.168137, train_acc 0.158388, valid_loss 0.0020532605, valid_ic 0.002601, valid_icir 0.064697, valid_ric -0.006189, valid_ricir -0.047087, valid_mae 0.026497, valid_rmse 0.041167, valid_mape 140.449707, valid_acc 0.820332, test_loss 0.002150, ic -0.001360, icir -0.043326, ric -0.004113, ricir -0.039078, prec@10 0.512757, prec@30 0.504390, test_mae 0.023243, test_rmse 0.052139, test_mape 1980.401001, test_acc 0.481911
Epoch 14, train_loss 0.001738, train_ic 0.017811, train_icir 0.236449, train_ric 0.024273, train_ricir 0.243509, train_mae 0.013188, train_rmse 0.019171, train_mape 219.709915, train_acc 0.529449, valid_loss 0.0018859899, valid_ic 0.014807, valid_icir 0.264466, valid_ric 0.032797, valid_ricir 0.263566, valid_mae 0.036461, valid_rmse 0.046693, valid_mape 174.259949, valid_acc 0.234018, test_loss 0.001943, ic 0.001291, icir 0.023338, ric 0.026086, ricir 0.241725, prec@10 0.570370, prec@30 0.574897, test_mae 0.021161, test_rmse 0.049259, test_mape 2234.790527, test_acc 0.490037
Epoch 15, train_loss 0.001684, train_ic 0.021223, train_icir 0.258228, train_ric 0.023785, train_ricir 0.199505, train_mae 0.025424, train_rmse 0.037847, train_mape 167.673920, train_acc 0.384190, valid_loss 0.0018619912, valid_ic 0.014939, valid_icir 0.260041, valid_ric 0.033559, valid_ricir 0.224542, valid_mae 0.023943, valid_rmse 0.036770, valid_mape 144.766739, valid_acc 0.825220, test_loss 0.001988, ic 0.001431, icir 0.027208, ric 0.016694, ricir 0.136546, prec@10 0.551029, prec@30 0.528395, test_mae 0.022808, test_rmse 0.049335, test_mape 2680.052002, test_acc 0.498162
Epoch 16, train_loss 0.001600, train_ic 0.016716, train_icir 0.165297, train_ric 0.006771, train_ricir 0.047129, train_mae 0.027083, train_rmse 0.038564, train_mape 7124.268555, train_acc 0.447205, valid_loss 0.0021983552, valid_ic 0.018296, valid_icir 0.198842, valid_ric 0.026115, valid_ricir 0.153524, valid_mae 0.048084, valid_rmse 0.056136, valid_mape 266.259247, valid_acc 0.153666, test_loss 0.002125, ic 0.001041, icir 0.015175, ric 0.003903, ricir 0.026954, prec@10 0.539506, prec@30 0.516324, test_mae 0.027218, test_rmse 0.049188, test_mape 4684.852051, test_acc 0.471851
