Dataset:  CSI
Radom seed: 1234
GPU: 7
Learning rate: 0.001
Loss: MaskedMSELoss

---------- LSTM ----------
{
    "epochs": 200,
    "lookback_length": 16,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "CSI",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 4,
        "valid_year": 2024,
        "test_year": 2025,
        "window": 32,
        "steps": 1
    },
    "early_stop": 20,
    "runner": "csi",
    "loss": "mse",
    "model_args": {
        "d_feat": 1,
        "hidden_size": 64,
        "num_layers": 2,
        "dropout": 0.1
    }
}
Epoch 1, train_loss 0.092100, train_ic 0.004004, train_icir 0.043540, train_ric -0.000382, train_ricir -0.005426, train_mae 0.018910, train_rmse 0.044100, train_mape 7159.220703, train_acc 0.422955, valid_loss 0.0322044589, valid_ic 0.010319, valid_icir 0.096965, valid_ric -0.000811, valid_ricir -0.008609, valid_mae 0.096707, valid_rmse 0.193629, valid_mape 854.194275, valid_acc 0.431396, test_loss 0.052708, ic 0.001175, icir 0.010935, ric 0.012491, ricir 0.189193, prec@10 0.482305, prec@30 0.506584, test_mae 0.131158, test_rmse 0.260384, test_mape 3553.373779, test_acc 0.510457
Epoch 2, train_loss 0.021071, train_ic 0.004157, train_icir 0.052270, train_ric 0.006188, train_ricir 0.068022, train_mae 0.031297, train_rmse 0.083843, train_mape 274.073914, train_acc 0.787543, valid_loss 0.0166915897, valid_ic 0.007916, valid_icir 0.087706, valid_ric 0.003711, valid_ricir 0.029503, valid_mae 0.073375, valid_rmse 0.142035, valid_mape 546.445251, valid_acc 0.190644, test_loss 0.026876, ic 0.001751, icir 0.019089, ric 0.018163, ricir 0.276859, prec@10 0.536626, prec@30 0.522634, test_mae 0.081195, test_rmse 0.189284, test_mape 4541.531250, test_acc 0.491092
Epoch 3, train_loss 0.011681, train_ic 0.007119, train_icir 0.086386, train_ric 0.007669, train_ricir 0.054786, train_mae 0.078207, train_rmse 0.102848, train_mape 146.713989, train_acc 0.393602, valid_loss 0.0104607653, valid_ic 0.009805, valid_icir 0.121547, valid_ric 0.030822, valid_ricir 0.185162, valid_mae 0.055072, valid_rmse 0.110980, valid_mape 377.217773, valid_acc 0.345273, test_loss 0.016320, ic 0.001671, icir 0.019738, ric 0.010703, ricir 0.072377, prec@10 0.592181, prec@30 0.547188, test_mae 0.056563, test_rmse 0.148097, test_mape 1760.253540, test_acc 0.472308
Epoch 4, train_loss 0.007549, train_ic 0.004501, train_icir 0.073477, train_ric 0.014634, train_ricir 0.139022, train_mae 0.039269, train_rmse 0.101693, train_mape 542.262634, train_acc 0.599085, valid_loss 0.0073936635, valid_ic 0.005464, valid_icir 0.084254, valid_ric 0.005911, valid_ricir 0.046550, valid_mae 0.031905, valid_rmse 0.086521, valid_mape 281.854797, valid_acc 0.877080, test_loss 0.010957, ic 0.001243, icir 0.018917, ric 0.017261, ricir 0.195476, prec@10 0.532922, prec@30 0.524417, test_mae 0.048973, test_rmse 0.120762, test_mape 4982.314453, test_acc 0.501936
Epoch 5, train_loss 0.005352, train_ic 0.004237, train_icir 0.065743, train_ric 0.004099, train_ricir 0.036066, train_mae 0.030227, train_rmse 0.081090, train_mape 514.689941, train_acc 0.451107, valid_loss 0.0052749494, valid_ic 0.004657, valid_icir 0.077947, valid_ric -0.004402, valid_ricir -0.032675, valid_mae 0.043901, valid_rmse 0.079312, valid_mape 258.767395, valid_acc 0.341946, test_loss 0.007454, ic 0.001809, icir 0.032817, ric 0.010260, ricir 0.103131, prec@10 0.554733, prec@30 0.516735, test_mae 0.035275, test_rmse 0.098986, test_mape 1401.121460, test_acc 0.496127
Epoch 6, train_loss 0.004068, train_ic 0.005610, train_icir 0.081428, train_ric 0.029678, train_ricir 0.289565, train_mae 0.038728, train_rmse 0.088052, train_mape 379.420166, train_acc 0.423208, valid_loss 0.0042070856, valid_ic 0.005229, valid_icir 0.076395, valid_ric 0.025430, valid_ricir 0.173558, valid_mae 0.044352, valid_rmse 0.071306, valid_mape 241.945984, valid_acc 0.211000, test_loss 0.005497, ic 0.000658, icir 0.011133, ric 0.031121, ricir 0.325833, prec@10 0.516461, prec@30 0.500960, test_mae 0.031177, test_rmse 0.084977, test_mape 2814.167969, test_acc 0.475019
Epoch 7, train_loss 0.003289, train_ic 0.009686, train_icir 0.148955, train_ric 0.024061, train_ricir 0.225730, train_mae 0.014245, train_rmse 0.021962, train_mape 132.383301, train_acc 0.695537, valid_loss 0.0032780636, valid_ic 0.006353, valid_icir 0.104183, valid_ric 0.025460, valid_ricir 0.166890, valid_mae 0.033298, valid_rmse 0.058945, valid_mape 177.194702, valid_acc 0.669407, test_loss 0.004220, ic 0.000788, icir 0.014132, ric 0.029409, ricir 0.282011, prec@10 0.559259, prec@30 0.539506, test_mae 0.025378, test_rmse 0.074693, test_mape 881.009888, test_acc 0.502905
Epoch 8, train_loss 0.002835, train_ic 0.006944, train_icir 0.102525, train_ric -0.003453, train_ricir -0.032344, train_mae 0.013731, train_rmse 0.024926, train_mape 165.028030, train_acc 0.490681, valid_loss 0.0028180298, valid_ic 0.006525, valid_icir 0.126430, valid_ric 0.011148, valid_ricir 0.079224, valid_mae 0.033986, valid_rmse 0.054777, valid_mape 175.860092, valid_acc 0.476806, test_loss 0.003463, ic -0.000004, icir -0.000080, ric 0.000177, ricir 0.001688, prec@10 0.510700, prec@30 0.502469, test_mae 0.023285, test_rmse 0.067391, test_mape 1066.487549, test_acc 0.498838
Epoch 9, train_loss 0.002480, train_ic 0.011540, train_icir 0.174420, train_ric 0.035512, train_ricir 0.320774, train_mae 0.036177, train_rmse 0.067118, train_mape 255.888794, train_acc 0.331627, valid_loss 0.0026414933, valid_ic 0.009933, valid_icir 0.170735, valid_ric 0.039504, valid_ricir 0.259397, valid_mae 0.034810, valid_rmse 0.052446, valid_mape 168.204224, valid_acc 0.400274, test_loss 0.003022, ic 0.002318, icir 0.048630, ric 0.032332, ricir 0.313219, prec@10 0.518107, prec@30 0.510700, test_mae 0.022334, test_rmse 0.062463, test_mape 467.753265, test_acc 0.486445
Epoch 10, train_loss 0.002257, train_ic 0.010099, train_icir 0.150087, train_ric 0.030853, train_ricir 0.307485, train_mae 0.014401, train_rmse 0.022135, train_mape 185.281174, train_acc 0.625255, valid_loss 0.0023822732, valid_ic 0.008540, valid_icir 0.142799, valid_ric 0.030090, valid_ricir 0.212360, valid_mae 0.026474, valid_rmse 0.044860, valid_mape 154.255539, valid_acc 0.865140, test_loss 0.002744, ic -0.000028, icir -0.000533, ric 0.029133, ricir 0.293431, prec@10 0.503292, prec@30 0.508368, test_mae 0.023883, test_rmse 0.060015, test_mape 1989.304199, test_acc 0.500968
Epoch 11, train_loss 0.002085, train_ic -0.004508, train_icir -0.072167, train_ric 0.013252, train_ricir 0.153440, train_mae 0.031795, train_rmse 0.068786, train_mape 190.059998, train_acc 0.482957, valid_loss 0.0022079836, valid_ic 0.004327, valid_icir 0.081359, valid_ric 0.020693, valid_ricir 0.193165, valid_mae 0.035844, valid_rmse 0.049515, valid_mape 173.499756, valid_acc 0.296731, test_loss 0.002415, ic -0.003086, icir -0.058864, ric 0.027342, ricir 0.304106, prec@10 0.467078, prec@30 0.463512, test_mae 0.021595, test_rmse 0.055730, test_mape 3093.745850, test_acc 0.501356
Epoch 12, train_loss 0.001932, train_ic 0.005021, train_icir 0.079175, train_ric 0.018835, train_ricir 0.210645, train_mae 0.011548, train_rmse 0.017580, train_mape 190.005630, train_acc 0.521373, valid_loss 0.0020686568, valid_ic 0.007103, valid_icir 0.160068, valid_ric 0.022248, valid_ricir 0.209278, valid_mae 0.028817, valid_rmse 0.043463, valid_mape 145.376251, valid_acc 0.711685, test_loss 0.002227, ic -0.002786, icir -0.064704, ric 0.013508, ricir 0.183640, prec@10 0.498354, prec@30 0.509328, test_mae 0.021002, test_rmse 0.053431, test_mape 2043.408813, test_acc 0.472502
Epoch 13, train_loss 0.001875, train_ic 0.015220, train_icir 0.147114, train_ric 0.024904, train_ricir 0.177012, train_mae 0.023732, train_rmse 0.033283, train_mape 233.406708, train_acc 0.437657, valid_loss 0.0023097327, valid_ic 0.016595, valid_icir 0.171132, valid_ric 0.034619, valid_ricir 0.193152, valid_mae 0.023451, valid_rmse 0.038835, valid_mape 188.526810, valid_acc 0.766686, test_loss 0.002542, ic 0.000371, icir 0.004690, ric 0.019097, ricir 0.125815, prec@10 0.553909, prec@30 0.536900, test_mae 0.029000, test_rmse 0.056370, test_mape 3507.003906, test_acc 0.485864
Epoch 14, train_loss 0.001745, train_ic 0.004208, train_icir 0.060445, train_ric 0.018249, train_ricir 0.159199, train_mae 0.043860, train_rmse 0.192496, train_mape 245.841568, train_acc 0.225352, valid_loss 0.0022625671, valid_ic 0.004848, valid_icir 0.088505, valid_ric 0.021110, valid_ricir 0.138224, valid_mae 0.046620, valid_rmse 0.055479, valid_mape 245.500351, valid_acc 0.119789, test_loss 0.002216, ic -0.004678, icir -0.091847, ric 0.013017, ricir 0.102837, prec@10 0.560082, prec@30 0.554870, test_mae 0.027007, test_rmse 0.051532, test_mape 4863.109863, test_acc 0.468242
