Dataset:  CSI
Radom seed: 1234
GPU: 7
Learning rate: 0.001
Loss: MaskedMSELoss

---------- LSTM ----------
{
    "epochs": 200,
    "lookback_length": 16,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "CSI",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 4,
        "valid_year": 2020,
        "test_year": 2021,
        "window": 64,
        "steps": 1
    },
    "early_stop": 20,
    "runner": "csi",
    "loss": "mse",
    "model_args": {
        "d_feat": 1,
        "hidden_size": 64,
        "num_layers": 2,
        "dropout": 0.1
    }
}
Epoch 1, train_loss 0.126926, train_ic 0.001303, train_icir 0.012816, train_ric 0.017011, train_ricir 0.132987, train_mae 0.133152, train_rmse 0.242631, train_mape 2759.539795, train_acc 0.537855, valid_loss 0.0707922977, valid_ic -0.019726, valid_icir -0.161892, valid_ric -0.006199, valid_ricir -0.042240, valid_mae 0.156293, valid_rmse 0.287209, valid_mape 2542.150391, valid_acc 0.562516, test_loss 0.085512, ic 0.004790, icir 0.032689, ric 0.024963, ricir 0.159220, prec@10 0.557613, prec@30 0.581619, test_mae 0.184459, test_rmse 0.317485, test_mape 4578.811523, test_acc 0.524521
Epoch 2, train_loss 0.027751, train_ic 0.003123, train_icir 0.038146, train_ric 0.017943, train_ricir 0.175857, train_mae 0.045199, train_rmse 0.125963, train_mape 714.835876, train_acc 0.541284, valid_loss 0.0409126762, valid_ic -0.016434, valid_icir -0.153099, valid_ric -0.004108, valid_ricir -0.036615, valid_mae 0.099384, valid_rmse 0.226600, valid_mape 1466.865601, valid_acc 0.332339, test_loss 0.053280, ic 0.004888, icir 0.035348, ric 0.017171, ricir 0.134358, prec@10 0.525514, prec@30 0.539369, test_mae 0.117339, test_rmse 0.249749, test_mape 2892.978271, test_acc 0.435800
Epoch 3, train_loss 0.015052, train_ic 0.004926, train_icir 0.064623, train_ric 0.007063, train_ricir 0.060190, train_mae 0.059521, train_rmse 0.127310, train_mape 1266.509033, train_acc 0.358681, valid_loss 0.0288752247, valid_ic -0.014977, valid_icir -0.146383, valid_ric -0.006305, valid_ricir -0.046546, valid_mae 0.079982, valid_rmse 0.193539, valid_mape 1179.226440, valid_acc 0.673875, test_loss 0.039417, ic 0.004879, icir 0.036235, ric 0.007812, ricir 0.055183, prec@10 0.559259, prec@30 0.585460, test_mae 0.095065, test_rmse 0.212271, test_mape 2318.439209, test_acc 0.573562
Epoch 4, train_loss 0.009604, train_ic 0.000285, train_icir 0.004426, train_ric -0.009455, train_ricir -0.107187, train_mae 0.035941, train_rmse 0.084811, train_mape 685.214966, train_acc 0.370576, valid_loss 0.0215201828, valid_ic -0.014895, valid_icir -0.165143, valid_ric -0.017687, valid_ricir -0.175337, valid_mae 0.075864, valid_rmse 0.172396, valid_mape 948.150513, valid_acc 0.227442, test_loss 0.030937, ic 0.003240, icir 0.025713, ric 0.003323, ricir 0.031205, prec@10 0.513992, prec@30 0.512620, test_mae 0.080253, test_rmse 0.187800, test_mape 1851.381470, test_acc 0.383861
Epoch 5, train_loss 0.006776, train_ic 0.002885, train_icir 0.051654, train_ric 0.000275, train_ricir 0.003085, train_mae 0.017006, train_rmse 0.031128, train_mape 140.537613, train_acc 0.442026, valid_loss 0.0166448792, valid_ic -0.012675, valid_icir -0.153995, valid_ric -0.009695, valid_ricir -0.168407, valid_mae 0.055460, valid_rmse 0.152477, valid_mape 648.841980, valid_acc 0.522247, test_loss 0.025035, ic 0.003124, icir 0.025892, ric 0.001449, ricir 0.022873, prec@10 0.538272, prec@30 0.523045, test_mae 0.061906, test_rmse 0.168076, test_mape 1341.373413, test_acc 0.529648
Epoch 6, train_loss 0.005146, train_ic 0.002292, train_icir 0.041690, train_ric 0.009092, train_ricir 0.127928, train_mae 0.045176, train_rmse 0.054913, train_mape 1015.394592, train_acc 0.536107, valid_loss 0.0150310415, valid_ic -0.012599, valid_icir -0.167380, valid_ric -0.002742, valid_ricir -0.048353, valid_mae 0.082914, valid_rmse 0.147180, valid_mape 1065.097168, valid_acc 0.191399, test_loss 0.022559, ic 0.002765, icir 0.024036, ric 0.008878, ricir 0.149705, prec@10 0.520165, prec@30 0.541838, test_mae 0.083831, test_rmse 0.159394, test_mape 1860.834351, test_acc 0.364690
Epoch 7, train_loss 0.004047, train_ic 0.000619, train_icir 0.013368, train_ric -0.016935, train_ricir -0.169883, train_mae 0.022526, train_rmse 0.054373, train_mape 615.643433, train_acc 0.560095, valid_loss 0.0110903029, valid_ic -0.006897, valid_icir -0.111479, valid_ric -0.003860, valid_ricir -0.039684, valid_mae 0.044967, valid_rmse 0.125154, valid_mape 585.154541, valid_acc 0.559036, test_loss 0.017782, ic 0.002346, icir 0.022501, ric -0.014720, ricir -0.188226, prec@10 0.501646, prec@30 0.499726, test_mae 0.052202, test_rmse 0.139803, test_mape 1179.578613, test_acc 0.510923
Epoch 8, train_loss 0.003256, train_ic 0.005878, train_icir 0.094696, train_ric 0.012150, train_ricir 0.097985, train_mae 0.052376, train_rmse 0.091644, train_mape 252.616302, train_acc 0.209018, valid_loss 0.0090171391, valid_ic -0.010496, valid_icir -0.145157, valid_ric -0.005523, valid_ricir -0.038260, valid_mae 0.044674, valid_rmse 0.115355, valid_mape 490.457001, valid_acc 0.228436, test_loss 0.014979, ic 0.003494, icir 0.031234, ric 0.016714, ricir 0.110403, prec@10 0.537037, prec@30 0.530590, test_mae 0.046101, test_rmse 0.128480, test_mape 970.547485, test_acc 0.425546
Epoch 9, train_loss 0.002815, train_ic 0.010903, train_icir 0.185693, train_ric 0.017676, train_ricir 0.153778, train_mae 0.015627, train_rmse 0.021373, train_mape 276.275574, train_acc 0.774424, valid_loss 0.0081333491, valid_ic -0.009460, valid_icir -0.145694, valid_ric 0.005115, valid_ricir 0.053297, valid_mae 0.037627, valid_rmse 0.105270, valid_mape 515.710876, valid_acc 0.726324, test_loss 0.013304, ic 0.003746, icir 0.035616, ric 0.009943, ricir 0.094059, prec@10 0.588066, prec@30 0.588066, test_mae 0.045708, test_rmse 0.119065, test_mape 1047.342163, test_acc 0.589612
Epoch 10, train_loss 0.002425, train_ic 0.000707, train_icir 0.013061, train_ric -0.017485, train_ricir -0.157832, train_mae 0.018042, train_rmse 0.023879, train_mape 171.571884, train_acc 0.519254, valid_loss 0.0068063351, valid_ic -0.002591, valid_icir -0.052132, valid_ric -0.007205, valid_ricir -0.069611, valid_mae 0.035799, valid_rmse 0.098429, valid_mape 396.748291, valid_acc 0.595575, test_loss 0.011474, ic 0.002742, icir 0.030464, ric -0.016559, ricir -0.196419, prec@10 0.520165, prec@30 0.498491, test_mae 0.040042, test_rmse 0.110482, test_mape 849.673950, test_acc 0.512037
Epoch 11, train_loss 0.002221, train_ic 0.008364, train_icir 0.168670, train_ric -0.000730, train_ricir -0.008662, train_mae 0.060050, train_rmse 0.070499, train_mape 120.814369, train_acc 0.022286, valid_loss 0.0058553984, valid_ic -0.007935, valid_icir -0.147121, valid_ric -0.005486, valid_ricir -0.079422, valid_mae 0.038652, valid_rmse 0.093554, valid_mape 389.761688, valid_acc 0.207557, test_loss 0.010088, ic 0.003291, icir 0.034888, ric -0.001921, ricir -0.027676, prec@10 0.564609, prec@30 0.557888, test_mae 0.038304, test_rmse 0.103686, test_mape 754.884583, test_acc 0.371601
