Dataset:  CSI
Radom seed: 1234
GPU: 6
Learning rate: 0.01
Loss: MaskedMSELoss

---------- LSTM ----------
{
    "epochs": 200,
    "lookback_length": 8,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "CSI",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 4,
        "valid_year": 2017,
        "test_year": 2018,
        "window": 8,
        "steps": 1
    },
    "early_stop": 20,
    "runner": "csi",
    "loss": "mse",
    "model_args": {
        "d_feat": 1,
        "hidden_size": 64,
        "num_layers": 2,
        "dropout": 0.1
    }
}
Epoch 1, train_loss 0.164355, train_ic -0.000633, train_icir -0.006972, train_ric -0.001216, train_ricir -0.012427, train_mae 0.122959, train_rmse 0.192971, train_mape 158.043320, train_acc 0.181720, valid_loss 0.0321697442, valid_ic -0.001501, valid_icir -0.020947, valid_ric 0.003770, valid_ricir 0.069788, valid_prec@10 0.463525, valid_prec@30 0.484973, valid_mae 0.088093, valid_rmse 0.167822, valid_mape 1897.583252, valid_acc 0.552441, test_loss 0.024193, ic -0.004327, icir -0.059194, ric -0.003229, ricir -0.048802, prec@10 0.426749, prec@30 0.457202, test_mae 0.066761, test_rmse 0.124607, test_mape 1288.137573, test_acc 0.479102
Epoch 2, train_loss 0.018599, train_ic -0.001816, train_icir -0.021321, train_ric 0.008392, train_ricir 0.099740, train_mae 0.085110, train_rmse 0.132156, train_mape 1574.815308, train_acc 0.342905, valid_loss 0.0155263506, valid_ic -0.003020, valid_icir -0.050672, valid_ric 0.009870, valid_ricir 0.204918, valid_prec@10 0.623770, valid_prec@30 0.597541, valid_mae 0.070231, valid_rmse 0.118760, valid_mape 1494.327759, valid_acc 0.638255, test_loss 0.015637, ic -0.004347, icir -0.058361, ric 0.010433, ricir 0.146986, prec@10 0.533333, prec@30 0.553909, test_mae 0.084512, test_rmse 0.119232, test_mape 1487.869629, test_acc 0.497335
Epoch 3, train_loss 0.010875, train_ic -0.001109, train_icir -0.013925, train_ric 0.019336, train_ricir 0.180780, train_mae 0.079461, train_rmse 0.102612, train_mape 183.977432, train_acc 0.341718, valid_loss 0.0076116954, valid_ic -0.005106, valid_icir -0.091023, valid_ric 0.012248, valid_ricir 0.129419, valid_prec@10 0.501639, valid_prec@30 0.544536, valid_mae 0.036797, valid_rmse 0.087115, valid_mape 620.940430, valid_acc 0.320139, test_loss 0.007562, ic -0.007951, icir -0.121719, ric 0.010066, ricir 0.101664, prec@10 0.479424, prec@30 0.500000, test_mae 0.029740, test_rmse 0.069612, test_mape 474.794067, test_acc 0.506311
Epoch 4, train_loss 0.007123, train_ic 0.001293, train_icir 0.019712, train_ric 0.011401, train_ricir 0.212144, train_mae 0.049727, train_rmse 0.085503, train_mape 1356.489868, train_acc 0.350000, valid_loss 0.0057033140, valid_ic -0.004141, valid_icir -0.094065, valid_ric 0.004953, valid_ricir 0.142251, valid_prec@10 0.630738, valid_prec@30 0.594809, valid_mae 0.048356, valid_rmse 0.079322, valid_mape 887.862122, valid_acc 0.241260, test_loss 0.006589, ic -0.003647, icir -0.064052, ric 0.003616, ricir 0.079452, prec@10 0.547325, prec@30 0.565569, test_mae 0.045832, test_rmse 0.074800, test_mape 778.021729, test_acc 0.458345
Epoch 5, train_loss 0.005357, train_ic -0.001717, train_icir -0.026704, train_ric 0.008324, train_ricir 0.121067, train_mae 0.047619, train_rmse 0.088679, train_mape 356.094299, train_acc 0.277039, valid_loss 0.0037352165, valid_ic -0.007317, valid_icir -0.171897, valid_ric 0.003395, valid_ricir 0.071207, valid_prec@10 0.570082, valid_prec@30 0.559563, valid_mae 0.029772, valid_rmse 0.063644, valid_mape 471.484131, valid_acc 0.301358, test_loss 0.004345, ic -0.008940, icir -0.180086, ric -0.000897, ricir -0.017520, prec@10 0.516872, prec@30 0.510837, test_mae 0.025931, test_rmse 0.053642, test_mape 381.650146, test_acc 0.467041
Epoch 6, train_loss 0.004292, train_ic 0.002684, train_icir 0.042310, train_ric -0.008202, train_ricir -0.096220, train_mae 0.040333, train_rmse 0.073826, train_mape 401.405609, train_acc 0.278912, valid_loss 0.0028933306, valid_ic -0.004748, valid_icir -0.134641, valid_ric -0.005912, valid_ricir -0.083343, valid_prec@10 0.536885, valid_prec@30 0.541803, valid_mae 0.020715, valid_rmse 0.054356, valid_mape 340.563049, valid_acc 0.561398, test_loss 0.003493, ic -0.008207, icir -0.206687, ric -0.009392, ricir -0.118770, prec@10 0.512346, prec@30 0.503841, test_mae 0.021881, test_rmse 0.047437, test_mape 280.371704, test_acc 0.471809
Epoch 7, train_loss 0.003850, train_ic 0.004225, train_icir 0.075487, train_ric -0.004578, train_ricir -0.060911, train_mae 0.026187, train_rmse 0.034756, train_mape 225.094742, train_acc 0.461814, valid_loss 0.0023613589, valid_ic -0.002201, valid_icir -0.063752, valid_ric -0.005915, valid_ricir -0.103669, valid_prec@10 0.598770, valid_prec@30 0.560383, valid_mae 0.019460, valid_rmse 0.049307, valid_mape 316.325745, valid_acc 0.564288, test_loss 0.003130, ic -0.006996, icir -0.174032, ric -0.010498, ricir -0.148739, prec@10 0.539506, prec@30 0.526475, test_mae 0.023341, test_rmse 0.049049, test_mape 302.453461, test_acc 0.455259
Epoch 8, train_loss 0.003404, train_ic 0.011160, train_icir 0.186457, train_ric 0.024285, train_ricir 0.305292, train_mae 0.022146, train_rmse 0.030216, train_mape 311.140900, train_acc 0.307900, valid_loss 0.0020875405, valid_ic -0.002653, valid_icir -0.062282, valid_ric 0.003067, valid_ricir 0.036009, valid_prec@10 0.513525, valid_prec@30 0.510519, valid_mae 0.025996, valid_rmse 0.048674, valid_mape 409.571472, valid_acc 0.257729, test_loss 0.002640, ic -0.006451, icir -0.138035, ric -0.002265, ricir -0.031517, prec@10 0.503704, prec@30 0.499863, test_mae 0.021879, test_rmse 0.042532, test_mape 311.063141, test_acc 0.448247
Epoch 9, train_loss 0.003191, train_ic 0.001633, train_icir 0.025626, train_ric 0.002598, train_ricir 0.031593, train_mae 0.030390, train_rmse 0.050082, train_mape 722.189453, train_acc 0.517446, valid_loss 0.0024986919, valid_ic -0.003869, valid_icir -0.112228, valid_ric 0.003447, valid_ricir 0.073364, valid_prec@10 0.524180, valid_prec@30 0.517350, valid_mae 0.027858, valid_rmse 0.046445, valid_mape 616.050598, valid_acc 0.669171, test_loss 0.002987, ic -0.007759, icir -0.195077, ric -0.004570, ricir -0.067242, prec@10 0.495885, prec@30 0.499863, test_mae 0.033971, test_rmse 0.048378, test_mape 587.552185, test_acc 0.500982
Epoch 10, train_loss 0.002887, train_ic 0.007152, train_icir 0.079937, train_ric 0.025770, train_ricir 0.228745, train_mae 0.030274, train_rmse 0.048232, train_mape 559.867737, train_acc 0.570732, valid_loss 0.0018384384, valid_ic -0.002624, valid_icir -0.044960, valid_ric 0.008616, valid_ricir 0.091671, valid_prec@10 0.572951, valid_prec@30 0.579098, valid_mae 0.028475, valid_rmse 0.045343, valid_mape 477.080963, valid_acc 0.371280, test_loss 0.002604, ic -0.003256, icir -0.043904, ric 0.008596, ricir 0.073142, prec@10 0.527572, prec@30 0.544444, test_mae 0.030965, test_rmse 0.048405, test_mape 478.412628, test_acc 0.513885
Epoch 11, train_loss 0.002604, train_ic 0.000407, train_icir 0.004531, train_ric -0.016148, train_ricir -0.125973, train_mae 0.026786, train_rmse 0.038225, train_mape 198.822449, train_acc 0.657375, valid_loss 0.0018662773, valid_ic -0.000530, valid_icir -0.008120, valid_ric -0.003215, valid_ricir -0.026417, valid_prec@10 0.536066, valid_prec@30 0.525956, valid_mae 0.032513, valid_rmse 0.047163, valid_mape 535.300964, valid_acc 0.314649, test_loss 0.002521, ic -0.007635, icir -0.121938, ric -0.007324, ricir -0.058578, prec@10 0.478189, prec@30 0.481893, test_mae 0.033851, test_rmse 0.046599, test_mape 523.090454, test_acc 0.437307
