Dataset:  CSI
Radom seed: 1234
GPU: 6
Learning rate: 0.001
Loss: MaskedMSELoss

---------- LSTM ----------
{
    "epochs": 200,
    "lookback_length": 64,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "CSI",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 4,
        "valid_year": 2017,
        "test_year": 2018,
        "window": 64,
        "steps": 1
    },
    "early_stop": 20,
    "runner": "csi",
    "loss": "mse",
    "model_args": {
        "d_feat": 1,
        "hidden_size": 64,
        "num_layers": 2,
        "dropout": 0.1
    }
}
Epoch 1, train_loss 0.220299, train_ic 0.005654, train_icir 0.049419, train_ric 0.015246, train_ricir 0.140968, train_mae 0.169873, train_rmse 0.278758, train_mape 1435.098511, train_acc 0.428313, valid_loss 0.1088728013, valid_ic 0.000477, valid_icir 0.004689, valid_ric 0.006499, valid_ricir 0.065024, valid_prec@10 0.455738, valid_prec@30 0.482104, valid_mae 0.198071, valid_rmse 0.314824, valid_mape 4537.142090, valid_acc 0.450667, test_loss 0.076753, ic 0.000904, icir 0.008511, ric 0.001454, ricir 0.016134, prec@10 0.420988, prec@30 0.434979, test_mae 0.126172, test_rmse 0.226463, test_mape 2565.815430, test_acc 0.501833
Epoch 2, train_loss 0.061819, train_ic 0.006037, train_icir 0.058428, train_ric 0.004375, train_ricir 0.045105, train_mae 0.117629, train_rmse 0.213422, train_mape 629.195862, train_acc 0.355114, valid_loss 0.0552940374, valid_ic 0.001165, valid_icir 0.013167, valid_ric 0.005448, valid_ricir 0.070718, valid_prec@10 0.500000, valid_prec@30 0.512568, valid_mae 0.109469, valid_rmse 0.222748, valid_mape 2392.107910, valid_acc 0.420741, test_loss 0.038582, ic 0.000955, icir 0.010284, ric -0.000828, ricir -0.011174, prec@10 0.422634, prec@30 0.458711, test_mae 0.062185, test_rmse 0.154826, test_mape 1159.465576, test_acc 0.483225
Epoch 3, train_loss 0.037044, train_ic 0.008792, train_icir 0.086119, train_ric 0.022638, train_ricir 0.166915, train_mae 0.103732, train_rmse 0.214760, train_mape 1984.170532, train_acc 0.625000, valid_loss 0.0353123520, valid_ic 0.001513, valid_icir 0.018346, valid_ric 0.000620, valid_ricir 0.005376, valid_prec@10 0.613934, valid_prec@30 0.592213, valid_mae 0.080547, valid_rmse 0.177720, valid_mape 1736.692993, valid_acc 0.580741, test_loss 0.025728, ic 0.001704, icir 0.018783, ric 0.001974, ricir 0.015400, prec@10 0.490947, prec@30 0.524554, test_mae 0.056727, test_rmse 0.126510, test_mape 1045.438965, test_acc 0.501551
Epoch 4, train_loss 0.026120, train_ic 0.010683, train_icir 0.108826, train_ric 0.029710, train_ricir 0.212500, train_mae 0.037068, train_rmse 0.057607, train_mape 392.026672, train_acc 0.253376, valid_loss 0.0245481302, valid_ic 0.001507, valid_icir 0.020060, valid_ric 0.000629, valid_ricir 0.005782, valid_prec@10 0.647131, valid_prec@30 0.599454, valid_mae 0.061486, valid_rmse 0.149063, valid_mape 1228.998047, valid_acc 0.494222, test_loss 0.018713, ic 0.001762, icir 0.020637, ric 0.003063, ricir 0.024161, prec@10 0.533333, prec@30 0.543073, test_mae 0.045422, test_rmse 0.107804, test_mape 786.504395, test_acc 0.513674
Epoch 5, train_loss 0.019518, train_ic 0.009197, train_icir 0.113087, train_ric 0.005906, train_ricir 0.062676, train_mae 0.076429, train_rmse 0.169659, train_mape 634.834839, train_acc 0.450395, valid_loss 0.0179337376, valid_ic 0.000536, valid_icir 0.008730, valid_ric -0.007890, valid_ricir -0.160269, valid_prec@10 0.536475, valid_prec@30 0.535656, valid_mae 0.047369, valid_rmse 0.128149, valid_mape 932.444214, valid_acc 0.520000, test_loss 0.014147, ic -0.000192, icir -0.002847, ric -0.013552, ricir -0.170085, prec@10 0.510700, prec@30 0.518381, test_mae 0.033128, test_rmse 0.092586, test_mape 542.195007, test_acc 0.426558
Epoch 6, train_loss 0.015273, train_ic 0.008739, train_icir 0.105007, train_ric 0.031262, train_ricir 0.274734, train_mae 0.057437, train_rmse 0.139186, train_mape 1014.933777, train_acc 0.427664, valid_loss 0.0136231584, valid_ic -0.000055, valid_icir -0.000888, valid_ric 0.010927, valid_ricir 0.147869, valid_prec@10 0.498770, valid_prec@30 0.517486, valid_mae 0.038727, valid_rmse 0.112585, valid_mape 738.911072, valid_acc 0.633481, test_loss 0.011383, ic -0.000242, icir -0.003480, ric 0.010859, ricir 0.129837, prec@10 0.483128, prec@30 0.491221, test_mae 0.030834, test_rmse 0.083062, test_mape 512.876404, test_acc 0.502114
Epoch 7, train_loss 0.012330, train_ic 0.009657, train_icir 0.115919, train_ric 0.034821, train_ricir 0.255992, train_mae 0.057443, train_rmse 0.118425, train_mape 1396.975342, train_acc 0.271337, valid_loss 0.0109316051, valid_ic -0.000454, valid_icir -0.007785, valid_ric 0.011197, valid_ricir 0.119792, valid_prec@10 0.589344, valid_prec@30 0.583060, valid_mae 0.047972, valid_rmse 0.103923, valid_mape 884.794800, valid_acc 0.220741, test_loss 0.009576, ic -0.000487, icir -0.007109, ric 0.009206, ricir 0.076081, prec@10 0.547737, prec@30 0.544582, test_mae 0.033213, test_rmse 0.077120, test_mape 600.075439, test_acc 0.460107
Epoch 8, train_loss 0.010128, train_ic 0.006825, train_icir 0.094933, train_ric -0.002855, train_ricir -0.026971, train_mae 0.061580, train_rmse 0.112668, train_mape 413.904053, train_acc 0.338124, valid_loss 0.0087729640, valid_ic -0.001757, valid_icir -0.041432, valid_ric -0.000583, valid_ricir -0.006396, valid_prec@10 0.501230, valid_prec@30 0.510792, valid_mae 0.040273, valid_rmse 0.094027, valid_mape 723.685364, valid_acc 0.405926, test_loss 0.008445, ic -0.002719, icir -0.060039, ric -0.004161, ricir -0.037329, prec@10 0.470782, prec@30 0.485185, test_mae 0.039411, test_rmse 0.075843, test_mape 622.536438, test_acc 0.425994
Epoch 9, train_loss 0.008556, train_ic 0.010554, train_icir 0.127968, train_ric 0.046581, train_ricir 0.329551, train_mae 0.050151, train_rmse 0.114880, train_mape 407.259521, train_acc 0.407261, valid_loss 0.0069367094, valid_ic -0.001470, valid_icir -0.026501, valid_ric 0.017727, valid_ricir 0.176117, valid_prec@10 0.500820, valid_prec@30 0.527732, valid_mae 0.027491, valid_rmse 0.082968, valid_mape 470.397369, valid_acc 0.641185, test_loss 0.006863, ic -0.001399, icir -0.021805, ric 0.018353, ricir 0.151025, prec@10 0.458025, prec@30 0.486694, test_mae 0.027964, test_rmse 0.065189, test_mape 434.205139, test_acc 0.507189
Epoch 10, train_loss 0.007269, train_ic 0.009434, train_icir 0.098154, train_ric 0.035709, train_ricir 0.242311, train_mae 0.062162, train_rmse 0.130219, train_mape 384.145538, train_acc 0.621033, valid_loss 0.0066302453, valid_ic -0.001650, valid_icir -0.026303, valid_ric 0.015436, valid_ricir 0.134506, valid_prec@10 0.629508, valid_prec@30 0.594262, valid_mae 0.038046, valid_rmse 0.080944, valid_mape 749.477173, valid_acc 0.662519, test_loss 0.007501, ic -0.001330, icir -0.017249, ric 0.013283, ricir 0.097412, prec@10 0.554321, prec@30 0.552675, test_mae 0.048839, test_rmse 0.075411, test_mape 819.155884, test_acc 0.500423
Epoch 11, train_loss 0.006376, train_ic 0.013735, train_icir 0.204807, train_ric 0.005908, train_ricir 0.048975, train_mae 0.028947, train_rmse 0.075357, train_mape 814.205444, train_acc 0.457592, valid_loss 0.0048167012, valid_ic -0.001220, valid_icir -0.030407, valid_ric -0.010941, valid_ricir -0.124977, valid_prec@10 0.544262, valid_prec@30 0.510929, valid_mae 0.025799, valid_rmse 0.071320, valid_mape 412.569580, valid_acc 0.485630, test_loss 0.005161, ic -0.000940, icir -0.022145, ric -0.012993, ricir -0.114353, prec@10 0.534568, prec@30 0.513717, test_mae 0.026607, test_rmse 0.057695, test_mape 353.920868, test_acc 0.428531
