Dataset:  CSI300
Radom seed: 1234
GPU: 6
Learning rate: 0.001
Loss: MaskedMSELoss

---------- LSTM ----------
{
    "epochs": 200,
    "lookback_length": 16,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "CSI300",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 4,
        "valid_year": 2017,
        "test_year": 2018,
        "window": 16,
        "steps": 1
    },
    "early_stop": 20,
    "runner": "csi",
    "loss": "mse",
    "model_args": {
        "d_feat": 1,
        "hidden_size": 64,
        "num_layers": 2,
        "dropout": 0.1
    }
}
Epoch 1, train_loss 0.130002, train_ic 0.013770, train_icir 0.148015, train_ric 0.045687, train_ricir 0.371631, train_mae 0.111470, train_rmse 0.220413, train_mape 1408.731079, train_acc 0.626667, valid_loss 0.0419839229, valid_ic -0.007937, valid_icir -0.064417, valid_ric 0.025260, valid_ricir 0.197871, valid_prec@10 0.538115, valid_prec@30 0.556831, valid_mae 0.087409, valid_rmse 0.199097, valid_mape 2046.219849, valid_acc 0.336667, test_loss 0.030446, ic 0.000693, icir 0.006081, ric 0.027016, ricir 0.206461, prec@10 0.486008, prec@30 0.522634, test_mae 0.050834, test_rmse 0.143795, test_mape 1829.085327, test_acc 0.536667
Epoch 2, train_loss 0.027753, train_ic 0.012996, train_icir 0.153753, train_ric 0.029493, train_ricir 0.259533, train_mae 0.052971, train_rmse 0.123000, train_mape 548.826416, train_acc 0.380000, valid_loss 0.0242158488, valid_ic -0.011204, valid_icir -0.090954, valid_ric 0.016478, valid_ricir 0.167231, valid_prec@10 0.601639, valid_prec@30 0.578005, valid_mae 0.056071, valid_rmse 0.156656, valid_mape 1541.501831, valid_acc 0.603333, test_loss 0.020462, ic 0.000008, icir 0.000069, ric 0.021378, ricir 0.167926, prec@10 0.526337, prec@30 0.541975, test_mae 0.049574, test_rmse 0.121757, test_mape 1768.351807, test_acc 0.593333
Epoch 3, train_loss 0.017217, train_ic 0.017973, train_icir 0.224236, train_ric 0.039097, train_ricir 0.362990, train_mae 0.031450, train_rmse 0.074313, train_mape 617.198242, train_acc 0.393333, valid_loss 0.0181501831, valid_ic -0.012323, valid_icir -0.098099, valid_ric 0.003408, valid_ricir 0.035255, valid_prec@10 0.615164, valid_prec@30 0.582104, valid_mae 0.055521, valid_rmse 0.139164, valid_mape 1499.380005, valid_acc 0.320000, test_loss 0.016432, ic 0.003366, icir 0.028195, ric 0.015187, ricir 0.121164, prec@10 0.551440, prec@30 0.553086, test_mae 0.043587, test_rmse 0.108451, test_mape 1613.495117, test_acc 0.516667
Epoch 4, train_loss 0.012580, train_ic 0.015428, train_icir 0.208751, train_ric 0.015209, train_ricir 0.129141, train_mae 0.020966, train_rmse 0.060192, train_mape 508.056458, train_acc 0.636667, valid_loss 0.0142120732, valid_ic -0.014437, valid_icir -0.115277, valid_ric -0.017355, valid_ricir -0.183986, valid_prec@10 0.465164, valid_prec@30 0.489344, valid_mae 0.039873, valid_rmse 0.123660, valid_mape 1249.874634, valid_acc 0.656667, test_loss 0.013652, ic -0.001399, icir -0.012591, ric -0.017028, ricir -0.185826, prec@10 0.476955, prec@30 0.481207, test_mae 0.031137, test_rmse 0.096247, test_mape 1374.626953, test_acc 0.586667
Epoch 5, train_loss 0.009830, train_ic 0.019592, train_icir 0.255590, train_ric 0.037906, train_ricir 0.329263, train_mae 0.054038, train_rmse 0.101699, train_mape 71.040825, train_acc 0.460000, valid_loss 0.0123887642, valid_ic -0.013131, valid_icir -0.105227, valid_ric -0.001151, valid_ricir -0.012061, valid_prec@10 0.611885, valid_prec@30 0.578279, valid_mae 0.047789, valid_rmse 0.117249, valid_mape 1403.075806, valid_acc 0.643333, test_loss 0.013627, ic 0.003741, icir 0.031944, ric 0.013467, ricir 0.107738, prec@10 0.548560, prec@30 0.551715, test_mae 0.055670, test_rmse 0.100843, test_mape 1732.337158, test_acc 0.593333
Epoch 6, train_loss 0.007819, train_ic 0.015456, train_icir 0.201531, train_ric 0.037023, train_ricir 0.338635, train_mae 0.102023, train_rmse 0.127388, train_mape 129.633652, train_acc 0.250000, valid_loss 0.0107786075, valid_ic -0.013529, valid_icir -0.109423, valid_ric 0.007735, valid_ricir 0.076232, valid_prec@10 0.613934, valid_prec@30 0.581421, valid_mae 0.047178, valid_rmse 0.110354, valid_mape 1384.188110, valid_acc 0.660000, test_loss 0.012955, ic 0.002633, icir 0.022654, ric 0.015990, ricir 0.124221, prec@10 0.563786, prec@30 0.549931, test_mae 0.061170, test_rmse 0.101501, test_mape 1771.301514, test_acc 0.593333
Epoch 7, train_loss 0.006526, train_ic 0.017899, train_icir 0.272283, train_ric -0.004133, train_ricir -0.028901, train_mae 0.025439, train_rmse 0.050861, train_mape 272.117767, train_acc 0.160000, valid_loss 0.0082990633, valid_ic -0.014248, valid_icir -0.120101, valid_ric -0.039024, valid_ricir -0.355100, valid_prec@10 0.498361, valid_prec@30 0.471858, valid_mae 0.032513, valid_rmse 0.100085, valid_mape 924.500854, valid_acc 0.186667, test_loss 0.009201, ic -0.000561, icir -0.005373, ric -0.027176, ricir -0.269654, prec@10 0.471605, prec@30 0.464746, test_mae 0.024804, test_rmse 0.078674, test_mape 1050.138306, test_acc 0.353333
Epoch 8, train_loss 0.005542, train_ic 0.020565, train_icir 0.304800, train_ric -0.004847, train_ricir -0.030438, train_mae 0.018307, train_rmse 0.047358, train_mape 192.294098, train_acc 0.776667, valid_loss 0.0072884956, valid_ic -0.013754, valid_icir -0.118156, valid_ric -0.041269, valid_ricir -0.375585, valid_prec@10 0.459836, valid_prec@30 0.463525, valid_mae 0.028442, valid_rmse 0.093524, valid_mape 901.637939, valid_acc 0.673333, test_loss 0.008499, ic 0.000666, icir 0.006478, ric -0.024044, ricir -0.229931, prec@10 0.461317, prec@30 0.461591, test_mae 0.022652, test_rmse 0.074201, test_mape 980.668945, test_acc 0.606667
Epoch 9, train_loss 0.004651, train_ic 0.015209, train_icir 0.229210, train_ric 0.016442, train_ricir 0.148300, train_mae 0.027235, train_rmse 0.044749, train_mape 474.845215, train_acc 0.793333, valid_loss 0.0068452403, valid_ic -0.012910, valid_icir -0.114435, valid_ric -0.005751, valid_ricir -0.070639, valid_prec@10 0.609016, valid_prec@30 0.576639, valid_mae 0.037172, valid_rmse 0.090891, valid_mape 1115.078735, valid_acc 0.676667, test_loss 0.009155, ic 0.002110, icir 0.019755, ric 0.005448, ricir 0.048552, prec@10 0.565021, prec@30 0.548011, test_mae 0.045721, test_rmse 0.082849, test_mape 1319.903809, test_acc 0.593333
Epoch 10, train_loss 0.004023, train_ic 0.012484, train_icir 0.194349, train_ric 0.005165, train_ricir 0.045406, train_mae 0.018781, train_rmse 0.035226, train_mape 236.476715, train_acc 0.343333, valid_loss 0.0053874717, valid_ic -0.014597, valid_icir -0.131310, valid_ric -0.014226, valid_ricir -0.150196, valid_prec@10 0.469262, valid_prec@30 0.501913, valid_mae 0.023064, valid_rmse 0.083381, valid_mape 739.244324, valid_acc 0.666667, test_loss 0.006981, ic -0.001472, icir -0.014748, ric 0.000926, ricir 0.009573, prec@10 0.474074, prec@30 0.494650, test_mae 0.021023, test_rmse 0.067195, test_mape 829.492004, test_acc 0.593333
Epoch 11, train_loss 0.003672, train_ic 0.015485, train_icir 0.231199, train_ric 0.009229, train_ricir 0.065721, train_mae 0.018015, train_rmse 0.050464, train_mape 986.725342, train_acc 0.363333, valid_loss 0.0046325882, valid_ic -0.012616, valid_icir -0.119921, valid_ric -0.006301, valid_ricir -0.061607, valid_prec@10 0.511885, valid_prec@30 0.530464, valid_mae 0.022285, valid_rmse 0.079874, valid_mape 658.633484, valid_acc 0.406667, test_loss 0.006298, ic -0.002767, icir -0.029367, ric -0.018900, ricir -0.181339, prec@10 0.493416, prec@30 0.496159, test_mae 0.019430, test_rmse 0.064334, test_mape 701.110840, test_acc 0.423333
