Dataset:  CSI
Radom seed: 1234
GPU: 7
Learning rate: 0.001
Loss: MaskedMSELoss

---------- MLP ----------
{
    "epochs": 200,
    "lookback_length": 16,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "CSI",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 20,
        "valid_year": 2019,
        "test_year": 2020,
        "window": 16,
        "steps": 1
    },
    "early_stop": 20,
    "runner": "csi",
    "loss": "mse",
    "model_args": {
        "d_feat": 1,
        "seq_len": 16,
        "pred_len": 1,
        "d_model": 64,
        "dropout": 0.1
    }
}
Epoch 1, train_loss 0.017796, train_ic -0.042925, train_icir -0.301206, train_ric 0.044093, train_ricir 0.265677, valid_loss 0.0030734298 , valid_ic -0.021460, valid_icir -0.203130, valid_ric 0.049403, valid_ricir 0.437343, test_loss 0.003614, ic -0.042480, icir -0.328394, ric 0.019459, ricir 0.150578, prec@10 0.393827, prec@30 0.447325 
Epoch 2, train_loss 0.006892, train_ic -0.052379, train_icir -0.383519, train_ric 0.025502, train_ricir 0.160253, valid_loss 0.0012503680 , valid_ic -0.036129, valid_icir -0.388435, valid_ric 0.034133, valid_ricir 0.328279, test_loss 0.001696, ic -0.053322, icir -0.468282, ric 0.005260, ricir 0.043017, prec@10 0.399177, prec@30 0.437586 
Epoch 3, train_loss 0.006085, train_ic -0.051951, train_icir -0.396970, train_ric 0.014859, train_ricir 0.097884, valid_loss 0.0011839187 , valid_ic -0.041058, valid_icir -0.473203, valid_ric 0.023954, valid_ricir 0.248317, test_loss 0.001625, ic -0.054976, icir -0.541279, ric -0.001708, ricir -0.015246, prec@10 0.429218, prec@30 0.452538 
Epoch 4, train_loss 0.005781, train_ic -0.052576, train_icir -0.404212, train_ric 0.006895, train_ricir 0.045202, valid_loss 0.0023018804 , valid_ic -0.044586, valid_icir -0.530275, valid_ric 0.018523, valid_ricir 0.191173, test_loss 0.002709, ic -0.054672, icir -0.575946, ric -0.005670, ricir -0.051015, prec@10 0.433745, prec@30 0.447874 
Epoch 5, train_loss 0.005612, train_ic -0.054655, train_icir -0.413357, train_ric 0.016911, train_ricir 0.108754, valid_loss 0.0011072015 , valid_ic -0.043731, valid_icir -0.503023, valid_ric 0.028492, valid_ricir 0.279892, test_loss 0.001579, ic -0.054468, icir -0.561967, ric 0.001179, ricir 0.009956, prec@10 0.445679, prec@30 0.455830 
Epoch 6, train_loss 0.005469, train_ic -0.052606, train_icir -0.410788, train_ric 0.006057, train_ricir 0.039767, valid_loss 0.0015510399 , valid_ic -0.044535, valid_icir -0.559703, valid_ric 0.019007, valid_ricir 0.197910, test_loss 0.002083, ic -0.049119, icir -0.597096, ric -0.005596, ricir -0.051046, prec@10 0.513169, prec@30 0.498491 
Epoch 7, train_loss 0.005366, train_ic -0.051816, train_icir -0.399521, train_ric 0.015980, train_ricir 0.105178, valid_loss 0.0010519225 , valid_ic -0.042149, valid_icir -0.523499, valid_ric 0.024858, valid_ricir 0.259546, test_loss 0.001616, ic -0.047374, icir -0.564536, ric -0.000992, ricir -0.008920, prec@10 0.555144, prec@30 0.523045 
Epoch 8, train_loss 0.005233, train_ic -0.048260, train_icir -0.378210, train_ric 0.003572, train_ricir 0.023720, valid_loss 0.0012446104 , valid_ic -0.042215, valid_icir -0.552042, valid_ric 0.014826, valid_ricir 0.160363, test_loss 0.001828, ic -0.043530, icir -0.557418, ric -0.007519, ricir -0.069355, prec@10 0.465021, prec@30 0.462414 
Epoch 9, train_loss 0.005204, train_ic -0.053267, train_icir -0.403165, train_ric 0.015359, train_ricir 0.099614, valid_loss 0.0023052707 , valid_ic -0.041669, valid_icir -0.508332, valid_ric 0.025897, valid_ricir 0.269938, test_loss 0.002911, ic -0.045224, icir -0.531948, ric -0.000071, ricir -0.000632, prec@10 0.430864, prec@30 0.437311 
Epoch 10, train_loss 0.004988, train_ic -0.048124, train_icir -0.379707, train_ric 0.004385, train_ricir 0.029339, valid_loss 0.0010609604 , valid_ic -0.041752, valid_icir -0.540991, valid_ric 0.016794, valid_ricir 0.182022, test_loss 0.001589, ic -0.041386, icir -0.529293, ric -0.006685, ricir -0.062255, prec@10 0.425103, prec@30 0.418381 
Epoch 11, train_loss 0.005054, train_ic -0.043912, train_icir -0.343786, train_ric -0.000422, train_ricir -0.002814, valid_loss 0.0010022506 , valid_ic -0.039494, valid_icir -0.532490, valid_ric 0.009992, valid_ricir 0.111787, test_loss 0.001462, ic -0.040185, icir -0.507629, ric -0.009662, ricir -0.088909, prec@10 0.447737, prec@30 0.445130 
Epoch 12, train_loss 0.004977, train_ic -0.044407, train_icir -0.357706, train_ric 0.010382, train_ricir 0.071081, valid_loss 0.0011751126 , valid_ic -0.038365, valid_icir -0.496253, valid_ric 0.020250, valid_ricir 0.223468, test_loss 0.001552, ic -0.041592, icir -0.519105, ric -0.003962, ricir -0.037437, prec@10 0.432922, prec@30 0.425652 
Epoch 13, train_loss 0.004852, train_ic -0.040092, train_icir -0.326304, train_ric 0.011442, train_ricir 0.079301, valid_loss 0.0009033597 , valid_ic -0.033894, valid_icir -0.480531, valid_ric 0.018730, valid_ricir 0.210769, test_loss 0.001317, ic -0.036942, icir -0.511795, ric -0.003593, ricir -0.033736, prec@10 0.482716, prec@30 0.455556 
Epoch 14, train_loss 0.004799, train_ic -0.042994, train_icir -0.338606, train_ric 0.008384, train_ricir 0.056879, valid_loss 0.0014711575 , valid_ic -0.037294, valid_icir -0.491743, valid_ric 0.015667, valid_ricir 0.177427, test_loss 0.001764, ic -0.047022, icir -0.526750, ric -0.006097, ricir -0.055509, prec@10 0.436214, prec@30 0.443896 
Epoch 15, train_loss 0.004824, train_ic -0.036194, train_icir -0.298083, train_ric 0.011332, train_ricir 0.079795, valid_loss 0.0010654665 , valid_ic -0.029208, valid_icir -0.387759, valid_ric 0.017324, valid_ricir 0.193210, test_loss 0.001352, ic -0.036456, icir -0.432246, ric -0.004733, ricir -0.042674, prec@10 0.457613, prec@30 0.455693 
Epoch 16, train_loss 0.004659, train_ic -0.035135, train_icir -0.278612, train_ric 0.029617, train_ricir 0.201325, valid_loss 0.0009200350 , valid_ic -0.025280, valid_icir -0.323383, valid_ric 0.031679, valid_ricir 0.327226, test_loss 0.001297, ic -0.032987, icir -0.398251, ric 0.004548, ricir 0.040188, prec@10 0.511111, prec@30 0.496982 
Epoch 17, train_loss 0.004621, train_ic -0.037656, train_icir -0.311388, train_ric 0.006286, train_ricir 0.043574, valid_loss 0.0008372690 , valid_ic -0.030443, valid_icir -0.470801, valid_ric 0.013966, valid_ricir 0.160043, test_loss 0.001175, ic -0.033863, icir -0.463854, ric -0.008068, ricir -0.074086, prec@10 0.538683, prec@30 0.544033 
Epoch 18, train_loss 0.004592, train_ic -0.028820, train_icir -0.260930, train_ric 0.022581, train_ricir 0.159617, valid_loss 0.0010061609 , valid_ic -0.023413, valid_icir -0.403715, valid_ric 0.023208, valid_ricir 0.250674, test_loss 0.001477, ic -0.029274, icir -0.472702, ric -0.001205, ricir -0.010588, prec@10 0.631687, prec@30 0.589163 
Epoch 19, train_loss 0.004580, train_ic -0.023660, train_icir -0.193429, train_ric -0.001393, train_ricir -0.009787, valid_loss 0.0011594410 , valid_ic -0.023702, valid_icir -0.366201, valid_ric -0.000434, valid_ricir -0.005045, test_loss 0.001460, ic -0.027149, icir -0.342482, ric -0.012726, ricir -0.107944, prec@10 0.576132, prec@30 0.521125 
Epoch 20, train_loss 0.004472, train_ic -0.027318, train_icir -0.216114, train_ric -0.008198, train_ricir -0.054830, valid_loss 0.0008219448 , valid_ic -0.027419, valid_icir -0.442885, valid_ric -0.004250, valid_ricir -0.048504, test_loss 0.001124, ic -0.029370, icir -0.372415, ric -0.016603, ricir -0.142843, prec@10 0.592181, prec@30 0.548422 
Epoch 21, train_loss 0.004368, train_ic -0.042572, train_icir -0.332817, train_ric 0.019071, train_ricir 0.125580, valid_loss 0.0022452964 , valid_ic -0.023928, valid_icir -0.297685, valid_ric 0.029009, valid_ricir 0.299259, test_loss 0.002523, ic -0.031239, icir -0.365867, ric 0.004495, ricir 0.038238, prec@10 0.486420, prec@30 0.472977 
Epoch 22, train_loss 0.004357, train_ic -0.027369, train_icir -0.229369, train_ric 0.027280, train_ricir 0.187870, valid_loss 0.0009661362 , valid_ic -0.017924, valid_icir -0.254059, valid_ric 0.033861, valid_ricir 0.361843, test_loss 0.001238, ic -0.029130, icir -0.382427, ric 0.005580, ricir 0.050736, prec@10 0.618930, prec@30 0.562003 
Epoch 23, train_loss 0.004454, train_ic -0.008851, train_icir -0.074783, train_ric 0.002780, train_ricir 0.019486, valid_loss 0.0019636946 , valid_ic -0.017183, valid_icir -0.230541, valid_ric -0.002608, valid_ricir -0.026655, test_loss 0.002231, ic -0.026143, icir -0.269305, ric -0.012932, ricir -0.090882, prec@10 0.594650, prec@30 0.595199 
Epoch 24, train_loss 0.004293, train_ic -0.012317, train_icir -0.107372, train_ric 0.021785, train_ricir 0.163813, valid_loss 0.0008250854 , valid_ic -0.013831, valid_icir -0.188723, valid_ric 0.015187, valid_ricir 0.161479, test_loss 0.001098, ic -0.023651, icir -0.273366, ric -0.000928, ricir -0.007492, prec@10 0.586831, prec@30 0.550754 
Epoch 25, train_loss 0.004266, train_ic -0.020536, train_icir -0.190549, train_ric 0.009819, train_ricir 0.074551, valid_loss 0.0007907244 , valid_ic -0.018227, valid_icir -0.293937, valid_ric 0.010840, valid_ricir 0.129733, test_loss 0.001045, ic -0.023575, icir -0.334515, ric -0.006642, ricir -0.062009, prec@10 0.526749, prec@30 0.517695 
Epoch 26, train_loss 0.004232, train_ic -0.013451, train_icir -0.121884, train_ric 0.018930, train_ricir 0.142939, valid_loss 0.0008638746 , valid_ic -0.014435, valid_icir -0.208440, valid_ric 0.014754, valid_ricir 0.158676, test_loss 0.001124, ic -0.023863, icir -0.300937, ric -0.003375, ricir -0.027992, prec@10 0.623045, prec@30 0.581893 
Epoch 27, train_loss 0.004197, train_ic -0.012665, train_icir -0.103762, train_ric -0.006004, train_ricir -0.041625, valid_loss 0.0008033413 , valid_ic -0.019790, valid_icir -0.312434, valid_ric -0.009274, valid_ricir -0.103994, test_loss 0.001071, ic -0.021671, icir -0.269460, ric -0.016093, ricir -0.129924, prec@10 0.616872, prec@30 0.564883 
Epoch 28, train_loss 0.004161, train_ic -0.001823, train_icir -0.015665, train_ric -0.007138, train_ricir -0.047231, valid_loss 0.0015111224 , valid_ic -0.015722, valid_icir -0.242645, valid_ric -0.014278, valid_ricir -0.143918, test_loss 0.001799, ic -0.020977, icir -0.262672, ric -0.017972, ricir -0.125271, prec@10 0.641975, prec@30 0.592318 
Epoch 29, train_loss 0.004101, train_ic -0.014700, train_icir -0.139992, train_ric 0.018272, train_ricir 0.142720, valid_loss 0.0008673331 , valid_ic -0.012551, valid_icir -0.207891, valid_ric 0.015582, valid_ricir 0.191980, test_loss 0.001119, ic -0.019934, icir -0.298646, ric -0.002749, ricir -0.027059, prec@10 0.582716, prec@30 0.545130 
Epoch 30, train_loss 0.004146, train_ic -0.023430, train_icir -0.212630, train_ric 0.006195, train_ricir 0.045569, valid_loss 0.0012060175 , valid_ic -0.015566, valid_icir -0.301025, valid_ric 0.009949, valid_ricir 0.123660, test_loss 0.001484, ic -0.020452, icir -0.352424, ric -0.007413, ricir -0.076517, prec@10 0.623868, prec@30 0.571605 
Epoch 31, train_loss 0.004062, train_ic -0.001899, train_icir -0.016585, train_ric 0.010202, train_ricir 0.074197, valid_loss 0.0010761548 , valid_ic -0.013885, valid_icir -0.179681, valid_ric -0.000719, valid_ricir -0.007258, test_loss 0.001325, ic -0.023541, icir -0.232592, ric -0.010092, ricir -0.070690, prec@10 0.560082, prec@30 0.570508 
Epoch 32, train_loss 0.004029, train_ic 0.001798, train_icir 0.016572, train_ric 0.009947, train_ricir 0.075885, valid_loss 0.0010976100 , valid_ic -0.010096, valid_icir -0.151136, valid_ric 0.001764, valid_ricir 0.019332, test_loss 0.001339, ic -0.016888, icir -0.210702, ric -0.008240, ricir -0.066366, prec@10 0.611934, prec@30 0.579835 
Epoch 33, train_loss 0.004001, train_ic -0.002159, train_icir -0.021947, train_ric -0.016030, train_ricir -0.111473, valid_loss 0.0008767259 , valid_ic 0.001395, valid_icir 0.024920, valid_ric -0.018155, valid_ricir -0.207451, test_loss 0.001141, ic 0.007411, icir 0.128035, ric -0.016421, ricir -0.154525, prec@10 0.463374, prec@30 0.463100 
Epoch 34, train_loss 0.003993, train_ic -0.006810, train_icir -0.080475, train_ric 0.012762, train_ricir 0.100321, valid_loss 0.0011454818 , valid_ic 0.000495, valid_icir 0.010409, valid_ric 0.015026, valid_ricir 0.192893, test_loss 0.001400, ic -0.000648, icir -0.013019, ric -0.000573, ricir -0.006198, prec@10 0.498354, prec@30 0.493553 
Epoch 35, train_loss 0.003982, train_ic 0.008010, train_icir 0.066491, train_ric -0.009707, train_ricir -0.062250, valid_loss 0.0022510065 , valid_ic -0.012436, valid_icir -0.181988, valid_ric -0.021468, valid_ricir -0.207422, test_loss 0.002492, ic -0.017077, icir -0.197295, ric -0.018807, ricir -0.125400, prec@10 0.605761, prec@30 0.586694 
Epoch 36, train_loss 0.003934, train_ic 0.009053, train_icir 0.082212, train_ric 0.013719, train_ricir 0.104785, valid_loss 0.0014767094 , valid_ic -0.011230, valid_icir -0.170928, valid_ric -0.000653, valid_ricir -0.007029, test_loss 0.001731, ic -0.016793, icir -0.206294, ric -0.006727, ricir -0.051456, prec@10 0.631276, prec@30 0.582305 
