Dataset:  NASDAQ
Radom seed: 1234
GPU: 7
Learning rate: 1e-05
Loss: MaskedMSELoss

---------- Marketformer ----------
{
    "epochs": 200,
    "lookback_length": 16,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "NASDAQ",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 20
    },
    "early_stop": 30,
    "runner": "basic2",
    "loss": "mse",
    "model_args": {
        "d_feat": 5,
        "seq_len": 16,
        "pred_len": 1,
        "n_node": 1026,
        "d_emb": 8,
        "d_model": 64,
        "dff": 256,
        "nheads": 2,
        "num_layers": 2,
        "alpha": 1,
        "dropout": 0.1
    }
}
Epoch 1, train_loss 0.105807, train_ic 0.018025, train_icir 0.202406, train_ric 0.022538, train_ricir 0.246475, valid_loss 0.0030474653 , valid_ic 0.014950, valid_icir 0.150152, valid_ric 0.019278, valid_ricir 0.177973, test_loss 0.003187, ic 0.035643, icir 0.402750, ric 0.046256, ricir 0.494354, prec@10 0.448945, prec@30 0.442475 
Epoch 2, train_loss 0.037877, train_ic 0.019163, train_icir 0.209735, train_ric 0.021447, train_ricir 0.230730, valid_loss 0.0030593771 , valid_ic 0.014389, valid_icir 0.145933, valid_ric 0.016847, valid_ricir 0.155459, test_loss 0.002289, ic 0.030545, icir 0.337922, ric 0.044974, ricir 0.461568, prec@10 0.593249, prec@30 0.590295 
Epoch 3, train_loss 0.028053, train_ic 0.024338, train_icir 0.255849, train_ric 0.025210, train_ricir 0.250474, valid_loss 0.0030541440 , valid_ic 0.019065, valid_icir 0.185189, valid_ric 0.019776, valid_ricir 0.170391, test_loss 0.002266, ic 0.028230, icir 0.302037, ric 0.043252, ricir 0.418151, prec@10 0.677637, prec@30 0.668495 
Epoch 4, train_loss 0.021090, train_ic 0.009896, train_icir 0.103588, train_ric 0.017342, train_ricir 0.183338, valid_loss 0.0027084740 , valid_ic 0.009447, valid_icir 0.090158, valid_ric 0.013269, valid_ricir 0.118978, test_loss 0.002277, ic 0.024688, icir 0.257029, ric 0.042282, ricir 0.403642, prec@10 0.287342, prec@30 0.289311 
Epoch 5, train_loss 0.016336, train_ic 0.009967, train_icir 0.103438, train_ric 0.018397, train_ricir 0.190032, valid_loss 0.0021964742 , valid_ic 0.009767, valid_icir 0.092382, valid_ric 0.013632, valid_ricir 0.120009, test_loss 0.001674, ic 0.023562, icir 0.241284, ric 0.041514, ricir 0.386000, prec@10 0.422785, prec@30 0.427004 
Epoch 6, train_loss 0.012645, train_ic 0.025221, train_icir 0.255389, train_ric 0.027933, train_ricir 0.269209, valid_loss 0.0020897478 , valid_ic 0.019371, valid_icir 0.180415, valid_ric 0.019468, valid_ricir 0.160824, test_loss 0.001559, ic 0.023764, icir 0.241458, ric 0.039209, ricir 0.354134, prec@10 0.613924, prec@30 0.598031 
Epoch 7, train_loss 0.009820, train_ic 0.021280, train_icir 0.212825, train_ric 0.027387, train_ricir 0.263960, valid_loss 0.0018553098 , valid_ic 0.017457, valid_icir 0.160955, valid_ric 0.019405, valid_ricir 0.160056, test_loss 0.001374, ic 0.024152, icir 0.238127, ric 0.039308, ricir 0.347836, prec@10 0.548523, prec@30 0.547398 
Epoch 8, train_loss 0.007777, train_ic 0.028668, train_icir 0.293529, train_ric 0.030998, train_ricir 0.301087, valid_loss 0.0017137977 , valid_ic 0.021277, valid_icir 0.194673, valid_ric 0.020749, valid_ricir 0.169258, test_loss 0.001382, ic 0.022497, icir 0.227795, ric 0.038086, ricir 0.338505, prec@10 0.474262, prec@30 0.462447 
Epoch 9, train_loss 0.006097, train_ic 0.002438, train_icir 0.027042, train_ric 0.016835, train_ricir 0.180060, valid_loss 0.0018736642 , valid_ic 0.003926, valid_icir 0.037071, valid_ric 0.011508, valid_ricir 0.102442, test_loss 0.001560, ic 0.017161, icir 0.178327, ric 0.038277, ricir 0.337029, prec@10 0.288608, prec@30 0.301266 
Epoch 10, train_loss 0.004983, train_ic 0.030983, train_icir 0.321689, train_ric 0.033288, train_ricir 0.322357, valid_loss 0.0014664198 , valid_ic 0.023981, valid_icir 0.214619, valid_ric 0.023236, valid_ricir 0.186644, test_loss 0.001184, ic 0.020176, icir 0.206371, ric 0.036727, ricir 0.317385, prec@10 0.524895, prec@30 0.513221 
Epoch 11, train_loss 0.004040, train_ic 0.013474, train_icir 0.139500, train_ric 0.022426, train_ricir 0.227758, valid_loss 0.0015872412 , valid_ic 0.011374, valid_icir 0.104982, valid_ric 0.015030, valid_ricir 0.128758, test_loss 0.001241, ic 0.018043, icir 0.176225, ric 0.036940, ricir 0.314179, prec@10 0.251055, prec@30 0.256681 
