Dataset:  CSI
Radom seed: 1234
GPU: 7
Learning rate: 0.001
Loss: MaskedMSELoss

---------- Transformer ----------
{
    "epochs": 200,
    "lookback_length": 16,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "CSI",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 20,
        "valid_year": 2019,
        "test_year": 2020,
        "window": 16,
        "steps": 1
    },
    "early_stop": 20,
    "runner": "csi",
    "loss": "mse",
    "model_args": {
        "d_feat": 1,
        "d_model": 64,
        "num_layers": 2,
        "nhead": 2,
        "dropout": 0.1
    }
}
Epoch 1, train_loss 0.102597, train_ic -0.001216, train_icir -0.013950, train_ric 0.021603, train_ricir 0.182028, valid_loss 0.0275505648 , valid_ic -0.009342, valid_icir -0.145756, valid_ric 0.019146, valid_ricir 0.255837, test_loss 0.052956, ic -0.018158, icir -0.182058, ric 0.006018, ricir 0.068411, prec@10 0.462963, prec@30 0.479012 
Epoch 2, train_loss 0.022635, train_ic -0.001297, train_icir -0.015468, train_ric 0.013389, train_ricir 0.142204, valid_loss 0.0159702436 , valid_ic -0.014881, valid_icir -0.232081, valid_ric 0.004861, valid_ricir 0.070401, test_loss 0.033835, ic -0.023862, icir -0.247259, ric -0.005745, ricir -0.058545, prec@10 0.613992, prec@30 0.582305 
Epoch 3, train_loss 0.013132, train_ic -0.007383, train_icir -0.089111, train_ric -0.010453, train_ricir -0.091915, valid_loss 0.0142843543 , valid_ic -0.001069, valid_icir -0.019916, valid_ric -0.001542, valid_ricir -0.018178, test_loss 0.027164, ic -0.002090, icir -0.034393, ric -0.002602, ricir -0.027238, prec@10 0.490123, prec@30 0.499588 
Epoch 4, train_loss 0.009283, train_ic -0.008684, train_icir -0.099576, train_ric -0.010994, train_ricir -0.085112, valid_loss 0.0100770602 , valid_ic -0.000287, valid_icir -0.005331, valid_ric 0.001542, valid_ricir 0.016188, test_loss 0.020870, ic -0.000930, icir -0.016011, ric -0.000999, ricir -0.008886, prec@10 0.490947, prec@30 0.504527 
Epoch 5, train_loss 0.007284, train_ic -0.004266, train_icir -0.047665, train_ric 0.018351, train_ricir 0.167143, valid_loss 0.0068206387 , valid_ic -0.003851, valid_icir -0.074139, valid_ric 0.013940, valid_ricir 0.216538, test_loss 0.015409, ic -0.008896, icir -0.117852, ric 0.003662, ricir 0.047418, prec@10 0.415638, prec@30 0.462414 
Epoch 6, train_loss 0.005889, train_ic -0.012172, train_icir -0.149396, train_ric 0.000211, train_ricir 0.001997, valid_loss 0.0048250128 , valid_ic -0.004460, valid_icir -0.100406, valid_ric 0.009863, valid_ricir 0.127475, test_loss 0.010952, ic -0.010421, icir -0.183598, ric 0.003747, ricir 0.040045, prec@10 0.456790, prec@30 0.488203 
Epoch 7, train_loss 0.004908, train_ic -0.007629, train_icir -0.097524, train_ric -0.002403, train_ricir -0.026379, valid_loss 0.0055390691 , valid_ic -0.000814, valid_icir -0.017229, valid_ric 0.003095, valid_ricir 0.047389, test_loss 0.011574, ic -0.003993, icir -0.064079, ric 0.000010, ricir 0.000135, prec@10 0.445679, prec@30 0.477229 
Epoch 8, train_loss 0.004407, train_ic -0.007765, train_icir -0.104918, train_ric 0.004937, train_ricir 0.051637, valid_loss 0.0045887605 , valid_ic -0.000149, valid_icir -0.003287, valid_ric 0.009690, valid_ricir 0.162853, test_loss 0.010140, ic -0.002233, icir -0.039702, ric 0.002320, ricir 0.033692, prec@10 0.434568, prec@30 0.474897 
Epoch 9, train_loss 0.003981, train_ic -0.009311, train_icir -0.105428, train_ric -0.008726, train_ricir -0.065834, valid_loss 0.0060141012 , valid_ic 0.003513, valid_icir 0.058734, valid_ric 0.006053, valid_ricir 0.060922, test_loss 0.011174, ic 0.004714, icir 0.080621, ric 0.004641, ricir 0.035773, prec@10 0.490535, prec@30 0.505898 
Epoch 10, train_loss 0.003761, train_ic -0.005572, train_icir -0.074522, train_ric 0.002397, train_ricir 0.027563, valid_loss 0.0051324207 , valid_ic 0.000968, valid_icir 0.021029, valid_ric 0.004751, valid_ricir 0.082993, test_loss 0.009845, ic -0.001297, icir -0.022989, ric 0.000945, ricir 0.014182, prec@10 0.443621, prec@30 0.484774 
Epoch 11, train_loss 0.003580, train_ic -0.003447, train_icir -0.041455, train_ric 0.004380, train_ricir 0.050458, valid_loss 0.0033907387 , valid_ic -0.004903, valid_icir -0.090783, valid_ric 0.006542, valid_ricir 0.119695, test_loss 0.008036, ic -0.010615, icir -0.134942, ric -0.000874, ricir -0.012237, prec@10 0.446502, prec@30 0.471742 
Epoch 12, train_loss 0.003600, train_ic -0.001700, train_icir -0.019949, train_ric 0.014516, train_ricir 0.149167, valid_loss 0.0039004341 , valid_ic -0.004621, valid_icir -0.085067, valid_ric 0.008543, valid_ricir 0.131567, test_loss 0.008441, ic -0.010612, icir -0.138747, ric 0.000604, ricir 0.006623, prec@10 0.506996, prec@30 0.519616 
Epoch 13, train_loss 0.003669, train_ic -0.006640, train_icir -0.089928, train_ric -0.003441, train_ricir -0.039969, valid_loss 0.0056535852 , valid_ic 0.003284, valid_icir 0.068202, valid_ric 0.001029, valid_ricir 0.017188, test_loss 0.010974, ic 0.001376, icir 0.024523, ric -0.001666, ricir -0.024293, prec@10 0.444444, prec@30 0.477366 
Epoch 14, train_loss 0.003031, train_ic -0.010807, train_icir -0.147756, train_ric -0.009370, train_ricir -0.096357, valid_loss 0.0028020678 , valid_ic -0.007235, valid_icir -0.205510, valid_ric -0.000085, valid_ricir -0.001196, test_loss 0.005954, ic -0.011233, icir -0.220813, ric -0.005381, ricir -0.067394, prec@10 0.471605, prec@30 0.481619 
