Dataset:  CSI
Radom seed: 1234
GPU: 7
Learning rate: 0.001
Loss: MaskedMSELoss

---------- Transformer ----------
{
    "epochs": 200,
    "lookback_length": 16,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "CSI",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 4,
        "valid_year": 2019,
        "test_year": 2020,
        "window": 8,
        "steps": 1
    },
    "early_stop": 20,
    "runner": "csi",
    "loss": "mse",
    "model_args": {
        "d_feat": 1,
        "d_model": 64,
        "num_layers": 2,
        "nhead": 2,
        "dropout": 0.1
    }
}
Epoch 1, train_loss 0.098658, train_ic -0.004076, train_icir -0.045853, train_ric 0.010718, train_ricir 0.101078, train_mae 0.065457, train_rmse 0.136177, train_mape 967.013733, train_acc 0.534315, valid_loss 0.0215152095, valid_ic -0.009316, valid_icir -0.141279, valid_ric 0.005785, valid_ricir 0.096937, valid_mae 0.081525, valid_rmse 0.169960, valid_mape 1716.151855, valid_acc 0.442697, test_loss 0.046506, ic -0.016215, icir -0.158889, ric -0.000807, ricir -0.009434, prec@10 0.403704, prec@30 0.455144, test_mae 0.123062, test_rmse 0.237994, test_mape 2610.810547, test_acc 0.343780
Epoch 2, train_loss 0.018640, train_ic -0.017988, train_icir -0.212597, train_ric 0.000234, train_ricir 0.002189, train_mae 0.060041, train_rmse 0.098496, train_mape 1081.174194, train_acc 0.459383, valid_loss 0.0132237056, valid_ic -0.014831, valid_icir -0.244254, valid_ric 0.000706, valid_ricir 0.011472, valid_mae 0.073654, valid_rmse 0.127233, valid_mape 1623.890503, valid_acc 0.567164, test_loss 0.028094, ic -0.020753, icir -0.215785, ric -0.006310, ricir -0.079290, prec@10 0.410288, prec@30 0.444582, test_mae 0.094739, test_rmse 0.185347, test_mape 2131.470703, test_acc 0.668853
Epoch 3, train_loss 0.011443, train_ic 0.000136, train_icir 0.001787, train_ric 0.015542, train_ricir 0.149645, train_mae 0.035594, train_rmse 0.079076, train_mape 627.930664, train_acc 0.420395, valid_loss 0.0084485520, valid_ic -0.004205, valid_icir -0.086352, valid_ric 0.009803, valid_ricir 0.159026, valid_mae 0.044407, valid_rmse 0.106172, valid_mape 808.009155, valid_acc 0.500800, test_loss 0.020549, ic -0.008143, icir -0.108087, ric 0.002016, ricir 0.028465, prec@10 0.429630, prec@30 0.470645, test_mae 0.071604, test_rmse 0.163937, test_mape 1534.149780, test_acc 0.523567
Epoch 4, train_loss 0.008256, train_ic 0.004106, train_icir 0.038887, train_ric 0.022657, train_ricir 0.185173, train_mae 0.080521, train_rmse 0.114287, train_mape 1745.444702, train_acc 0.365119, valid_loss 0.0120534067, valid_ic -0.007753, valid_icir -0.101188, valid_ric 0.010295, valid_ricir 0.120553, valid_mae 0.080364, valid_rmse 0.124302, valid_mape 1686.568481, valid_acc 0.381397, test_loss 0.023648, ic -0.015766, icir -0.146439, ric 0.001781, ricir 0.014700, prec@10 0.458848, prec@30 0.500412, test_mae 0.110512, test_rmse 0.175383, test_mape 2208.570312, test_acc 0.249757
Epoch 5, train_loss 0.007351, train_ic -0.033231, train_icir -0.359402, train_ric 0.022809, train_ricir 0.180968, train_mae 0.076472, train_rmse 0.092931, train_mape 1912.144653, train_acc 0.471014, valid_loss 0.0101841513, valid_ic -0.014947, valid_icir -0.249775, valid_ric 0.020243, valid_ricir 0.245619, valid_mae 0.078667, valid_rmse 0.103743, valid_mape 1685.733398, valid_acc 0.584222, test_loss 0.017415, ic -0.019573, icir -0.227680, ric 0.004900, ricir 0.047549, prec@10 0.394650, prec@30 0.456241, test_mae 0.088848, test_rmse 0.142418, test_mape 1913.730591, test_acc 0.705296
Epoch 6, train_loss 0.006663, train_ic -0.032081, train_icir -0.395237, train_ric -0.000275, train_ricir -0.002497, train_mae 0.062857, train_rmse 0.202354, train_mape 481.799835, train_acc 0.299677, valid_loss 0.0057178036, valid_ic -0.014394, valid_icir -0.288278, valid_ric 0.006607, valid_ricir 0.103836, valid_mae 0.050574, valid_rmse 0.080350, valid_mape 1093.237061, valid_acc 0.582623, test_loss 0.012038, ic -0.017299, icir -0.225485, ric -0.002498, ricir -0.032653, prec@10 0.425103, prec@30 0.459122, test_mae 0.059870, test_rmse 0.123418, test_mape 1433.085083, test_acc 0.694606
Epoch 7, train_loss 0.006358, train_ic -0.017190, train_icir -0.171972, train_ric 0.016303, train_ricir 0.124738, train_mae 0.043564, train_rmse 0.061233, train_mape 484.927185, train_acc 0.813414, valid_loss 0.0066071615, valid_ic -0.016047, valid_icir -0.235223, valid_ric 0.008209, valid_ricir 0.086801, valid_mae 0.057245, valid_rmse 0.083399, valid_mape 1164.615723, valid_acc 0.575160, test_loss 0.012136, ic -0.021941, icir -0.239353, ric -0.002792, ricir -0.021474, prec@10 0.442387, prec@30 0.476132, test_mae 0.066853, test_rmse 0.122080, test_mape 1486.635254, test_acc 0.677843
Epoch 8, train_loss 0.004933, train_ic -0.011799, train_icir -0.137718, train_ric 0.006872, train_ricir 0.069353, train_mae 0.041512, train_rmse 0.059158, train_mape 858.222595, train_acc 0.444853, valid_loss 0.0053488262, valid_ic -0.008045, valid_icir -0.149169, valid_ric 0.006749, valid_ricir 0.112983, valid_mae 0.045788, valid_rmse 0.079085, valid_mape 943.695068, valid_acc 0.543710, test_loss 0.011543, ic -0.012327, icir -0.152841, ric -0.001839, ricir -0.023621, prec@10 0.423457, prec@30 0.452401, test_mae 0.060992, test_rmse 0.122674, test_mape 1344.687134, test_acc 0.600826
Epoch 9, train_loss 0.005010, train_ic -0.013641, train_icir -0.157064, train_ric 0.013239, train_ricir 0.128328, train_mae 0.046525, train_rmse 0.058737, train_mape 671.431152, train_acc 0.716737, valid_loss 0.0055320015, valid_ic -0.008660, valid_icir -0.160949, valid_ric 0.011550, valid_ricir 0.182093, valid_mae 0.052573, valid_rmse 0.076961, valid_mape 1097.505859, valid_acc 0.553305, test_loss 0.010365, ic -0.012682, icir -0.163787, ric 0.002831, ricir 0.033280, prec@10 0.414815, prec@30 0.465295, test_mae 0.062283, test_rmse 0.114430, test_mape 1351.648071, test_acc 0.628766
Epoch 10, train_loss 0.004356, train_ic -0.013554, train_icir -0.121889, train_ric 0.018854, train_ricir 0.142509, train_mae 0.070823, train_rmse 0.083019, train_mape 2171.148682, train_acc 0.515887, valid_loss 0.0097412992, valid_ic -0.013019, valid_icir -0.165294, valid_ric 0.009992, valid_ricir 0.102728, valid_mae 0.080037, valid_rmse 0.098896, valid_mape 1673.820068, valid_acc 0.571962, test_loss 0.014121, ic -0.020689, icir -0.193985, ric 0.000306, ricir 0.002267, prec@10 0.432099, prec@30 0.476680, test_mae 0.087964, test_rmse 0.127698, test_mape 1753.709595, test_acc 0.630466
Epoch 11, train_loss 0.004644, train_ic -0.023739, train_icir -0.276891, train_ric 0.009133, train_ricir 0.088038, train_mae 0.073956, train_rmse 0.081990, train_mape 2098.024658, train_acc 0.606603, valid_loss 0.0103095857, valid_ic -0.005324, valid_icir -0.112080, valid_ric 0.009904, valid_ricir 0.164774, valid_mae 0.081389, valid_rmse 0.100591, valid_mape 1734.127441, valid_acc 0.574360, test_loss 0.014495, ic -0.006928, icir -0.110086, ric 0.002710, ricir 0.033861, prec@10 0.409053, prec@30 0.460082, test_mae 0.084017, test_rmse 0.125413, test_mape 1674.921753, test_acc 0.702138
