Dataset:  CSI
Radom seed: 1234
GPU: 7
Learning rate: 0.001
Loss: MaskedMSELoss

---------- Transformer ----------
{
    "epochs": 200,
    "lookback_length": 16,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "CSI",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 4,
        "valid_year": 2022,
        "test_year": 2023,
        "window": 8,
        "steps": 1
    },
    "early_stop": 20,
    "runner": "csi",
    "loss": "mse",
    "model_args": {
        "d_feat": 1,
        "d_model": 64,
        "num_layers": 2,
        "nhead": 2,
        "dropout": 0.1
    }
}
Epoch 1, train_loss 0.076553, train_ic -0.008488, train_icir -0.101476, train_ric -0.003369, train_ricir -0.037354, train_mae 0.105124, train_rmse 0.160134, train_mape 450.784668, train_acc 0.357738, valid_loss 0.0367167144, valid_ic 0.012570, valid_icir 0.126984, valid_ric 0.013866, valid_ricir 0.152456, valid_mae 0.089430, valid_rmse 0.179786, valid_mape 1881.439819, valid_acc 0.512165, test_loss 0.033478, ic 0.020152, icir 0.302532, ric 0.025099, ricir 0.384922, prec@10 0.483058, prec@30 0.474242, test_mae 0.088284, test_rmse 0.173591, test_mape 1767.956909, test_acc 0.454706
Epoch 2, train_loss 0.015388, train_ic -0.015797, train_icir -0.193078, train_ric 0.001151, train_ricir 0.011773, train_mae 0.058421, train_rmse 0.082516, train_mape 1674.657959, train_acc 0.532759, valid_loss 0.0197476497, valid_ic 0.010852, valid_icir 0.110498, valid_ric 0.026664, valid_ricir 0.236240, valid_mae 0.069182, valid_rmse 0.128889, valid_mape 1491.799805, valid_acc 0.657739, test_loss 0.016759, ic 0.015268, icir 0.234210, ric 0.031389, ricir 0.363342, prec@10 0.464876, prec@30 0.457300, test_mae 0.058107, test_rmse 0.113147, test_mape 1367.048950, test_acc 0.756927
Epoch 3, train_loss 0.010005, train_ic -0.014913, train_icir -0.137204, train_ric 0.011387, train_ricir 0.093994, train_mae 0.032567, train_rmse 0.041769, train_mape 744.427063, train_acc 0.571882, valid_loss 0.0153252030, valid_ic 0.014408, valid_icir 0.119415, valid_ric 0.037341, valid_ricir 0.234854, valid_mae 0.062954, valid_rmse 0.115130, valid_mape 1368.844482, valid_acc 0.573707, test_loss 0.013239, ic 0.015949, icir 0.181316, ric 0.038273, ricir 0.296853, prec@10 0.427686, prec@30 0.457025, test_mae 0.067286, test_rmse 0.110164, test_mape 1345.948364, test_acc 0.460994
Epoch 4, train_loss 0.007543, train_ic -0.010589, train_icir -0.135878, train_ric -0.005523, train_ricir -0.055916, train_mae 0.077507, train_rmse 0.086744, train_mape 1644.569214, train_acc 0.355450, valid_loss 0.0152013418, valid_ic 0.006281, valid_icir 0.086893, valid_ric 0.001381, valid_ricir 0.015050, valid_mae 0.076693, valid_rmse 0.110858, valid_mape 1646.415283, valid_acc 0.627070, test_loss 0.013048, ic 0.015561, icir 0.293206, ric 0.014724, ricir 0.181985, prec@10 0.470248, prec@30 0.480992, test_mae 0.071081, test_rmse 0.099561, test_mape 1471.811523, test_acc 0.751425
Epoch 5, train_loss 0.006508, train_ic -0.007125, train_icir -0.067183, train_ric 0.009261, train_ricir 0.086583, train_mae 0.110322, train_rmse 0.115639, train_mape 1005.499817, train_acc 0.176260, valid_loss 0.0162485906, valid_ic 0.014205, valid_icir 0.114522, valid_ric 0.031973, valid_ricir 0.219948, valid_mae 0.086242, valid_rmse 0.115843, valid_mape 1772.659302, valid_acc 0.663055, test_loss 0.013895, ic 0.016534, icir 0.183500, ric 0.036403, ricir 0.312868, prec@10 0.467769, prec@30 0.479339, test_mae 0.082410, test_rmse 0.106613, test_mape 1626.122437, test_acc 0.667911
Epoch 6, train_loss 0.006041, train_ic -0.010886, train_icir -0.141039, train_ric 0.002643, train_ricir 0.026906, train_mae 0.096600, train_rmse 0.104562, train_mape 990.866455, train_acc 0.202858, valid_loss 0.0171469661, valid_ic 0.007982, valid_icir 0.103700, valid_ric 0.008652, valid_ricir 0.096213, valid_mae 0.099167, valid_rmse 0.120330, valid_mape 2146.779785, valid_acc 0.652627, test_loss 0.015207, ic 0.016982, icir 0.312106, ric 0.022378, ricir 0.275831, prec@10 0.457438, prec@30 0.471212, test_mae 0.087377, test_rmse 0.105325, test_mape 1712.714722, test_acc 0.772647
Epoch 7, train_loss 0.005289, train_ic -0.009197, train_icir -0.102094, train_ric 0.005271, train_ricir 0.060871, train_mae 0.056020, train_rmse 0.067433, train_mape 666.244263, train_acc 0.336190, valid_loss 0.0093636564, valid_ic 0.013009, valid_icir 0.128122, valid_ric 0.025108, valid_ricir 0.231813, valid_mae 0.053134, valid_rmse 0.084962, valid_mape 1128.622070, valid_acc 0.635044, test_loss 0.007531, ic 0.019324, icir 0.269446, ric 0.035926, ricir 0.425434, prec@10 0.453719, prec@30 0.471488, test_mae 0.052804, test_rmse 0.078562, test_mape 1074.417236, test_acc 0.625074
Epoch 8, train_loss 0.004712, train_ic -0.006419, train_icir -0.050813, train_ric 0.013639, train_ricir 0.095194, train_mae 0.113828, train_rmse 0.124665, train_mape 58010.468750, train_acc 0.308666, valid_loss 0.0201698106, valid_ic 0.016991, valid_icir 0.116082, valid_ric 0.035431, valid_ricir 0.191177, valid_mae 0.102147, valid_rmse 0.131926, valid_mape 2028.790283, valid_acc 0.634431, test_loss 0.017904, ic 0.012541, icir 0.112392, ric 0.034760, ricir 0.230045, prec@10 0.548347, prec@30 0.551377, test_mae 0.100589, test_rmse 0.128376, test_mape 1839.257080, test_acc 0.541364
Epoch 9, train_loss 0.004690, train_ic -0.002635, train_icir -0.028138, train_ric 0.015004, train_ricir 0.154718, train_mae 0.069507, train_rmse 0.079239, train_mape 37372.257812, train_acc 0.822848, valid_loss 0.0117459051, valid_ic 0.013721, valid_icir 0.130289, valid_ric 0.031146, valid_ricir 0.249538, valid_mae 0.076911, valid_rmse 0.096993, valid_mape 1568.446045, valid_acc 0.666121, test_loss 0.009790, ic 0.019116, icir 0.256128, ric 0.038186, ricir 0.390905, prec@10 0.473554, prec@30 0.489394, test_mae 0.067014, test_rmse 0.084623, test_mape 1329.086060, test_acc 0.762232
Epoch 10, train_loss 0.004077, train_ic -0.005448, train_icir -0.052041, train_ric 0.017949, train_ricir 0.154856, train_mae 0.094643, train_rmse 0.102637, train_mape 1503.027588, train_acc 0.285674, valid_loss 0.0116128735, valid_ic 0.014756, valid_icir 0.128611, valid_ric 0.036464, valid_ricir 0.235290, valid_mae 0.076125, valid_rmse 0.096588, valid_mape 1492.671143, valid_acc 0.664077, test_loss 0.009639, ic 0.017200, icir 0.200479, ric 0.038392, ricir 0.305393, prec@10 0.442149, prec@30 0.464325, test_mae 0.068841, test_rmse 0.085394, test_mape 1283.994141, test_acc 0.696011
Epoch 11, train_loss 0.004066, train_ic -0.006020, train_icir -0.064922, train_ric 0.011976, train_ricir 0.127751, train_mae 0.079016, train_rmse 0.091583, train_mape 843.729004, train_acc 0.760212, valid_loss 0.0124936142, valid_ic 0.012342, valid_icir 0.125180, valid_ric 0.029822, valid_ricir 0.244023, valid_mae 0.085862, valid_rmse 0.100681, valid_mape 1752.454712, valid_acc 0.666326, test_loss 0.010703, ic 0.017558, icir 0.245672, ric 0.038044, ricir 0.395490, prec@10 0.475207, prec@30 0.486088, test_mae 0.075942, test_rmse 0.088554, test_mape 1459.574707, test_acc 0.791904
