Dataset:  CSI
Radom seed: 1234
GPU: 7
Learning rate: 0.001
Loss: MaskedMSELoss

---------- Transformer ----------
{
    "epochs": 200,
    "lookback_length": 16,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "CSI",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 4,
        "valid_year": 2024,
        "test_year": 2025,
        "window": 8,
        "steps": 1
    },
    "early_stop": 20,
    "runner": "csi",
    "loss": "mse",
    "model_args": {
        "d_feat": 1,
        "d_model": 64,
        "num_layers": 2,
        "nhead": 2,
        "dropout": 0.1
    }
}
Epoch 1, train_loss 0.067512, train_ic -0.009183, train_icir -0.091916, train_ric 0.008244, train_ricir 0.058097, train_mae 0.109109, train_rmse 0.127887, train_mape 48682.257812, train_acc 0.224434, valid_loss 0.0345503511, valid_ic 0.003304, valid_icir 0.029870, valid_ric 0.025312, valid_ricir 0.134205, valid_mae 0.147125, valid_rmse 0.188346, valid_mape 1088.656372, valid_acc 0.181356, test_loss 0.038824, ic -0.004965, icir -0.048314, ric 0.012769, ricir 0.082932, prec@10 0.615226, prec@30 0.590672, test_mae 0.141887, test_rmse 0.209471, test_mape 19263.253906, test_acc 0.485891
Epoch 2, train_loss 0.013957, train_ic -0.007747, train_icir -0.092953, train_ric 0.003793, train_ricir 0.042719, train_mae 0.061474, train_rmse 0.112911, train_mape 10579.758789, train_acc 0.548727, valid_loss 0.0117738751, valid_ic 0.004159, valid_icir 0.044413, valid_ric 0.010183, valid_ricir 0.082243, valid_mae 0.078309, valid_rmse 0.115796, valid_mape 572.656677, valid_acc 0.299590, test_loss 0.015578, ic 0.001423, icir 0.016699, ric 0.020096, ricir 0.230597, prec@10 0.459259, prec@30 0.470508, test_mae 0.075040, test_rmse 0.139857, test_mape 13466.102539, test_acc 0.496714
Epoch 3, train_loss 0.010158, train_ic -0.019783, train_icir -0.245701, train_ric -0.004961, train_ricir -0.037349, train_mae 0.067508, train_rmse 0.106547, train_mape 974.478821, train_acc 0.401931, valid_loss 0.0083180791, valid_ic -0.003453, valid_icir -0.047789, valid_ric -0.012225, valid_ricir -0.073960, valid_mae 0.086001, valid_rmse 0.110210, valid_mape 592.479553, valid_acc 0.140121, test_loss 0.011046, ic -0.001166, icir -0.022012, ric 0.007370, ricir 0.067155, prec@10 0.487243, prec@30 0.480796, test_mae 0.069860, test_rmse 0.117463, test_mape 13054.992188, test_acc 0.475068
Epoch 4, train_loss 0.007628, train_ic -0.004452, train_icir -0.041772, train_ric 0.017334, train_ricir 0.146936, train_mae 0.056291, train_rmse 0.095099, train_mape 1669.753784, train_acc 0.578979, valid_loss 0.0095302141, valid_ic 0.011291, valid_icir 0.091931, valid_ric 0.030415, valid_ricir 0.185488, valid_mae 0.052988, valid_rmse 0.089268, valid_mape 507.453674, valid_acc 0.653899, test_loss 0.013284, ic -0.001057, icir -0.009500, ric 0.022352, ricir 0.151189, prec@10 0.473251, prec@30 0.493690, test_mae 0.079572, test_rmse 0.128784, test_mape 2946.202393, test_acc 0.497101
Epoch 5, train_loss 0.005987, train_ic 0.002806, train_icir 0.024399, train_ric 0.017638, train_ricir 0.119357, train_mae 0.093809, train_rmse 0.123749, train_mape 1631.782349, train_acc 0.512295, valid_loss 0.0138054199, valid_ic 0.010945, valid_icir 0.084748, valid_ric 0.028824, valid_ricir 0.149200, valid_mae 0.106308, valid_rmse 0.127518, valid_mape 777.928162, valid_acc 0.270666, test_loss 0.015278, ic -0.002139, icir -0.018058, ric 0.017044, ricir 0.101988, prec@10 0.613992, prec@30 0.584225, test_mae 0.094714, test_rmse 0.132812, test_mape 20766.402344, test_acc 0.490530
Epoch 6, train_loss 0.005190, train_ic -0.001356, train_icir -0.016552, train_ric 0.015153, train_ricir 0.165890, train_mae 0.098300, train_rmse 0.109424, train_mape 2037.459351, train_acc 0.505649, valid_loss 0.0132041881, valid_ic 0.005638, valid_icir 0.062123, valid_ric 0.023083, valid_ricir 0.184596, valid_mae 0.125766, valid_rmse 0.135452, valid_mape 875.763062, valid_acc 0.139535, test_loss 0.013086, ic -0.000305, icir -0.003863, ric 0.022375, ricir 0.202175, prec@10 0.478601, prec@30 0.491770, test_mae 0.097205, test_rmse 0.117345, test_mape 27598.138672, test_acc 0.474101
Epoch 7, train_loss 0.004862, train_ic 0.000044, train_icir 0.000393, train_ric 0.023083, train_ricir 0.170901, train_mae 0.083783, train_rmse 0.108619, train_mape 1834.803223, train_acc 0.414634, valid_loss 0.0101032613, valid_ic 0.012274, valid_icir 0.094812, valid_ric 0.031873, valid_ricir 0.181341, valid_mae 0.091801, valid_rmse 0.110792, valid_mape 682.505554, valid_acc 0.300567, test_loss 0.011656, ic -0.001543, icir -0.013045, ric 0.020665, ricir 0.128359, prec@10 0.476132, prec@30 0.494102, test_mae 0.083889, test_rmse 0.117409, test_mape 18487.164062, test_acc 0.494782
Epoch 8, train_loss 0.005627, train_ic -0.016350, train_icir -0.192622, train_ric 0.006375, train_ricir 0.055870, train_mae 0.101633, train_rmse 0.107131, train_mape 2211.724121, train_acc 0.573729, valid_loss 0.0161947770, valid_ic -0.003289, valid_icir -0.041021, valid_ric 0.003080, valid_ricir 0.022019, valid_mae 0.145120, valid_rmse 0.152842, valid_mape 1032.421265, valid_acc 0.125269, test_loss 0.016789, ic 0.000464, icir 0.009494, ric 0.024154, ricir 0.292771, prec@10 0.480247, prec@30 0.474348, test_mae 0.120518, test_rmse 0.133656, test_mape 33272.886719, test_acc 0.465597
Epoch 9, train_loss 0.004666, train_ic -0.001141, train_icir -0.015259, train_ric 0.005838, train_ricir 0.077474, train_mae 0.076796, train_rmse 0.089468, train_mape 728.383484, train_acc 0.307627, valid_loss 0.0098031529, valid_ic 0.007001, valid_icir 0.089677, valid_ric 0.014544, valid_ricir 0.158550, valid_mae 0.091849, valid_rmse 0.106830, valid_mape 639.510071, valid_acc 0.259332, test_loss 0.009896, ic 0.003933, icir 0.049052, ric 0.022964, ricir 0.284413, prec@10 0.498765, prec@30 0.517284, test_mae 0.075884, test_rmse 0.102112, test_mape 22146.742188, test_acc 0.500387
Epoch 10, train_loss 0.003953, train_ic -0.000124, train_icir -0.001410, train_ric 0.014209, train_ricir 0.161041, train_mae 0.097180, train_rmse 0.102113, train_mape 1933.243042, train_acc 0.763856, valid_loss 0.0132087411, valid_ic 0.010565, valid_icir 0.110115, valid_ric 0.023836, valid_ricir 0.208186, valid_mae 0.122005, valid_rmse 0.132249, valid_mape 829.758240, valid_acc 0.150870, test_loss 0.012329, ic 0.000669, icir 0.007148, ric 0.022588, ricir 0.194366, prec@10 0.483128, prec@30 0.503018, test_mae 0.092574, test_rmse 0.111431, test_mape 29429.613281, test_acc 0.480479
Epoch 11, train_loss 0.003720, train_ic 0.004187, train_icir 0.050623, train_ric 0.011065, train_ricir 0.138809, train_mae 0.077737, train_rmse 0.100215, train_mape 1497.282349, train_acc 0.465734, valid_loss 0.0105010890, valid_ic 0.009742, valid_icir 0.111455, valid_ric 0.018771, valid_ricir 0.185087, valid_mae 0.093553, valid_rmse 0.109209, valid_mape 655.182556, valid_acc 0.244675, test_loss 0.010589, ic 0.003484, icir 0.037735, ric 0.020864, ricir 0.202543, prec@10 0.473251, prec@30 0.486420, test_mae 0.077790, test_rmse 0.104633, test_mape 22113.919922, test_acc 0.496714
