Dataset:  CSI
Radom seed: 1234
GPU: 7
Learning rate: 0.001
Loss: MaskedMSELoss

---------- Transformer ----------
{
    "epochs": 200,
    "lookback_length": 16,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "CSI",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 4,
        "valid_year": 2020,
        "test_year": 2021,
        "window": 16,
        "steps": 1
    },
    "early_stop": 20,
    "runner": "csi",
    "loss": "mse",
    "model_args": {
        "d_feat": 1,
        "d_model": 64,
        "num_layers": 2,
        "nhead": 2,
        "dropout": 0.1
    }
}
Epoch 1, train_loss 0.088911, train_ic 0.000594, train_icir 0.007705, train_ric 0.014162, train_ricir 0.144562, train_mae 0.035685, train_rmse 0.061423, train_mape 320.283234, train_acc 0.630806, valid_loss 0.0424781977, valid_ic -0.013020, valid_icir -0.139290, valid_ric 0.003849, valid_ricir 0.049895, valid_mae 0.109707, valid_rmse 0.227929, valid_mape 1686.139648, valid_acc 0.446720, test_loss 0.053524, ic 0.003874, icir 0.030664, ric 0.015336, ricir 0.183729, prec@10 0.500412, prec@30 0.512894, test_mae 0.124818, test_rmse 0.247902, test_mape 2970.007080, test_acc 0.429978
Epoch 2, train_loss 0.023493, train_ic -0.006037, train_icir -0.077896, train_ric 0.002264, train_ricir 0.021180, train_mae 0.128290, train_rmse 0.154509, train_mape 455.251129, train_acc 0.220478, valid_loss 0.0386386012, valid_ic -0.002600, valid_icir -0.040870, valid_ric 0.004099, valid_ricir 0.045260, valid_mae 0.140766, valid_rmse 0.212039, valid_mape 2067.730713, valid_acc 0.613509, test_loss 0.046457, ic 0.001020, icir 0.011399, ric 0.004305, ricir 0.055132, prec@10 0.511523, prec@30 0.514952, test_mae 0.145784, test_rmse 0.220138, test_mape 3405.375000, test_acc 0.512691
Epoch 3, train_loss 0.012492, train_ic -0.001074, train_icir -0.014781, train_ric 0.013221, train_ricir 0.143811, train_mae 0.025992, train_rmse 0.043467, train_mape 549.638306, train_acc 0.631335, valid_loss 0.0183562497, valid_ic -0.010886, valid_icir -0.134025, valid_ric 0.005968, valid_ricir 0.084483, valid_mae 0.067565, valid_rmse 0.155667, valid_mape 957.612732, valid_acc 0.617654, test_loss 0.026245, ic 0.002577, icir 0.021752, ric 0.014581, ricir 0.175975, prec@10 0.493827, prec@30 0.525652, test_mae 0.075931, test_rmse 0.169889, test_mape 1766.699951, test_acc 0.535011
Epoch 4, train_loss 0.010004, train_ic 0.002318, train_icir 0.022588, train_ric 0.032461, train_ricir 0.259219, train_mae 0.103386, train_rmse 0.140371, train_mape 1705.619263, train_acc 0.151194, valid_loss 0.0282805470, valid_ic -0.019522, valid_icir -0.169494, valid_ric 0.007724, valid_ricir 0.056049, valid_mae 0.131476, valid_rmse 0.190037, valid_mape 1979.639404, valid_acc 0.190441, test_loss 0.036215, ic 0.004582, icir 0.032078, ric 0.031666, ricir 0.213770, prec@10 0.520165, prec@30 0.538683, test_mae 0.144171, test_rmse 0.204798, test_mape 3402.161865, test_acc 0.366302
Epoch 5, train_loss 0.007156, train_ic -0.013031, train_icir -0.159964, train_ric 0.001470, train_ricir 0.014504, train_mae 0.061670, train_rmse 0.082054, train_mape 614.041687, train_acc 0.415373, valid_loss 0.0151675943, valid_ic -0.005932, valid_icir -0.098582, valid_ric 0.005685, valid_ricir 0.066437, valid_mae 0.076254, valid_rmse 0.135880, valid_mape 1153.607910, valid_acc 0.667154, test_loss 0.021285, ic -0.001164, icir -0.012528, ric 0.005118, ricir 0.067277, prec@10 0.467490, prec@30 0.482990, test_mae 0.084663, test_rmse 0.148733, test_mape 1989.232422, test_acc 0.547921
Epoch 6, train_loss 0.006198, train_ic -0.001441, train_icir -0.018869, train_ric -0.008642, train_ricir -0.067794, train_mae 0.036961, train_rmse 0.057214, train_mape 714.620422, train_acc 0.659619, valid_loss 0.0114730463, valid_ic -0.001105, valid_icir -0.020685, valid_ric -0.001810, valid_ricir -0.015805, valid_mae 0.056010, valid_rmse 0.119208, valid_mape 865.359192, valid_acc 0.688369, test_loss 0.016884, ic 0.000978, icir 0.011452, ric -0.012147, ricir -0.137285, prec@10 0.492181, prec@30 0.492044, test_mae 0.065125, test_rmse 0.131802, test_mape 1562.801880, test_acc 0.551860
Epoch 7, train_loss 0.006610, train_ic -0.002281, train_icir -0.029548, train_ric -0.003217, train_ricir -0.030148, train_mae 0.046215, train_rmse 0.064678, train_mape 557.742859, train_acc 0.479158, valid_loss 0.0117268193, valid_ic 0.002833, valid_icir 0.051945, valid_ric 0.003696, valid_ricir 0.035069, valid_mae 0.059027, valid_rmse 0.118718, valid_mape 881.156616, valid_acc 0.671787, test_loss 0.016400, ic 0.000873, icir 0.011324, ric -0.005246, ricir -0.060788, prec@10 0.513580, prec@30 0.527572, test_mae 0.066893, test_rmse 0.128210, test_mape 1571.147705, test_acc 0.537637
Epoch 8, train_loss 0.004821, train_ic -0.000641, train_icir -0.009759, train_ric -0.000722, train_ricir -0.008395, train_mae 0.046751, train_rmse 0.055902, train_mape 427.831024, train_acc 0.313617, valid_loss 0.0102653516, valid_ic 0.001101, valid_icir 0.020549, valid_ric 0.001078, valid_ricir 0.014121, valid_mae 0.050125, valid_rmse 0.110358, valid_mape 702.041565, valid_acc 0.675933, test_loss 0.014433, ic 0.002163, icir 0.025284, ric -0.000043, ricir -0.000633, prec@10 0.513992, prec@30 0.527298, test_mae 0.055993, test_rmse 0.119043, test_mape 1276.579712, test_acc 0.552298
Epoch 9, train_loss 0.004596, train_ic 0.001784, train_icir 0.022579, train_ric 0.013082, train_ricir 0.152672, train_mae 0.038231, train_rmse 0.054263, train_mape 357.895599, train_acc 0.482014, valid_loss 0.0087790259, valid_ic -0.008300, valid_icir -0.104855, valid_ric 0.003745, valid_ricir 0.052213, valid_mae 0.053649, valid_rmse 0.108686, valid_mape 754.455688, valid_acc 0.582053, test_loss 0.013258, ic 0.003652, icir 0.031668, ric 0.015478, ricir 0.168098, prec@10 0.512346, prec@30 0.521811, test_mae 0.058497, test_rmse 0.117613, test_mape 1355.251465, test_acc 0.521663
Epoch 10, train_loss 0.004833, train_ic 0.001254, train_icir 0.014430, train_ric 0.013922, train_ricir 0.156690, train_mae 0.057528, train_rmse 0.097130, train_mape 2283.121826, train_acc 0.336853, valid_loss 0.0214381026, valid_ic -0.007690, valid_icir -0.085767, valid_ric 0.003263, valid_ricir 0.041327, valid_mae 0.098816, valid_rmse 0.164171, valid_mape 1414.802124, valid_acc 0.270178, test_loss 0.026800, ic 0.004715, icir 0.037696, ric 0.016298, ricir 0.161653, prec@10 0.511523, prec@30 0.524417, test_mae 0.103351, test_rmse 0.171623, test_mape 2347.911865, test_acc 0.377899
Epoch 11, train_loss 0.004836, train_ic -0.011630, train_icir -0.143895, train_ric -0.002940, train_ricir -0.029871, train_mae 0.052624, train_rmse 0.068897, train_mape 806.666382, train_acc 0.422893, valid_loss 0.0121250437, valid_ic 0.000866, valid_icir 0.016317, valid_ric -0.002825, valid_ricir -0.037609, valid_mae 0.057582, valid_rmse 0.111442, valid_mape 801.453308, valid_acc 0.655450, test_loss 0.014563, ic 0.000342, icir 0.004491, ric 0.000330, ricir 0.004970, prec@10 0.496708, prec@30 0.491770, test_mae 0.061302, test_rmse 0.113535, test_mape 1372.127319, test_acc 0.542670
Epoch 12, train_loss 0.004885, train_ic -0.013871, train_icir -0.150884, train_ric -0.014097, train_ricir -0.114979, train_mae 0.043674, train_rmse 0.057847, train_mape 1043.244995, train_acc 0.510520, valid_loss 0.0109518004, valid_ic 0.002447, valid_icir 0.041729, valid_ric -0.004018, valid_ricir -0.035011, valid_mae 0.060234, valid_rmse 0.106601, valid_mape 939.999084, valid_acc 0.697391, test_loss 0.014027, ic -0.001198, icir -0.018355, ric -0.012045, ricir -0.133879, prec@10 0.482716, prec@30 0.494925, test_mae 0.068757, test_rmse 0.114470, test_mape 1625.335327, test_acc 0.550328
Epoch 13, train_loss 0.004244, train_ic 0.001666, train_icir 0.022201, train_ric 0.001991, train_ricir 0.026928, train_mae 0.042103, train_rmse 0.060794, train_mape 537.180420, train_acc 0.479152, valid_loss 0.0075726479, valid_ic -0.006714, valid_icir -0.091098, valid_ric -0.001587, valid_ricir -0.024688, valid_mae 0.050356, valid_rmse 0.099847, valid_mape 699.767822, valid_acc 0.572056, test_loss 0.011245, ic 0.003365, icir 0.030761, ric 0.006089, ricir 0.075883, prec@10 0.473663, prec@30 0.469684, test_mae 0.056261, test_rmse 0.108026, test_mape 1280.737671, test_acc 0.516630
Epoch 14, train_loss 0.003606, train_ic 0.000849, train_icir 0.011454, train_ric 0.003821, train_ricir 0.047550, train_mae 0.029281, train_rmse 0.051737, train_mape 504.826691, train_acc 0.483338, valid_loss 0.0070106575, valid_ic -0.003531, valid_icir -0.054800, valid_ric 0.000464, valid_ricir 0.007229, valid_mae 0.047717, valid_rmse 0.097114, valid_mape 601.449524, valid_acc 0.496708, test_loss 0.010324, ic 0.003230, icir 0.032414, ric 0.006917, ricir 0.090873, prec@10 0.509877, prec@30 0.528669, test_mae 0.049737, test_rmse 0.102616, test_mape 1052.940186, test_acc 0.460175
Epoch 15, train_loss 0.003694, train_ic -0.001935, train_icir -0.024004, train_ric -0.006254, train_ricir -0.054346, train_mae 0.034492, train_rmse 0.043453, train_mape 1053.165894, train_acc 0.369940, valid_loss 0.0081836263, valid_ic 0.005899, valid_icir 0.104078, valid_ric -0.000893, valid_ricir -0.008031, valid_mae 0.040921, valid_rmse 0.100963, valid_mape 573.780090, valid_acc 0.634967, test_loss 0.010909, ic 0.002759, icir 0.043859, ric -0.008787, ricir -0.103515, prec@10 0.497119, prec@30 0.508093, test_mae 0.046182, test_rmse 0.097171, test_mape 1024.941772, test_acc 0.514223
Epoch 16, train_loss 0.003965, train_ic 0.001027, train_icir 0.013721, train_ric -0.009233, train_ricir -0.095414, train_mae 0.049740, train_rmse 0.057751, train_mape 1296.426392, train_acc 0.518540, valid_loss 0.0073468131, valid_ic 0.000981, valid_icir 0.019293, valid_ric -0.005327, valid_ricir -0.058939, valid_mae 0.049746, valid_rmse 0.088599, valid_mape 817.356873, valid_acc 0.733967, test_loss 0.010403, ic 0.001858, icir 0.024797, ric -0.010392, ricir -0.154964, prec@10 0.511934, prec@30 0.495336, test_mae 0.059360, test_rmse 0.099431, test_mape 1410.570190, test_acc 0.572429
Epoch 17, train_loss 0.003555, train_ic -0.011682, train_icir -0.163003, train_ric -0.004000, train_ricir -0.049260, train_mae 0.035603, train_rmse 0.047913, train_mape 295.229065, train_acc 0.827318, valid_loss 0.0069187743, valid_ic -0.013792, valid_icir -0.207569, valid_ric -0.004051, valid_ricir -0.065718, valid_mae 0.051146, valid_rmse 0.088637, valid_mape 810.957703, valid_acc 0.700805, test_loss 0.009909, ic 0.000267, icir 0.002582, ric 0.004271, ricir 0.056997, prec@10 0.497531, prec@30 0.484636, test_mae 0.057900, test_rmse 0.097919, test_mape 1325.846436, test_acc 0.580744
Epoch 18, train_loss 0.003563, train_ic 0.002482, train_icir 0.031701, train_ric 0.000869, train_ricir 0.011894, train_mae 0.046842, train_rmse 0.066547, train_mape 571.939026, train_acc 0.133686, valid_loss 0.0100588864, valid_ic -0.004747, valid_icir -0.061176, valid_ric -0.002393, valid_ricir -0.035356, valid_mae 0.070706, valid_rmse 0.116303, valid_mape 927.374756, valid_acc 0.195074, test_loss 0.013290, ic 0.004022, icir 0.035483, ric 0.006566, ricir 0.076467, prec@10 0.486008, prec@30 0.470233, test_mae 0.069051, test_rmse 0.119029, test_mape 1485.325439, test_acc 0.367177
Epoch 19, train_loss 0.003049, train_ic 0.000662, train_icir 0.009196, train_ric 0.001278, train_ricir 0.018239, train_mae 0.041705, train_rmse 0.057190, train_mape 444.224487, train_acc 0.280739, valid_loss 0.0045316024, valid_ic -0.010018, valid_icir -0.143784, valid_ric -0.003020, valid_ricir -0.043631, valid_mae 0.034691, valid_rmse 0.079017, valid_mape 449.210754, valid_acc 0.572299, test_loss 0.007362, ic 0.002897, icir 0.028381, ric 0.007007, ricir 0.080590, prec@10 0.455556, prec@30 0.452401, test_mae 0.038956, test_rmse 0.085906, test_mape 833.231079, test_acc 0.517724
Epoch 20, train_loss 0.003056, train_ic 0.001339, train_icir 0.017943, train_ric 0.003368, train_ricir 0.045523, train_mae 0.026625, train_rmse 0.037757, train_mape 180.215439, train_acc 0.909854, valid_loss 0.0057008042, valid_ic -0.007906, valid_icir -0.110722, valid_ric -0.000986, valid_ricir -0.014590, valid_mae 0.044973, valid_rmse 0.081955, valid_mape 664.017578, valid_acc 0.684467, test_loss 0.008394, ic 0.003400, icir 0.032541, ric 0.008742, ricir 0.101974, prec@10 0.475720, prec@30 0.486283, test_mae 0.050817, test_rmse 0.089757, test_mape 1142.276611, test_acc 0.566521
Epoch 21, train_loss 0.002983, train_ic -0.000466, train_icir -0.006809, train_ric -0.005042, train_ricir -0.064051, train_mae 0.034770, train_rmse 0.049869, train_mape 225.518173, train_acc 0.761610, valid_loss 0.0071145209, valid_ic 0.007565, valid_icir 0.142402, valid_ric 0.001331, valid_ricir 0.016312, valid_mae 0.045914, valid_rmse 0.085544, valid_mape 722.692505, valid_acc 0.712265, test_loss 0.009209, ic 0.002268, icir 0.037671, ric -0.006148, ricir -0.098930, prec@10 0.470782, prec@30 0.496571, test_mae 0.052825, test_rmse 0.090552, test_mape 1220.969238, test_acc 0.556455
Epoch 22, train_loss 0.002791, train_ic 0.001476, train_icir 0.021267, train_ric -0.003532, train_ricir -0.048490, train_mae 0.040265, train_rmse 0.058692, train_mape 666.210449, train_acc 0.564671, valid_loss 0.0056194582, valid_ic -0.001435, valid_icir -0.023220, valid_ric -0.003311, valid_ricir -0.051457, valid_mae 0.044276, valid_rmse 0.081892, valid_mape 620.617554, valid_acc 0.647159, test_loss 0.008120, ic 0.002975, icir 0.032146, ric 0.000024, ricir 0.000355, prec@10 0.480658, prec@30 0.472016, test_mae 0.049575, test_rmse 0.088503, test_mape 1084.080322, test_acc 0.541794
