Dataset:  CSI
Radom seed: 1234
GPU: 7
Learning rate: 0.001
Loss: MaskedMSELoss

---------- Transformer ----------
{
    "epochs": 200,
    "lookback_length": 16,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "CSI",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 4,
        "valid_year": 2021,
        "test_year": 2022,
        "window": 16,
        "steps": 1
    },
    "early_stop": 20,
    "runner": "csi",
    "loss": "mse",
    "model_args": {
        "d_feat": 1,
        "d_model": 64,
        "num_layers": 2,
        "nhead": 2,
        "dropout": 0.1
    }
}
Epoch 1, train_loss 0.082035, train_ic -0.002956, train_icir -0.035571, train_ric 0.034726, train_ricir 0.286851, train_mae 0.070650, train_rmse 0.129858, train_mape 632.618103, train_acc 0.207119, valid_loss 0.0463790070, valid_ic 0.004013, valid_icir 0.030986, valid_ric 0.034257, valid_ricir 0.325464, valid_mae 0.106741, valid_rmse 0.230114, valid_mape 2534.502197, valid_acc 0.452516, test_loss 0.039920, ic 0.014853, icir 0.130533, ric 0.042237, ricir 0.368533, prec@10 0.477273, prec@30 0.492562, test_mae 0.079855, test_rmse 0.191301, test_mape 1791.610474, test_acc 0.567069
Epoch 2, train_loss 0.016116, train_ic -0.003338, train_icir -0.043861, train_ric 0.004158, train_ricir 0.052743, train_mae 0.086222, train_rmse 0.114176, train_mape 2577.250244, train_acc 0.458081, valid_loss 0.0334058668, valid_ic 0.002976, valid_icir 0.023649, valid_ric 0.009035, valid_ricir 0.111276, valid_mae 0.114400, valid_rmse 0.188715, valid_mape 2704.086426, valid_acc 0.570897, test_loss 0.029144, ic 0.013017, icir 0.122493, ric 0.016311, ricir 0.187252, prec@10 0.506198, prec@30 0.503444, test_mae 0.100137, test_rmse 0.159598, test_mape 2199.475098, test_acc 0.667418
Epoch 3, train_loss 0.011786, train_ic -0.001550, train_icir -0.020539, train_ric -0.007240, train_ricir -0.061085, train_mae 0.074876, train_rmse 0.121537, train_mape 1911.185303, train_acc 0.455106, valid_loss 0.0292448518, valid_ic 0.000692, valid_icir 0.009714, valid_ric -0.011471, valid_ricir -0.127578, valid_mae 0.099915, valid_rmse 0.171760, valid_mape 2326.943848, valid_acc 0.499125, test_loss 0.024350, ic 0.004774, icir 0.077107, ric -0.015289, ricir -0.126301, prec@10 0.443388, prec@30 0.460882, test_mae 0.086044, test_rmse 0.145372, test_mape 1786.194214, test_acc 0.500307
Epoch 4, train_loss 0.008141, train_ic -0.000253, train_icir -0.002833, train_ric 0.025126, train_ricir 0.205050, train_mae 0.042353, train_rmse 0.046162, train_mape 887.357605, train_acc 0.375943, valid_loss 0.0179236930, valid_ic 0.003923, valid_icir 0.030934, valid_ric 0.028006, valid_ricir 0.194129, valid_mae 0.065053, valid_rmse 0.138791, valid_mape 1501.187622, valid_acc 0.527571, test_loss 0.014549, ic 0.013467, icir 0.123194, ric 0.040745, ricir 0.244523, prec@10 0.510331, prec@30 0.521763, test_mae 0.051965, test_rmse 0.110974, test_mape 1115.040771, test_acc 0.642638
Epoch 5, train_loss 0.006679, train_ic 0.000425, train_icir 0.006345, train_ric -0.001769, train_ricir -0.020622, train_mae 0.098323, train_rmse 0.118085, train_mape 1140.746338, train_acc 0.262326, valid_loss 0.0228722669, valid_ic 0.002847, valid_icir 0.035676, valid_ric -0.001182, valid_ricir -0.017593, valid_mae 0.098336, valid_rmse 0.146969, valid_mape 2329.551025, valid_acc 0.564551, test_loss 0.019818, ic 0.008465, icir 0.122157, ric 0.001278, ricir 0.015143, prec@10 0.502479, prec@30 0.503444, test_mae 0.090287, test_rmse 0.127368, test_mape 1916.959717, test_acc 0.616015
Epoch 6, train_loss 0.005890, train_ic 0.001570, train_icir 0.019120, train_ric 0.010478, train_ricir 0.126701, train_mae 0.040096, train_rmse 0.072728, train_mape 12755.478516, train_acc 0.662341, valid_loss 0.0169206545, valid_ic 0.005282, valid_icir 0.045486, valid_ric 0.014226, valid_ricir 0.150477, valid_mae 0.070060, valid_rmse 0.132143, valid_mape 1616.617065, valid_acc 0.501094, test_loss 0.014019, ic 0.015109, icir 0.144762, ric 0.024593, ricir 0.236419, prec@10 0.489256, prec@30 0.495592, test_mae 0.056875, test_rmse 0.108448, test_mape 1234.583496, test_acc 0.597379
Epoch 7, train_loss 0.006962, train_ic -0.000456, train_icir -0.004692, train_ric 0.024166, train_ricir 0.216794, train_mae 0.072581, train_rmse 0.082845, train_mape 1301.565186, train_acc 0.300518, valid_loss 0.0164635967, valid_ic 0.004713, valid_icir 0.035953, valid_ric 0.025436, valid_ricir 0.196722, valid_mae 0.082319, valid_rmse 0.129129, valid_mape 1901.393311, valid_acc 0.551860, test_loss 0.014342, ic 0.014755, icir 0.125585, ric 0.038000, ricir 0.257585, prec@10 0.482231, prec@30 0.498485, test_mae 0.074873, test_rmse 0.109821, test_mape 1571.197021, test_acc 0.663527
Epoch 8, train_loss 0.005212, train_ic -0.008642, train_icir -0.112576, train_ric 0.002000, train_ricir 0.022580, train_mae 0.058688, train_rmse 0.073753, train_mape 268.301727, train_acc 0.806587, valid_loss 0.0182424997, valid_ic 0.001546, valid_icir 0.015662, valid_ric 0.007415, valid_ricir 0.102071, valid_mae 0.089352, valid_rmse 0.131418, valid_mape 2076.482422, valid_acc 0.555142, test_loss 0.016111, ic 0.010126, icir 0.118762, ric 0.011921, ricir 0.142114, prec@10 0.457025, prec@30 0.466116, test_mae 0.084000, test_rmse 0.115227, test_mape 1814.310303, test_acc 0.638337
Epoch 9, train_loss 0.005112, train_ic 0.000601, train_icir 0.008489, train_ric 0.014473, train_ricir 0.169891, train_mae 0.033830, train_rmse 0.045154, train_mape 854.823120, train_acc 0.501910, valid_loss 0.0120256716, valid_ic 0.004489, valid_icir 0.047812, valid_ric 0.017083, valid_ricir 0.195361, valid_mae 0.051430, valid_rmse 0.106826, valid_mape 1149.279785, valid_acc 0.521663, test_loss 0.009806, ic 0.012146, icir 0.147449, ric 0.027263, ricir 0.275051, prec@10 0.485950, prec@30 0.504270, test_mae 0.043200, test_rmse 0.087429, test_mape 882.658569, test_acc 0.618267
Epoch 10, train_loss 0.004645, train_ic -0.001136, train_icir -0.013664, train_ric 0.011967, train_ricir 0.146203, train_mae 0.044034, train_rmse 0.068263, train_mape 542.777771, train_acc 0.434064, valid_loss 0.0139824146, valid_ic 0.003832, valid_icir 0.031426, valid_ric 0.016763, valid_ricir 0.182582, valid_mae 0.065723, valid_rmse 0.123442, valid_mape 1514.719604, valid_acc 0.488840, test_loss 0.011654, ic 0.013886, icir 0.129891, ric 0.026396, ricir 0.266203, prec@10 0.489256, prec@30 0.501515, test_mae 0.053078, test_rmse 0.099973, test_mape 1163.649902, test_acc 0.581200
Epoch 11, train_loss 0.004287, train_ic 0.001663, train_icir 0.020002, train_ric 0.014954, train_ricir 0.169867, train_mae 0.045008, train_rmse 0.049016, train_mape 771.091431, train_acc 0.790386, valid_loss 0.0116939303, valid_ic 0.004999, valid_icir 0.044818, valid_ric 0.018199, valid_ricir 0.176558, valid_mae 0.063394, valid_rmse 0.106078, valid_mape 1443.911499, valid_acc 0.542888, test_loss 0.010057, ic 0.013860, icir 0.139424, ric 0.029938, ricir 0.259759, prec@10 0.485537, prec@30 0.500551, test_mae 0.056921, test_rmse 0.089295, test_mape 1195.800781, test_acc 0.651853
