Dataset:  CSI
Radom seed: 1234
GPU: 7
Learning rate: 0.001
Loss: MaskedMSELoss

---------- Transformer ----------
{
    "epochs": 200,
    "lookback_length": 16,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "CSI",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 4,
        "valid_year": 2023,
        "test_year": 2024,
        "window": 16,
        "steps": 1
    },
    "early_stop": 20,
    "runner": "csi",
    "loss": "mse",
    "model_args": {
        "d_feat": 1,
        "d_model": 64,
        "num_layers": 2,
        "nhead": 2,
        "dropout": 0.1
    }
}
Epoch 1, train_loss 0.074049, train_ic 0.001836, train_icir 0.020600, train_ric 0.022259, train_ricir 0.206975, train_mae 0.056701, train_rmse 0.124150, train_mape 346.373352, train_acc 0.522043, valid_loss 0.0287390324, valid_ic 0.018975, valid_icir 0.251973, valid_ric 0.034958, valid_ricir 0.325938, valid_mae 0.069095, valid_rmse 0.156852, valid_mape 1483.666626, valid_acc 0.432730, test_loss 0.022459, ic 0.008043, icir 0.079580, ric 0.026266, ricir 0.180380, prec@10 0.478926, prec@30 0.490358, test_mae 0.078128, test_rmse 0.157239, test_mape 637.216553, test_acc 0.487781
Epoch 2, train_loss 0.015711, train_ic 0.003171, train_icir 0.036788, train_ric 0.013835, train_ricir 0.157114, train_mae 0.038157, train_rmse 0.061979, train_mape 658.197876, train_acc 0.471803, valid_loss 0.0192067534, valid_ic 0.021150, valid_icir 0.306483, valid_ric 0.034492, valid_ricir 0.442150, valid_mae 0.066800, valid_rmse 0.131553, valid_mape 1366.494507, valid_acc 0.497443, test_loss 0.017393, ic 0.008816, icir 0.095629, ric 0.019809, ricir 0.170953, prec@10 0.478926, prec@30 0.494353, test_mae 0.072684, test_rmse 0.126456, test_mape 605.046204, test_acc 0.475269
Epoch 3, train_loss 0.011075, train_ic 0.001381, train_icir 0.014289, train_ric 0.028332, train_ricir 0.236158, train_mae 0.035437, train_rmse 0.055352, train_mape 439.946411, train_acc 0.416785, valid_loss 0.0115412403, valid_ic 0.018062, valid_icir 0.238726, valid_ric 0.042955, valid_ricir 0.360078, valid_mae 0.051549, valid_rmse 0.100428, valid_mape 1076.787109, valid_acc 0.502754, test_loss 0.009527, ic 0.008983, icir 0.083073, ric 0.033174, ricir 0.198882, prec@10 0.464463, prec@30 0.477135, test_mae 0.056297, test_rmse 0.099372, test_mape 470.013916, test_acc 0.459433
Epoch 4, train_loss 0.009030, train_ic 0.004163, train_icir 0.041811, train_ric 0.026463, train_ricir 0.217411, train_mae 0.037072, train_rmse 0.056743, train_mape 912.654297, train_acc 0.568227, valid_loss 0.0106562809, valid_ic 0.019359, valid_icir 0.238955, valid_ric 0.041604, valid_ricir 0.337816, valid_mae 0.051891, valid_rmse 0.097273, valid_mape 1071.096436, valid_acc 0.519866, test_loss 0.008927, ic 0.010508, icir 0.095449, ric 0.029713, ricir 0.173413, prec@10 0.438843, prec@30 0.466804, test_mae 0.059907, test_rmse 0.096053, test_mape 492.008453, test_acc 0.423069
Epoch 5, train_loss 0.006711, train_ic -0.000077, train_icir -0.001023, train_ric 0.009650, train_ricir 0.100664, train_mae 0.077783, train_rmse 0.125293, train_mape 1233.598511, train_acc 0.561040, valid_loss 0.0108244475, valid_ic 0.017878, valid_icir 0.354083, valid_ric 0.030429, valid_ricir 0.374673, valid_mae 0.059285, valid_rmse 0.087893, valid_mape 1274.200195, valid_acc 0.790716, test_loss 0.010476, ic 0.003283, icir 0.041918, ric 0.010587, ricir 0.085253, prec@10 0.478099, prec@30 0.488705, test_mae 0.098917, test_rmse 0.118976, test_mape 672.195618, test_acc 0.159922
Epoch 6, train_loss 0.007106, train_ic 0.000793, train_icir 0.009057, train_ric 0.018531, train_ricir 0.194153, train_mae 0.045506, train_rmse 0.050935, train_mape 573.313354, train_acc 0.339711, valid_loss 0.0073033192, valid_ic 0.018196, valid_icir 0.263742, valid_ric 0.040623, valid_ricir 0.480505, valid_mae 0.043116, valid_rmse 0.074207, valid_mape 947.920227, valid_acc 0.646538, test_loss 0.006469, ic 0.008712, icir 0.089356, ric 0.024365, ricir 0.183869, prec@10 0.455785, prec@30 0.484848, test_mae 0.066973, test_rmse 0.091206, test_mape 473.824402, test_acc 0.298729
Epoch 7, train_loss 0.005759, train_ic 0.002313, train_icir 0.022750, train_ric 0.032734, train_ricir 0.268811, train_mae 0.075246, train_rmse 0.101308, train_mape 1596.261475, train_acc 0.408699, valid_loss 0.0089901178, valid_ic 0.018633, valid_icir 0.235348, valid_ric 0.047180, valid_ricir 0.398767, valid_mae 0.060102, valid_rmse 0.080920, valid_mape 1216.937500, valid_acc 0.699056, test_loss 0.008568, ic 0.010374, icir 0.092496, ric 0.033941, ricir 0.192896, prec@10 0.443388, prec@30 0.469559, test_mae 0.089175, test_rmse 0.107873, test_mape 621.291870, test_acc 0.244575
Epoch 8, train_loss 0.005255, train_ic -0.006330, train_icir -0.067882, train_ric 0.015387, train_ricir 0.164428, train_mae 0.076307, train_rmse 0.110373, train_mape 21653.761719, train_acc 0.458198, valid_loss 0.0090329212, valid_ic 0.017699, valid_icir 0.246189, valid_ric 0.038652, valid_ricir 0.478854, valid_mae 0.062583, valid_rmse 0.081814, valid_mape 1258.841187, valid_acc 0.704367, test_loss 0.008995, ic 0.007042, icir 0.063286, ric 0.022249, ricir 0.159992, prec@10 0.467769, prec@30 0.474380, test_mae 0.093326, test_rmse 0.109985, test_mape 646.771545, test_acc 0.227957
Epoch 9, train_loss 0.005193, train_ic -0.002596, train_icir -0.029786, train_ric 0.012996, train_ricir 0.148139, train_mae 0.071915, train_rmse 0.095678, train_mape 972.753723, train_acc 0.819380, valid_loss 0.0105352892, valid_ic 0.018656, valid_icir 0.271536, valid_ric 0.037441, valid_ricir 0.478176, valid_mae 0.071091, valid_rmse 0.088058, valid_mape 1395.493164, valid_acc 0.736035, test_loss 0.010591, ic 0.006865, icir 0.069880, ric 0.022048, ricir 0.180125, prec@10 0.463636, prec@30 0.489807, test_mae 0.103806, test_rmse 0.118760, test_mape 718.468933, test_acc 0.200587
Epoch 10, train_loss 0.004448, train_ic 0.002472, train_icir 0.030680, train_ric 0.013718, train_ricir 0.164256, train_mae 0.074939, train_rmse 0.085925, train_mape 41017.652344, train_acc 0.518498, valid_loss 0.0098214521, valid_ic 0.022056, valid_icir 0.363993, valid_ric 0.037247, valid_ricir 0.544300, valid_mae 0.065394, valid_rmse 0.085619, valid_mape 1292.009644, valid_acc 0.733871, test_loss 0.010244, ic 0.008235, icir 0.099933, ric 0.020086, ricir 0.188649, prec@10 0.481405, prec@30 0.490496, test_mae 0.097704, test_rmse 0.113481, test_mape 672.639404, test_acc 0.218768
Epoch 11, train_loss 0.004572, train_ic -0.000189, train_icir -0.002159, train_ric 0.014130, train_ricir 0.157738, train_mae 0.062533, train_rmse 0.070283, train_mape 510.170471, train_acc 0.786564, valid_loss 0.0095184720, valid_ic 0.020156, valid_icir 0.291874, valid_ric 0.037478, valid_ricir 0.465561, valid_mae 0.067273, valid_rmse 0.084705, valid_mape 1310.732910, valid_acc 0.725413, test_loss 0.010094, ic 0.008299, icir 0.086776, ric 0.023218, ricir 0.188429, prec@10 0.482645, prec@30 0.494353, test_mae 0.098963, test_rmse 0.113560, test_mape 681.324402, test_acc 0.216227
