Dataset:  CSI
Radom seed: 1234
GPU: 7
Learning rate: 0.001
Loss: MaskedMSELoss

---------- Transformer ----------
{
    "epochs": 200,
    "lookback_length": 16,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "CSI",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 4,
        "valid_year": 2019,
        "test_year": 2020,
        "window": 32,
        "steps": 1
    },
    "early_stop": 20,
    "runner": "csi",
    "loss": "mse",
    "model_args": {
        "d_feat": 1,
        "d_model": 64,
        "num_layers": 2,
        "nhead": 2,
        "dropout": 0.1
    }
}
Epoch 1, train_loss 0.102222, train_ic 0.004325, train_icir 0.037042, train_ric 0.027753, train_ricir 0.211349, train_mae 0.120841, train_rmse 0.187593, train_mape 3638.036377, train_acc 0.346423, valid_loss 0.0276858719, valid_ic -0.010960, valid_icir -0.122275, valid_ric 0.015774, valid_ricir 0.152746, valid_mae 0.104772, valid_rmse 0.186005, valid_mape 2351.835449, valid_acc 0.472327, test_loss 0.053544, ic -0.021345, icir -0.169545, ric 0.002428, ricir 0.016723, prec@10 0.486008, prec@30 0.498491, test_mae 0.150730, test_rmse 0.253354, test_mape 2309.985352, test_acc 0.385332
Epoch 2, train_loss 0.021276, train_ic -0.001363, train_icir -0.018839, train_ric -0.002226, train_ricir -0.022180, train_mae 0.060785, train_rmse 0.072577, train_mape 1420.523193, train_acc 0.501191, valid_loss 0.0163438947, valid_ic -0.005189, valid_icir -0.114860, valid_ric 0.000963, valid_ricir 0.012909, valid_mae 0.096088, valid_rmse 0.142558, valid_mape 2157.338135, valid_acc 0.540032, test_loss 0.032121, ic -0.009713, icir -0.126227, ric -0.001207, ricir -0.014328, prec@10 0.463786, prec@30 0.481481, test_mae 0.114495, test_rmse 0.197657, test_mape 1734.738159, test_acc 0.652195
Epoch 3, train_loss 0.013839, train_ic -0.001843, train_icir -0.024301, train_ric 0.002060, train_ricir 0.016881, train_mae 0.042516, train_rmse 0.056155, train_mape 803.898743, train_acc 0.407069, valid_loss 0.0094644742, valid_ic -0.003209, valid_icir -0.073292, valid_ric 0.005873, valid_ricir 0.066676, valid_mae 0.062335, valid_rmse 0.110657, valid_mape 1329.931152, valid_acc 0.515852, test_loss 0.021525, ic -0.007529, icir -0.112245, ric 0.001436, ricir 0.013768, prec@10 0.484362, prec@30 0.502881, test_mae 0.082897, test_rmse 0.165720, test_mape 1220.147095, test_acc 0.635762
Epoch 4, train_loss 0.009427, train_ic -0.001662, train_icir -0.021069, train_ric 0.017985, train_ricir 0.177181, train_mae 0.047895, train_rmse 0.081195, train_mape 1007.574951, train_acc 0.552699, valid_loss 0.0085756319, valid_ic -0.000201, valid_icir -0.004215, valid_ric 0.022354, valid_ricir 0.360889, valid_mae 0.056095, valid_rmse 0.102540, valid_mape 1134.127319, valid_acc 0.521225, test_loss 0.018500, ic -0.005829, icir -0.082340, ric 0.010745, ricir 0.143506, prec@10 0.479424, prec@30 0.507956, test_mae 0.080834, test_rmse 0.153985, test_mape 1125.175415, test_acc 0.616385
Epoch 5, train_loss 0.007128, train_ic 0.001369, train_icir 0.019278, train_ric 0.012010, train_ricir 0.131850, train_mae 0.038422, train_rmse 0.059354, train_mape 1160.661743, train_acc 0.484533, valid_loss 0.0056891511, valid_ic -0.005940, valid_icir -0.119787, valid_ric 0.004034, valid_ricir 0.071652, valid_mae 0.042205, valid_rmse 0.083333, valid_mape 861.200439, valid_acc 0.544600, test_loss 0.013502, ic -0.009855, icir -0.130977, ric -0.001961, ricir -0.027586, prec@10 0.431687, prec@30 0.476269, test_mae 0.059433, test_rmse 0.133471, test_mape 823.981689, test_acc 0.636988
Epoch 6, train_loss 0.007602, train_ic 0.001289, train_icir 0.015405, train_ric 0.020803, train_ricir 0.209320, train_mae 0.044436, train_rmse 0.063614, train_mape 750.681091, train_acc 0.340432, valid_loss 0.0068846817, valid_ic -0.003053, valid_icir -0.058777, valid_ric 0.014311, valid_ricir 0.232354, valid_mae 0.051308, valid_rmse 0.092374, valid_mape 1034.437378, valid_acc 0.520150, test_loss 0.014947, ic -0.007035, icir -0.094221, ric 0.004631, ricir 0.063366, prec@10 0.441152, prec@30 0.479698, test_mae 0.071300, test_rmse 0.137283, test_mape 1001.677734, test_acc 0.573951
Epoch 7, train_loss 0.008146, train_ic 0.000316, train_icir 0.003574, train_ric 0.019770, train_ricir 0.189953, train_mae 0.057235, train_rmse 0.073105, train_mape 468.136841, train_acc 0.357171, valid_loss 0.0136715800, valid_ic 0.003832, valid_icir 0.078833, valid_ric 0.017612, valid_ricir 0.295920, valid_mae 0.071227, valid_rmse 0.130350, valid_mape 1318.427856, valid_acc 0.486298, test_loss 0.024910, ic 0.001000, icir 0.015986, ric 0.008005, ricir 0.110656, prec@10 0.466667, prec@30 0.496982, test_mae 0.094127, test_rmse 0.165471, test_mape 1297.056396, test_acc 0.514104
Epoch 8, train_loss 0.006159, train_ic -0.005313, train_icir -0.055926, train_ric 0.020881, train_ricir 0.172305, train_mae 0.059471, train_rmse 0.075771, train_mape 650.116699, train_acc 0.374909, valid_loss 0.0051960532, valid_ic -0.002897, valid_icir -0.057361, valid_ric 0.021513, valid_ricir 0.297060, valid_mae 0.042828, valid_rmse 0.075304, valid_mape 890.062073, valid_acc 0.553735, test_loss 0.011056, ic -0.008528, icir -0.125725, ric 0.008856, ricir 0.104120, prec@10 0.487654, prec@30 0.488615, test_mae 0.057800, test_rmse 0.118393, test_mape 832.445557, test_acc 0.680402
Epoch 9, train_loss 0.005922, train_ic -0.005037, train_icir -0.056295, train_ric 0.013425, train_ricir 0.125138, train_mae 0.051891, train_rmse 0.084198, train_mape 586.449524, train_acc 0.399718, valid_loss 0.0077301606, valid_ic 0.002229, valid_icir 0.045205, valid_ric 0.014278, valid_ricir 0.214110, valid_mae 0.049895, valid_rmse 0.095939, valid_mape 873.810181, valid_acc 0.494089, test_loss 0.014606, ic -0.000198, icir -0.003378, ric 0.006003, ricir 0.074296, prec@10 0.488066, prec@30 0.503978, test_mae 0.066453, test_rmse 0.132596, test_mape 849.711792, test_acc 0.564631
Epoch 10, train_loss 0.004885, train_ic 0.001028, train_icir 0.011764, train_ric 0.022111, train_ricir 0.209798, train_mae 0.095130, train_rmse 0.105012, train_mape 1975.713501, train_acc 0.319780, valid_loss 0.0125906403, valid_ic 0.001563, valid_icir 0.031256, valid_ric 0.022317, valid_ricir 0.347388, valid_mae 0.087483, valid_rmse 0.111424, valid_mape 1876.229858, valid_acc 0.554003, test_loss 0.018565, ic -0.003843, icir -0.052523, ric 0.011892, ricir 0.152360, prec@10 0.477778, prec@30 0.500549, test_mae 0.106400, test_rmse 0.146514, test_mape 1554.027100, test_acc 0.662742
Epoch 11, train_loss 0.004884, train_ic -0.001385, train_icir -0.012910, train_ric 0.026950, train_ricir 0.217040, train_mae 0.070841, train_rmse 0.085061, train_mape 8915.250000, train_acc 0.627563, valid_loss 0.0084821218, valid_ic -0.010954, valid_icir -0.152862, valid_ric 0.016704, valid_ricir 0.178813, valid_mae 0.070145, valid_rmse 0.089714, valid_mape 1473.565918, valid_acc 0.587319, test_loss 0.012564, ic -0.018957, icir -0.203914, ric 0.004363, ricir 0.035344, prec@10 0.455144, prec@30 0.482442, test_mae 0.076974, test_rmse 0.120147, test_mape 1136.734863, test_acc 0.701496
Epoch 12, train_loss 0.004485, train_ic 0.001711, train_icir 0.025142, train_ric 0.017201, train_ricir 0.177769, train_mae 0.049954, train_rmse 0.053798, train_mape 1084.526489, train_acc 0.661239, valid_loss 0.0053459203, valid_ic -0.010251, valid_icir -0.209257, valid_ric 0.010140, valid_ricir 0.160445, valid_mae 0.054767, valid_rmse 0.074662, valid_mape 1185.608887, valid_acc 0.574422, test_loss 0.009273, ic -0.012648, icir -0.175445, ric 0.004164, ricir 0.046654, prec@10 0.462140, prec@30 0.487380, test_mae 0.056169, test_rmse 0.105293, test_mape 824.699280, test_acc 0.680648
Epoch 13, train_loss 0.005505, train_ic 0.001343, train_icir 0.014452, train_ric 0.026066, train_ricir 0.244598, train_mae 0.066961, train_rmse 0.078749, train_mape 1038.590088, train_acc 0.338793, valid_loss 0.0085632144, valid_ic -0.000179, valid_icir -0.003424, valid_ric 0.022086, valid_ricir 0.325616, valid_mae 0.068755, valid_rmse 0.092006, valid_mape 1443.930664, valid_acc 0.552660, test_loss 0.013046, ic -0.004822, icir -0.066823, ric 0.008728, ricir 0.100459, prec@10 0.454321, prec@30 0.486694, test_mae 0.081359, test_rmse 0.122399, test_mape 1149.763062, test_acc 0.622026
Epoch 14, train_loss 0.006013, train_ic -0.006541, train_icir -0.083895, train_ric 0.006872, train_ricir 0.065393, train_mae 0.074332, train_rmse 0.084004, train_mape 1010.578613, train_acc 0.814673, valid_loss 0.0124361836, valid_ic 0.001536, valid_icir 0.031736, valid_ric 0.014361, valid_ricir 0.181931, valid_mae 0.093014, valid_rmse 0.107856, valid_mape 2089.263916, valid_acc 0.572542, test_loss 0.016948, ic -0.000307, icir -0.006024, ric 0.007702, ricir 0.074007, prec@10 0.526749, prec@30 0.517421, test_mae 0.103210, test_rmse 0.134437, test_mape 1583.739746, test_acc 0.723571
Epoch 15, train_loss 0.004368, train_ic 0.001118, train_icir 0.013347, train_ric 0.013298, train_ricir 0.141840, train_mae 0.097602, train_rmse 0.106482, train_mape 2376.514893, train_acc 0.529551, valid_loss 0.0178162544, valid_ic -0.002757, valid_icir -0.052090, valid_ric 0.007166, valid_ricir 0.118250, valid_mae 0.109400, valid_rmse 0.133932, valid_mape 2350.748535, valid_acc 0.542988, test_loss 0.025600, ic -0.006393, icir -0.083204, ric 0.001606, ricir 0.022350, prec@10 0.463786, prec@30 0.467078, test_mae 0.127280, test_rmse 0.169197, test_mape 1877.186523, test_acc 0.650478
Epoch 16, train_loss 0.004629, train_ic -0.002630, train_icir -0.031330, train_ric 0.014847, train_ricir 0.138049, train_mae 0.066616, train_rmse 0.089756, train_mape 1338.983398, train_acc 0.472558, valid_loss 0.0113492243, valid_ic 0.005766, valid_icir 0.109836, valid_ric 0.017262, valid_ricir 0.266876, valid_mae 0.070068, valid_rmse 0.108439, valid_mape 1382.095703, valid_acc 0.542988, test_loss 0.017529, ic 0.007359, icir 0.125351, ric 0.010467, ricir 0.129106, prec@10 0.486831, prec@30 0.501097, test_mae 0.083158, test_rmse 0.135370, test_mape 1162.260498, test_acc 0.682610
